elapsed time = 2.95 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 6.65 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 9.92 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 12.85 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 16.11 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 19.31 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 22.50 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 25.34 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 28.37 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 31.32 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 34.14 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 36.95 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 39.76 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 42.57 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 45.40 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 47.90 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 50.42 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 52.92 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 55.43 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 57.95 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 60.45 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 62.96 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 65.46 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 67.97 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 70.47 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 72.99 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 75.50 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 78.01 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 80.51 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 83.02 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 85.39 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 87.76 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 90.13 | seconds power is 4 | number of threads is 1 | block size is 16
elapsed time = 92.50 | seconds power is 5 | number of threads is 1 | block size is 16
elapsed time = 94.86 | seconds power is 6 | number of threads is 1 | block size is 16
elapsed time = 97.23 | seconds power is 7 | number of threads is 1 | block size is 16
elapsed time = 99.60 | seconds power is 8 | number of threads is 1 | block size is 16
elapsed time = 101.97 | seconds power is 9 | number of threads is 1 | block size is 16
elapsed time = 104.34 | seconds power is 10 | number of threads is 1 | block size is 16
elapsed time = 106.70 | seconds power is 11 | number of threads is 1 | block size is 16
elapsed time = 109.07 | seconds power is 12 | number of threads is 1 | block size is 16
elapsed time = 111.43 | seconds power is 13 | number of threads is 1 | block size is 16
elapsed time = 113.80 | seconds power is 14 | number of threads is 1 | block size is 16
elapsed time = 116.17 | seconds power is 15 | number of threads is 1 | block size is 16
elapsed time = 118.54 | seconds power is 16 | number of threads is 1 | block size is 16
elapsed time = 120.92 | seconds power is 2 | number of threads is 1 | block size is 32
