elapsed time = 3.28 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 6.36 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 9.31 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 12.27 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 15.20 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 18.14 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 21.08 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 24.03 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 26.98 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 29.89 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 32.82 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 35.75 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 38.74 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 41.91 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 44.91 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 47.53 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 50.15 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 52.78 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 55.41 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 58.02 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 60.65 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 63.27 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 65.88 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 68.51 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 71.13 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 73.73 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 76.35 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 78.96 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 81.57 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 84.19 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 86.61 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 89.04 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 91.45 | seconds power is 4 | number of threads is 1 | block size is 16
elapsed time = 93.87 | seconds power is 5 | number of threads is 1 | block size is 16
elapsed time = 96.29 | seconds power is 6 | number of threads is 1 | block size is 16
elapsed time = 98.71 | seconds power is 7 | number of threads is 1 | block size is 16
elapsed time = 101.13 | seconds power is 8 | number of threads is 1 | block size is 16
elapsed time = 103.56 | seconds power is 9 | number of threads is 1 | block size is 16
elapsed time = 105.98 | seconds power is 10 | number of threads is 1 | block size is 16
elapsed time = 108.40 | seconds power is 11 | number of threads is 1 | block size is 16
elapsed time = 110.82 | seconds power is 12 | number of threads is 1 | block size is 16
elapsed time = 113.25 | seconds power is 13 | number of threads is 1 | block size is 16
elapsed time = 115.66 | seconds power is 14 | number of threads is 1 | block size is 16
elapsed time = 118.08 | seconds power is 15 | number of threads is 1 | block size is 16
elapsed time = 120.50 | seconds power is 16 | number of threads is 1 | block size is 16
elapsed time = 122.90 | seconds power is 2 | number of threads is 1 | block size is 32
elapsed time = 125.31 | seconds power is 3 | number of threads is 1 | block size is 32
elapsed time = 127.71 | seconds power is 4 | number of threads is 1 | block size is 32
elapsed time = 130.13 | seconds power is 5 | number of threads is 1 | block size is 32
elapsed time = 132.54 | seconds power is 6 | number of threads is 1 | block size is 32
elapsed time = 134.95 | seconds power is 7 | number of threads is 1 | block size is 32
elapsed time = 137.36 | seconds power is 8 | number of threads is 1 | block size is 32
elapsed time = 139.77 | seconds power is 9 | number of threads is 1 | block size is 32
elapsed time = 142.18 | seconds power is 10 | number of threads is 1 | block size is 32
elapsed time = 144.58 | seconds power is 11 | number of threads is 1 | block size is 32
elapsed time = 146.99 | seconds power is 12 | number of threads is 1 | block size is 32
elapsed time = 149.40 | seconds power is 13 | number of threads is 1 | block size is 32
elapsed time = 151.81 | seconds power is 14 | number of threads is 1 | block size is 32
elapsed time = 154.21 | seconds power is 15 | number of threads is 1 | block size is 32
elapsed time = 156.62 | seconds power is 16 | number of threads is 1 | block size is 32
elapsed time = 159.00 | seconds power is 2 | number of threads is 1 | block size is 64
elapsed time = 161.38 | seconds power is 3 | number of threads is 1 | block size is 64
elapsed time = 163.77 | seconds power is 4 | number of threads is 1 | block size is 64
elapsed time = 166.15 | seconds power is 5 | number of threads is 1 | block size is 64
elapsed time = 168.54 | seconds power is 6 | number of threads is 1 | block size is 64
elapsed time = 170.92 | seconds power is 7 | number of threads is 1 | block size is 64
elapsed time = 173.31 | seconds power is 8 | number of threads is 1 | block size is 64
elapsed time = 175.69 | seconds power is 9 | number of threads is 1 | block size is 64
elapsed time = 178.07 | seconds power is 10 | number of threads is 1 | block size is 64
elapsed time = 180.46 | seconds power is 11 | number of threads is 1 | block size is 64
elapsed time = 182.84 | seconds power is 12 | number of threads is 1 | block size is 64
elapsed time = 185.23 | seconds power is 13 | number of threads is 1 | block size is 64
elapsed time = 187.61 | seconds power is 14 | number of threads is 1 | block size is 64
elapsed time = 190.00 | seconds power is 15 | number of threads is 1 | block size is 64
elapsed time = 192.38 | seconds power is 16 | number of threads is 1 | block size is 64
1024 1 thread done
elapsed time = 1.53 | seconds power is 2 | number of threads is 2 | block size is 4
elapsed time = 3.01 | seconds power is 3 | number of threads is 2 | block size is 4
elapsed time = 4.48 | seconds power is 4 | number of threads is 2 | block size is 4
elapsed time = 5.97 | seconds power is 5 | number of threads is 2 | block size is 4
elapsed time = 7.44 | seconds power is 6 | number of threads is 2 | block size is 4
elapsed time = 8.92 | seconds power is 7 | number of threads is 2 | block size is 4
elapsed time = 10.40 | seconds power is 8 | number of threads is 2 | block size is 4
elapsed time = 11.90 | seconds power is 9 | number of threads is 2 | block size is 4
elapsed time = 13.38 | seconds power is 10 | number of threads is 2 | block size is 4
elapsed time = 14.85 | seconds power is 11 | number of threads is 2 | block size is 4
elapsed time = 16.34 | seconds power is 12 | number of threads is 2 | block size is 4
elapsed time = 17.82 | seconds power is 13 | number of threads is 2 | block size is 4
elapsed time = 19.30 | seconds power is 14 | number of threads is 2 | block size is 4
elapsed time = 20.79 | seconds power is 15 | number of threads is 2 | block size is 4
elapsed time = 22.28 | seconds power is 16 | number of threads is 2 | block size is 4
elapsed time = 23.59 | seconds power is 2 | number of threads is 2 | block size is 8
elapsed time = 24.90 | seconds power is 3 | number of threads is 2 | block size is 8
elapsed time = 26.21 | seconds power is 4 | number of threads is 2 | block size is 8
elapsed time = 27.51 | seconds power is 5 | number of threads is 2 | block size is 8
elapsed time = 28.83 | seconds power is 6 | number of threads is 2 | block size is 8
elapsed time = 30.14 | seconds power is 7 | number of threads is 2 | block size is 8
elapsed time = 31.45 | seconds power is 8 | number of threads is 2 | block size is 8
elapsed time = 32.76 | seconds power is 9 | number of threads is 2 | block size is 8
elapsed time = 34.07 | seconds power is 10 | number of threads is 2 | block size is 8
elapsed time = 35.38 | seconds power is 11 | number of threads is 2 | block size is 8
elapsed time = 36.68 | seconds power is 12 | number of threads is 2 | block size is 8
elapsed time = 37.98 | seconds power is 13 | number of threads is 2 | block size is 8
elapsed time = 39.30 | seconds power is 14 | number of threads is 2 | block size is 8
elapsed time = 40.60 | seconds power is 15 | number of threads is 2 | block size is 8
elapsed time = 41.91 | seconds power is 16 | number of threads is 2 | block size is 8
elapsed time = 43.13 | seconds power is 2 | number of threads is 2 | block size is 16
elapsed time = 44.35 | seconds power is 3 | number of threads is 2 | block size is 16
elapsed time = 45.57 | seconds power is 4 | number of threads is 2 | block size is 16
elapsed time = 46.79 | seconds power is 5 | number of threads is 2 | block size is 16
elapsed time = 48.01 | seconds power is 6 | number of threads is 2 | block size is 16
elapsed time = 49.24 | seconds power is 7 | number of threads is 2 | block size is 16
elapsed time = 50.46 | seconds power is 8 | number of threads is 2 | block size is 16
elapsed time = 51.68 | seconds power is 9 | number of threads is 2 | block size is 16
elapsed time = 52.90 | seconds power is 10 | number of threads is 2 | block size is 16
elapsed time = 54.13 | seconds power is 11 | number of threads is 2 | block size is 16
elapsed time = 55.35 | seconds power is 12 | number of threads is 2 | block size is 16
elapsed time = 56.57 | seconds power is 13 | number of threads is 2 | block size is 16
elapsed time = 57.79 | seconds power is 14 | number of threads is 2 | block size is 16
elapsed time = 59.00 | seconds power is 15 | number of threads is 2 | block size is 16
elapsed time = 60.21 | seconds power is 16 | number of threads is 2 | block size is 16
elapsed time = 61.41 | seconds power is 2 | number of threads is 2 | block size is 32
elapsed time = 62.62 | seconds power is 3 | number of threads is 2 | block size is 32
elapsed time = 63.85 | seconds power is 4 | number of threads is 2 | block size is 32
elapsed time = 65.07 | seconds power is 5 | number of threads is 2 | block size is 32
elapsed time = 66.30 | seconds power is 6 | number of threads is 2 | block size is 32
elapsed time = 67.52 | seconds power is 7 | number of threads is 2 | block size is 32
elapsed time = 68.74 | seconds power is 8 | number of threads is 2 | block size is 32
elapsed time = 69.96 | seconds power is 9 | number of threads is 2 | block size is 32
elapsed time = 71.19 | seconds power is 10 | number of threads is 2 | block size is 32
elapsed time = 72.41 | seconds power is 11 | number of threads is 2 | block size is 32
elapsed time = 73.63 | seconds power is 12 | number of threads is 2 | block size is 32
elapsed time = 74.85 | seconds power is 13 | number of threads is 2 | block size is 32
elapsed time = 76.07 | seconds power is 14 | number of threads is 2 | block size is 32
elapsed time = 77.30 | seconds power is 15 | number of threads is 2 | block size is 32
elapsed time = 78.52 | seconds power is 16 | number of threads is 2 | block size is 32
elapsed time = 79.73 | seconds power is 2 | number of threads is 2 | block size is 64
elapsed time = 80.95 | seconds power is 3 | number of threads is 2 | block size is 64
elapsed time = 82.16 | seconds power is 4 | number of threads is 2 | block size is 64
elapsed time = 83.38 | seconds power is 5 | number of threads is 2 | block size is 64
elapsed time = 84.59 | seconds power is 6 | number of threads is 2 | block size is 64
elapsed time = 85.79 | seconds power is 7 | number of threads is 2 | block size is 64
elapsed time = 87.00 | seconds power is 8 | number of threads is 2 | block size is 64
elapsed time = 88.19 | seconds power is 9 | number of threads is 2 | block size is 64
elapsed time = 89.40 | seconds power is 10 | number of threads is 2 | block size is 64
elapsed time = 90.62 | seconds power is 11 | number of threads is 2 | block size is 64
elapsed time = 91.83 | seconds power is 12 | number of threads is 2 | block size is 64
elapsed time = 93.03 | seconds power is 13 | number of threads is 2 | block size is 64
elapsed time = 94.24 | seconds power is 14 | number of threads is 2 | block size is 64
elapsed time = 95.43 | seconds power is 15 | number of threads is 2 | block size is 64
elapsed time = 96.63 | seconds power is 16 | number of threads is 2 | block size is 64
1024 2 thread done
elapsed time = 0.79 | seconds power is 2 | number of threads is 4 | block size is 4
elapsed time = 1.53 | seconds power is 3 | number of threads is 4 | block size is 4
elapsed time = 2.28 | seconds power is 4 | number of threads is 4 | block size is 4
elapsed time = 3.03 | seconds power is 5 | number of threads is 4 | block size is 4
elapsed time = 3.77 | seconds power is 6 | number of threads is 4 | block size is 4
elapsed time = 4.51 | seconds power is 7 | number of threads is 4 | block size is 4
