elapsed time = 2.94 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 5.76 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 8.58 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 11.39 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 14.21 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 17.02 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 19.84 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 22.64 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 25.46 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 28.30 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 31.16 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 33.97 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 36.78 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 39.60 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 42.42 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 44.93 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 47.44 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 49.95 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 52.46 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 54.97 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 57.48 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 60.02 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 62.53 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 65.05 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 67.56 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 70.08 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 72.59 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 75.12 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 77.62 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 80.14 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 82.50 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 84.87 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 87.23 | seconds power is 4 | number of threads is 1 | block size is 16
elapsed time = 89.61 | seconds power is 5 | number of threads is 1 | block size is 16
elapsed time = 91.98 | seconds power is 6 | number of threads is 1 | block size is 16
elapsed time = 94.35 | seconds power is 7 | number of threads is 1 | block size is 16
elapsed time = 96.72 | seconds power is 8 | number of threads is 1 | block size is 16
elapsed time = 99.09 | seconds power is 9 | number of threads is 1 | block size is 16
elapsed time = 101.46 | seconds power is 10 | number of threads is 1 | block size is 16
elapsed time = 103.83 | seconds power is 11 | number of threads is 1 | block size is 16
elapsed time = 106.20 | seconds power is 12 | number of threads is 1 | block size is 16
elapsed time = 108.56 | seconds power is 13 | number of threads is 1 | block size is 16
elapsed time = 110.93 | seconds power is 14 | number of threads is 1 | block size is 16
elapsed time = 113.30 | seconds power is 15 | number of threads is 1 | block size is 16
elapsed time = 115.67 | seconds power is 16 | number of threads is 1 | block size is 16
elapsed time = 118.05 | seconds power is 2 | number of threads is 1 | block size is 32
elapsed time = 120.44 | seconds power is 3 | number of threads is 1 | block size is 32
elapsed time = 122.82 | seconds power is 4 | number of threads is 1 | block size is 32
elapsed time = 125.21 | seconds power is 5 | number of threads is 1 | block size is 32
elapsed time = 127.60 | seconds power is 6 | number of threads is 1 | block size is 32
elapsed time = 129.98 | seconds power is 7 | number of threads is 1 | block size is 32
elapsed time = 132.37 | seconds power is 8 | number of threads is 1 | block size is 32
elapsed time = 134.75 | seconds power is 9 | number of threads is 1 | block size is 32
elapsed time = 137.14 | seconds power is 10 | number of threads is 1 | block size is 32
elapsed time = 139.52 | seconds power is 11 | number of threads is 1 | block size is 32
elapsed time = 141.91 | seconds power is 12 | number of threads is 1 | block size is 32
elapsed time = 144.29 | seconds power is 13 | number of threads is 1 | block size is 32
elapsed time = 146.67 | seconds power is 14 | number of threads is 1 | block size is 32
elapsed time = 149.06 | seconds power is 15 | number of threads is 1 | block size is 32
elapsed time = 151.44 | seconds power is 16 | number of threads is 1 | block size is 32
elapsed time = 153.81 | seconds power is 2 | number of threads is 1 | block size is 64
elapsed time = 156.18 | seconds power is 3 | number of threads is 1 | block size is 64
elapsed time = 158.55 | seconds power is 4 | number of threads is 1 | block size is 64
elapsed time = 160.92 | seconds power is 5 | number of threads is 1 | block size is 64
elapsed time = 163.29 | seconds power is 6 | number of threads is 1 | block size is 64
elapsed time = 165.66 | seconds power is 7 | number of threads is 1 | block size is 64
elapsed time = 168.03 | seconds power is 8 | number of threads is 1 | block size is 64
elapsed time = 170.40 | seconds power is 9 | number of threads is 1 | block size is 64
elapsed time = 172.77 | seconds power is 10 | number of threads is 1 | block size is 64
elapsed time = 175.14 | seconds power is 11 | number of threads is 1 | block size is 64
elapsed time = 177.51 | seconds power is 12 | number of threads is 1 | block size is 64
elapsed time = 179.88 | seconds power is 13 | number of threads is 1 | block size is 64
elapsed time = 182.25 | seconds power is 14 | number of threads is 1 | block size is 64
elapsed time = 184.62 | seconds power is 15 | number of threads is 1 | block size is 64
elapsed time = 186.99 | seconds power is 16 | number of threads is 1 | block size is 64
1024 1 thread done
elapsed time = 1.44 | seconds power is 2 | number of threads is 2 | block size is 4
elapsed time = 2.88 | seconds power is 3 | number of threads is 2 | block size is 4
elapsed time = 4.30 | seconds power is 4 | number of threads is 2 | block size is 4
elapsed time = 5.74 | seconds power is 5 | number of threads is 2 | block size is 4
elapsed time = 7.15 | seconds power is 6 | number of threads is 2 | block size is 4
elapsed time = 8.59 | seconds power is 7 | number of threads is 2 | block size is 4
elapsed time = 10.06 | seconds power is 8 | number of threads is 2 | block size is 4
elapsed time = 11.59 | seconds power is 9 | number of threads is 2 | block size is 4
elapsed time = 13.00 | seconds power is 10 | number of threads is 2 | block size is 4
elapsed time = 14.42 | seconds power is 11 | number of threads is 2 | block size is 4
elapsed time = 15.83 | seconds power is 12 | number of threads is 2 | block size is 4
elapsed time = 17.24 | seconds power is 13 | number of threads is 2 | block size is 4
elapsed time = 18.65 | seconds power is 14 | number of threads is 2 | block size is 4
elapsed time = 20.07 | seconds power is 15 | number of threads is 2 | block size is 4
elapsed time = 21.48 | seconds power is 16 | number of threads is 2 | block size is 4
elapsed time = 22.74 | seconds power is 2 | number of threads is 2 | block size is 8
elapsed time = 24.00 | seconds power is 3 | number of threads is 2 | block size is 8
elapsed time = 25.26 | seconds power is 4 | number of threads is 2 | block size is 8
elapsed time = 26.52 | seconds power is 5 | number of threads is 2 | block size is 8
elapsed time = 27.78 | seconds power is 6 | number of threads is 2 | block size is 8
elapsed time = 29.03 | seconds power is 7 | number of threads is 2 | block size is 8
elapsed time = 30.29 | seconds power is 8 | number of threads is 2 | block size is 8
elapsed time = 31.55 | seconds power is 9 | number of threads is 2 | block size is 8
elapsed time = 32.81 | seconds power is 10 | number of threads is 2 | block size is 8
elapsed time = 34.07 | seconds power is 11 | number of threads is 2 | block size is 8
elapsed time = 35.33 | seconds power is 12 | number of threads is 2 | block size is 8
elapsed time = 36.59 | seconds power is 13 | number of threads is 2 | block size is 8
elapsed time = 37.85 | seconds power is 14 | number of threads is 2 | block size is 8
elapsed time = 39.11 | seconds power is 15 | number of threads is 2 | block size is 8
elapsed time = 40.37 | seconds power is 16 | number of threads is 2 | block size is 8
elapsed time = 41.56 | seconds power is 2 | number of threads is 2 | block size is 16
elapsed time = 42.74 | seconds power is 3 | number of threads is 2 | block size is 16
elapsed time = 43.93 | seconds power is 4 | number of threads is 2 | block size is 16
elapsed time = 45.12 | seconds power is 5 | number of threads is 2 | block size is 16
elapsed time = 46.30 | seconds power is 6 | number of threads is 2 | block size is 16
elapsed time = 47.49 | seconds power is 7 | number of threads is 2 | block size is 16
elapsed time = 48.68 | seconds power is 8 | number of threads is 2 | block size is 16
elapsed time = 49.87 | seconds power is 9 | number of threads is 2 | block size is 16
elapsed time = 51.05 | seconds power is 10 | number of threads is 2 | block size is 16
elapsed time = 52.24 | seconds power is 11 | number of threads is 2 | block size is 16
elapsed time = 53.43 | seconds power is 12 | number of threads is 2 | block size is 16
elapsed time = 54.61 | seconds power is 13 | number of threads is 2 | block size is 16
elapsed time = 55.80 | seconds power is 14 | number of threads is 2 | block size is 16
elapsed time = 56.99 | seconds power is 15 | number of threads is 2 | block size is 16
elapsed time = 58.18 | seconds power is 16 | number of threads is 2 | block size is 16
elapsed time = 59.37 | seconds power is 2 | number of threads is 2 | block size is 32
elapsed time = 60.57 | seconds power is 3 | number of threads is 2 | block size is 32
elapsed time = 61.76 | seconds power is 4 | number of threads is 2 | block size is 32
elapsed time = 62.96 | seconds power is 5 | number of threads is 2 | block size is 32
elapsed time = 64.16 | seconds power is 6 | number of threads is 2 | block size is 32
elapsed time = 65.36 | seconds power is 7 | number of threads is 2 | block size is 32
elapsed time = 66.55 | seconds power is 8 | number of threads is 2 | block size is 32
elapsed time = 67.75 | seconds power is 9 | number of threads is 2 | block size is 32
elapsed time = 68.95 | seconds power is 10 | number of threads is 2 | block size is 32
elapsed time = 70.14 | seconds power is 11 | number of threads is 2 | block size is 32
elapsed time = 71.34 | seconds power is 12 | number of threads is 2 | block size is 32
elapsed time = 72.53 | seconds power is 13 | number of threads is 2 | block size is 32
elapsed time = 73.73 | seconds power is 14 | number of threads is 2 | block size is 32
elapsed time = 74.92 | seconds power is 15 | number of threads is 2 | block size is 32
elapsed time = 76.12 | seconds power is 16 | number of threads is 2 | block size is 32
elapsed time = 77.30 | seconds power is 2 | number of threads is 2 | block size is 64
elapsed time = 78.49 | seconds power is 3 | number of threads is 2 | block size is 64
elapsed time = 79.68 | seconds power is 4 | number of threads is 2 | block size is 64
elapsed time = 80.86 | seconds power is 5 | number of threads is 2 | block size is 64
elapsed time = 82.05 | seconds power is 6 | number of threads is 2 | block size is 64
elapsed time = 83.23 | seconds power is 7 | number of threads is 2 | block size is 64
elapsed time = 84.42 | seconds power is 8 | number of threads is 2 | block size is 64
elapsed time = 85.61 | seconds power is 9 | number of threads is 2 | block size is 64
elapsed time = 86.79 | seconds power is 10 | number of threads is 2 | block size is 64
elapsed time = 87.98 | seconds power is 11 | number of threads is 2 | block size is 64
elapsed time = 89.16 | seconds power is 12 | number of threads is 2 | block size is 64
elapsed time = 90.35 | seconds power is 13 | number of threads is 2 | block size is 64
elapsed time = 91.54 | seconds power is 14 | number of threads is 2 | block size is 64
elapsed time = 92.72 | seconds power is 15 | number of threads is 2 | block size is 64
elapsed time = 93.91 | seconds power is 16 | number of threads is 2 | block size is 64
1024 2 thread done
elapsed time = 0.74 | seconds power is 2 | number of threads is 4 | block size is 4
elapsed time = 1.47 | seconds power is 3 | number of threads is 4 | block size is 4
elapsed time = 2.19 | seconds power is 4 | number of threads is 4 | block size is 4
elapsed time = 2.91 | seconds power is 5 | number of threads is 4 | block size is 4
elapsed time = 3.65 | seconds power is 6 | number of threads is 4 | block size is 4
elapsed time = 4.37 | seconds power is 7 | number of threads is 4 | block size is 4
elapsed time = 5.10 | seconds power is 8 | number of threads is 4 | block size is 4
elapsed time = 5.82 | seconds power is 9 | number of threads is 4 | block size is 4
elapsed time = 6.55 | seconds power is 10 | number of threads is 4 | block size is 4
elapsed time = 7.27 | seconds power is 11 | number of threads is 4 | block size is 4
elapsed time = 7.99 | seconds power is 12 | number of threads is 4 | block size is 4
elapsed time = 8.72 | seconds power is 13 | number of threads is 4 | block size is 4
elapsed time = 9.44 | seconds power is 14 | number of threads is 4 | block size is 4
elapsed time = 10.17 | seconds power is 15 | number of threads is 4 | block size is 4
elapsed time = 10.89 | seconds power is 16 | number of threads is 4 | block size is 4
elapsed time = 11.54 | seconds power is 2 | number of threads is 4 | block size is 8
elapsed time = 12.18 | seconds power is 3 | number of threads is 4 | block size is 8
elapsed time = 12.82 | seconds power is 4 | number of threads is 4 | block size is 8
elapsed time = 13.46 | seconds power is 5 | number of threads is 4 | block size is 8
elapsed time = 14.11 | seconds power is 6 | number of threads is 4 | block size is 8
elapsed time = 14.75 | seconds power is 7 | number of threads is 4 | block size is 8
elapsed time = 15.39 | seconds power is 8 | number of threads is 4 | block size is 8
elapsed time = 16.03 | seconds power is 9 | number of threads is 4 | block size is 8
elapsed time = 16.68 | seconds power is 10 | number of threads is 4 | block size is 8
elapsed time = 17.32 | seconds power is 11 | number of threads is 4 | block size is 8
elapsed time = 17.96 | seconds power is 12 | number of threads is 4 | block size is 8
elapsed time = 18.61 | seconds power is 13 | number of threads is 4 | block size is 8
elapsed time = 19.25 | seconds power is 14 | number of threads is 4 | block size is 8
elapsed time = 19.89 | seconds power is 15 | number of threads is 4 | block size is 8
elapsed time = 20.54 | seconds power is 16 | number of threads is 4 | block size is 8
elapsed time = 21.15 | seconds power is 2 | number of threads is 4 | block size is 16
elapsed time = 21.75 | seconds power is 3 | number of threads is 4 | block size is 16
elapsed time = 22.36 | seconds power is 4 | number of threads is 4 | block size is 16
elapsed time = 22.97 | seconds power is 5 | number of threads is 4 | block size is 16
elapsed time = 23.57 | seconds power is 6 | number of threads is 4 | block size is 16
elapsed time = 24.18 | seconds power is 7 | number of threads is 4 | block size is 16
elapsed time = 24.79 | seconds power is 8 | number of threads is 4 | block size is 16
elapsed time = 25.39 | seconds power is 9 | number of threads is 4 | block size is 16
elapsed time = 26.00 | seconds power is 10 | number of threads is 4 | block size is 16
elapsed time = 26.61 | seconds power is 11 | number of threads is 4 | block size is 16
elapsed time = 27.22 | seconds power is 12 | number of threads is 4 | block size is 16
