elapsed time = 1.47 | seconds power is 2 | number of threads is 2 | block size is 4
elapsed time = 2.88 | seconds power is 3 | number of threads is 2 | block size is 4
elapsed time = 4.30 | seconds power is 4 | number of threads is 2 | block size is 4
elapsed time = 5.72 | seconds power is 5 | number of threads is 2 | block size is 4
elapsed time = 7.13 | seconds power is 6 | number of threads is 2 | block size is 4
elapsed time = 8.55 | seconds power is 7 | number of threads is 2 | block size is 4
elapsed time = 9.96 | seconds power is 8 | number of threads is 2 | block size is 4
elapsed time = 11.38 | seconds power is 9 | number of threads is 2 | block size is 4
elapsed time = 12.80 | seconds power is 10 | number of threads is 2 | block size is 4
elapsed time = 14.21 | seconds power is 11 | number of threads is 2 | block size is 4
elapsed time = 15.62 | seconds power is 12 | number of threads is 2 | block size is 4
elapsed time = 17.05 | seconds power is 13 | number of threads is 2 | block size is 4
elapsed time = 18.47 | seconds power is 14 | number of threads is 2 | block size is 4
elapsed time = 19.88 | seconds power is 15 | number of threads is 2 | block size is 4
elapsed time = 21.30 | seconds power is 16 | number of threads is 2 | block size is 4
elapsed time = 22.55 | seconds power is 2 | number of threads is 2 | block size is 8
elapsed time = 23.81 | seconds power is 3 | number of threads is 2 | block size is 8
elapsed time = 25.10 | seconds power is 4 | number of threads is 2 | block size is 8
elapsed time = 26.36 | seconds power is 5 | number of threads is 2 | block size is 8
elapsed time = 27.62 | seconds power is 6 | number of threads is 2 | block size is 8
elapsed time = 28.88 | seconds power is 7 | number of threads is 2 | block size is 8
elapsed time = 30.14 | seconds power is 8 | number of threads is 2 | block size is 8
elapsed time = 31.41 | seconds power is 9 | number of threads is 2 | block size is 8
elapsed time = 32.67 | seconds power is 10 | number of threads is 2 | block size is 8
elapsed time = 33.93 | seconds power is 11 | number of threads is 2 | block size is 8
elapsed time = 35.19 | seconds power is 12 | number of threads is 2 | block size is 8
elapsed time = 36.44 | seconds power is 13 | number of threads is 2 | block size is 8
elapsed time = 37.70 | seconds power is 14 | number of threads is 2 | block size is 8
elapsed time = 38.97 | seconds power is 15 | number of threads is 2 | block size is 8
elapsed time = 40.23 | seconds power is 16 | number of threads is 2 | block size is 8
elapsed time = 41.41 | seconds power is 2 | number of threads is 2 | block size is 16
elapsed time = 42.60 | seconds power is 3 | number of threads is 2 | block size is 16
elapsed time = 43.79 | seconds power is 4 | number of threads is 2 | block size is 16
elapsed time = 44.98 | seconds power is 5 | number of threads is 2 | block size is 16
elapsed time = 46.17 | seconds power is 6 | number of threads is 2 | block size is 16
elapsed time = 47.35 | seconds power is 7 | number of threads is 2 | block size is 16
elapsed time = 48.54 | seconds power is 8 | number of threads is 2 | block size is 16
elapsed time = 49.73 | seconds power is 9 | number of threads is 2 | block size is 16
elapsed time = 50.92 | seconds power is 10 | number of threads is 2 | block size is 16
elapsed time = 52.11 | seconds power is 11 | number of threads is 2 | block size is 16
elapsed time = 53.30 | seconds power is 12 | number of threads is 2 | block size is 16
elapsed time = 54.48 | seconds power is 13 | number of threads is 2 | block size is 16
elapsed time = 55.67 | seconds power is 14 | number of threads is 2 | block size is 16
elapsed time = 56.86 | seconds power is 15 | number of threads is 2 | block size is 16
elapsed time = 58.05 | seconds power is 16 | number of threads is 2 | block size is 16
elapsed time = 59.24 | seconds power is 2 | number of threads is 2 | block size is 32
elapsed time = 60.43 | seconds power is 3 | number of threads is 2 | block size is 32
elapsed time = 61.63 | seconds power is 4 | number of threads is 2 | block size is 32
elapsed time = 62.82 | seconds power is 5 | number of threads is 2 | block size is 32
elapsed time = 64.02 | seconds power is 6 | number of threads is 2 | block size is 32
elapsed time = 65.22 | seconds power is 7 | number of threads is 2 | block size is 32
elapsed time = 66.41 | seconds power is 8 | number of threads is 2 | block size is 32
elapsed time = 67.60 | seconds power is 9 | number of threads is 2 | block size is 32
elapsed time = 68.80 | seconds power is 10 | number of threads is 2 | block size is 32
elapsed time = 69.99 | seconds power is 11 | number of threads is 2 | block size is 32
elapsed time = 71.18 | seconds power is 12 | number of threads is 2 | block size is 32
elapsed time = 72.38 | seconds power is 13 | number of threads is 2 | block size is 32
elapsed time = 73.57 | seconds power is 14 | number of threads is 2 | block size is 32
elapsed time = 74.77 | seconds power is 15 | number of threads is 2 | block size is 32
elapsed time = 75.96 | seconds power is 16 | number of threads is 2 | block size is 32
elapsed time = 77.15 | seconds power is 2 | number of threads is 2 | block size is 64
elapsed time = 78.34 | seconds power is 3 | number of threads is 2 | block size is 64
elapsed time = 79.53 | seconds power is 4 | number of threads is 2 | block size is 64
elapsed time = 80.72 | seconds power is 5 | number of threads is 2 | block size is 64
elapsed time = 81.91 | seconds power is 6 | number of threads is 2 | block size is 64
elapsed time = 83.09 | seconds power is 7 | number of threads is 2 | block size is 64
elapsed time = 84.28 | seconds power is 8 | number of threads is 2 | block size is 64
elapsed time = 85.47 | seconds power is 9 | number of threads is 2 | block size is 64
elapsed time = 86.66 | seconds power is 10 | number of threads is 2 | block size is 64
elapsed time = 87.85 | seconds power is 11 | number of threads is 2 | block size is 64
elapsed time = 89.04 | seconds power is 12 | number of threads is 2 | block size is 64
elapsed time = 90.22 | seconds power is 13 | number of threads is 2 | block size is 64
elapsed time = 91.41 | seconds power is 14 | number of threads is 2 | block size is 64
elapsed time = 92.60 | seconds power is 15 | number of threads is 2 | block size is 64
elapsed time = 93.79 | seconds power is 16 | number of threads is 2 | block size is 64
1024 2 thread done
elapsed time = 0.76 | seconds power is 2 | number of threads is 4 | block size is 4
elapsed time = 1.48 | seconds power is 3 | number of threads is 4 | block size is 4
elapsed time = 2.21 | seconds power is 4 | number of threads is 4 | block size is 4
elapsed time = 2.93 | seconds power is 5 | number of threads is 4 | block size is 4
elapsed time = 3.65 | seconds power is 6 | number of threads is 4 | block size is 4
elapsed time = 4.38 | seconds power is 7 | number of threads is 4 | block size is 4
elapsed time = 5.11 | seconds power is 8 | number of threads is 4 | block size is 4
elapsed time = 5.83 | seconds power is 9 | number of threads is 4 | block size is 4
elapsed time = 6.56 | seconds power is 10 | number of threads is 4 | block size is 4
elapsed time = 7.29 | seconds power is 11 | number of threads is 4 | block size is 4
elapsed time = 8.01 | seconds power is 12 | number of threads is 4 | block size is 4
elapsed time = 8.73 | seconds power is 13 | number of threads is 4 | block size is 4
elapsed time = 9.46 | seconds power is 14 | number of threads is 4 | block size is 4
elapsed time = 10.18 | seconds power is 15 | number of threads is 4 | block size is 4
elapsed time = 10.91 | seconds power is 16 | number of threads is 4 | block size is 4
elapsed time = 11.55 | seconds power is 2 | number of threads is 4 | block size is 8
elapsed time = 12.19 | seconds power is 3 | number of threads is 4 | block size is 8
elapsed time = 12.84 | seconds power is 4 | number of threads is 4 | block size is 8
elapsed time = 13.48 | seconds power is 5 | number of threads is 4 | block size is 8
elapsed time = 14.13 | seconds power is 6 | number of threads is 4 | block size is 8
elapsed time = 14.77 | seconds power is 7 | number of threads is 4 | block size is 8
elapsed time = 15.41 | seconds power is 8 | number of threads is 4 | block size is 8
elapsed time = 16.06 | seconds power is 9 | number of threads is 4 | block size is 8
elapsed time = 16.71 | seconds power is 10 | number of threads is 4 | block size is 8
elapsed time = 17.35 | seconds power is 11 | number of threads is 4 | block size is 8
elapsed time = 18.00 | seconds power is 12 | number of threads is 4 | block size is 8
elapsed time = 18.64 | seconds power is 13 | number of threads is 4 | block size is 8
elapsed time = 19.28 | seconds power is 14 | number of threads is 4 | block size is 8
elapsed time = 19.93 | seconds power is 15 | number of threads is 4 | block size is 8
elapsed time = 20.57 | seconds power is 16 | number of threads is 4 | block size is 8
elapsed time = 21.18 | seconds power is 2 | number of threads is 4 | block size is 16
elapsed time = 21.78 | seconds power is 3 | number of threads is 4 | block size is 16
elapsed time = 22.39 | seconds power is 4 | number of threads is 4 | block size is 16
elapsed time = 23.00 | seconds power is 5 | number of threads is 4 | block size is 16
elapsed time = 23.61 | seconds power is 6 | number of threads is 4 | block size is 16
elapsed time = 24.21 | seconds power is 7 | number of threads is 4 | block size is 16
elapsed time = 24.82 | seconds power is 8 | number of threads is 4 | block size is 16
elapsed time = 25.43 | seconds power is 9 | number of threads is 4 | block size is 16
elapsed time = 26.03 | seconds power is 10 | number of threads is 4 | block size is 16
elapsed time = 26.64 | seconds power is 11 | number of threads is 4 | block size is 16
elapsed time = 27.25 | seconds power is 12 | number of threads is 4 | block size is 16
elapsed time = 27.86 | seconds power is 13 | number of threads is 4 | block size is 16
