elapsed time = 2.86 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 5.69 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 8.51 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 11.32 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 14.14 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 16.95 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 19.78 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 22.60 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 25.46 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 28.31 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 31.13 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 33.94 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 36.76 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 39.58 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 42.39 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 44.90 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 47.41 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 49.93 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 52.44 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 54.94 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 57.45 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 59.96 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 62.47 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 65.00 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 67.51 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 70.02 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 72.54 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 75.04 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 77.56 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 80.07 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 82.43 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 84.80 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 87.17 | seconds power is 4 | number of threads is 1 | block size is 16
