elapsed time = 2.97 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 5.89 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 8.81 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 11.62 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 14.43 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 17.23 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 20.03 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 22.84 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 25.64 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 28.44 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 31.25 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 34.05 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 36.89 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 39.78 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 42.63 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 45.14 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 47.65 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 50.16 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 52.67 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 55.19 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 57.69 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 60.21 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 62.72 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 65.23 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 67.74 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 70.26 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 72.77 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 75.27 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 77.78 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 80.29 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 82.65 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 85.03 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 87.40 | seconds power is 4 | number of threads is 1 | block size is 16
elapsed time = 89.76 | seconds power is 5 | number of threads is 1 | block size is 16
elapsed time = 92.13 | seconds power is 6 | number of threads is 1 | block size is 16
elapsed time = 94.50 | seconds power is 7 | number of threads is 1 | block size is 16
elapsed time = 96.87 | seconds power is 8 | number of threads is 1 | block size is 16
elapsed time = 99.24 | seconds power is 9 | number of threads is 1 | block size is 16
elapsed time = 101.62 | seconds power is 10 | number of threads is 1 | block size is 16
elapsed time = 103.99 | seconds power is 11 | number of threads is 1 | block size is 16
elapsed time = 106.36 | seconds power is 12 | number of threads is 1 | block size is 16
elapsed time = 108.73 | seconds power is 13 | number of threads is 1 | block size is 16
elapsed time = 111.10 | seconds power is 14 | number of threads is 1 | block size is 16
elapsed time = 113.47 | seconds power is 15 | number of threads is 1 | block size is 16
elapsed time = 115.84 | seconds power is 16 | number of threads is 1 | block size is 16
elapsed time = 118.22 | seconds power is 2 | number of threads is 1 | block size is 32
elapsed time = 120.60 | seconds power is 3 | number of threads is 1 | block size is 32
elapsed time = 122.99 | seconds power is 4 | number of threads is 1 | block size is 32
elapsed time = 125.38 | seconds power is 5 | number of threads is 1 | block size is 32
elapsed time = 127.76 | seconds power is 6 | number of threads is 1 | block size is 32
elapsed time = 130.15 | seconds power is 7 | number of threads is 1 | block size is 32
elapsed time = 132.53 | seconds power is 8 | number of threads is 1 | block size is 32
elapsed time = 134.92 | seconds power is 9 | number of threads is 1 | block size is 32
elapsed time = 137.31 | seconds power is 10 | number of threads is 1 | block size is 32
elapsed time = 139.70 | seconds power is 11 | number of threads is 1 | block size is 32
elapsed time = 142.08 | seconds power is 12 | number of threads is 1 | block size is 32
elapsed time = 144.47 | seconds power is 13 | number of threads is 1 | block size is 32
elapsed time = 146.85 | seconds power is 14 | number of threads is 1 | block size is 32
elapsed time = 149.24 | seconds power is 15 | number of threads is 1 | block size is 32
elapsed time = 151.63 | seconds power is 16 | number of threads is 1 | block size is 32
elapsed time = 153.99 | seconds power is 2 | number of threads is 1 | block size is 64
elapsed time = 156.36 | seconds power is 3 | number of threads is 1 | block size is 64
elapsed time = 158.73 | seconds power is 4 | number of threads is 1 | block size is 64
elapsed time = 161.09 | seconds power is 5 | number of threads is 1 | block size is 64
elapsed time = 163.46 | seconds power is 6 | number of threads is 1 | block size is 64
elapsed time = 165.83 | seconds power is 7 | number of threads is 1 | block size is 64
elapsed time = 168.20 | seconds power is 8 | number of threads is 1 | block size is 64
elapsed time = 170.56 | seconds power is 9 | number of threads is 1 | block size is 64
elapsed time = 172.93 | seconds power is 10 | number of threads is 1 | block size is 64
elapsed time = 175.30 | seconds power is 11 | number of threads is 1 | block size is 64
elapsed time = 177.67 | seconds power is 12 | number of threads is 1 | block size is 64
elapsed time = 180.03 | seconds power is 13 | number of threads is 1 | block size is 64
