1024 1 thread done
elapsed time = 10.21 | seconds power is 15 | number of threads is 4 | block size is 4
elapsed time = 10.94 | seconds power is 16 | number of threads is 4 | block size is 4
elapsed time = 11.58 | seconds power is 2 | number of threads is 4 | block size is 8
elapsed time = 12.22 | seconds power is 3 | number of threads is 4 | block size is 8
elapsed time = 12.87 | seconds power is 4 | number of threads is 4 | block size is 8
elapsed time = 13.51 | seconds power is 5 | number of threads is 4 | block size is 8
elapsed time = 14.15 | seconds power is 6 | number of threads is 4 | block size is 8
elapsed time = 14.80 | seconds power is 7 | number of threads is 4 | block size is 8
elapsed time = 15.44 | seconds power is 8 | number of threads is 4 | block size is 8
elapsed time = 16.08 | seconds power is 9 | number of threads is 4 | block size is 8
elapsed time = 16.73 | seconds power is 10 | number of threads is 4 | block size is 8
elapsed time = 17.37 | seconds power is 11 | number of threads is 4 | block size is 8
elapsed time = 18.02 | seconds power is 12 | number of threads is 4 | block size is 8
elapsed time = 18.66 | seconds power is 13 | number of threads is 4 | block size is 8
elapsed time = 19.31 | seconds power is 14 | number of threads is 4 | block size is 8
elapsed time = 19.95 | seconds power is 15 | number of threads is 4 | block size is 8
elapsed time = 20.60 | seconds power is 16 | number of threads is 4 | block size is 8
elapsed time = 21.21 | seconds power is 2 | number of threads is 4 | block size is 16
elapsed time = 21.81 | seconds power is 3 | number of threads is 4 | block size is 16
elapsed time = 22.42 | seconds power is 4 | number of threads is 4 | block size is 16
elapsed time = 23.03 | seconds power is 5 | number of threads is 4 | block size is 16
elapsed time = 23.63 | seconds power is 6 | number of threads is 4 | block size is 16
elapsed time = 24.24 | seconds power is 7 | number of threads is 4 | block size is 16
elapsed time = 24.85 | seconds power is 8 | number of threads is 4 | block size is 16
elapsed time = 25.46 | seconds power is 9 | number of threads is 4 | block size is 16
elapsed time = 26.06 | seconds power is 10 | number of threads is 4 | block size is 16
elapsed time = 26.67 | seconds power is 11 | number of threads is 4 | block size is 16
elapsed time = 27.28 | seconds power is 12 | number of threads is 4 | block size is 16
elapsed time = 27.88 | seconds power is 13 | number of threads is 4 | block size is 16
elapsed time = 28.49 | seconds power is 14 | number of threads is 4 | block size is 16
elapsed time = 29.10 | seconds power is 15 | number of threads is 4 | block size is 16
elapsed time = 29.70 | seconds power is 16 | number of threads is 4 | block size is 16
elapsed time = 30.32 | seconds power is 2 | number of threads is 4 | block size is 32
elapsed time = 30.93 | seconds power is 3 | number of threads is 4 | block size is 32
elapsed time = 31.54 | seconds power is 4 | number of threads is 4 | block size is 32
elapsed time = 32.15 | seconds power is 5 | number of threads is 4 | block size is 32
elapsed time = 32.76 | seconds power is 6 | number of threads is 4 | block size is 32
elapsed time = 33.37 | seconds power is 7 | number of threads is 4 | block size is 32
elapsed time = 33.99 | seconds power is 8 | number of threads is 4 | block size is 32
elapsed time = 34.60 | seconds power is 9 | number of threads is 4 | block size is 32
elapsed time = 35.21 | seconds power is 10 | number of threads is 4 | block size is 32
elapsed time = 35.82 | seconds power is 11 | number of threads is 4 | block size is 32
elapsed time = 36.44 | seconds power is 12 | number of threads is 4 | block size is 32
elapsed time = 37.05 | seconds power is 13 | number of threads is 4 | block size is 32
elapsed time = 37.66 | seconds power is 14 | number of threads is 4 | block size is 32
elapsed time = 38.27 | seconds power is 15 | number of threads is 4 | block size is 32
elapsed time = 38.88 | seconds power is 16 | number of threads is 4 | block size is 32
elapsed time = 39.49 | seconds power is 2 | number of threads is 4 | block size is 64
elapsed time = 40.09 | seconds power is 3 | number of threads is 4 | block size is 64
elapsed time = 40.70 | seconds power is 4 | number of threads is 4 | block size is 64
elapsed time = 41.31 | seconds power is 5 | number of threads is 4 | block size is 64
elapsed time = 41.91 | seconds power is 6 | number of threads is 4 | block size is 64
elapsed time = 42.52 | seconds power is 7 | number of threads is 4 | block size is 64
elapsed time = 43.13 | seconds power is 8 | number of threads is 4 | block size is 64
elapsed time = 43.73 | seconds power is 9 | number of threads is 4 | block size is 64
elapsed time = 44.34 | seconds power is 10 | number of threads is 4 | block size is 64
elapsed time = 44.95 | seconds power is 11 | number of threads is 4 | block size is 64
elapsed time = 45.55 | seconds power is 12 | number of threads is 4 | block size is 64
elapsed time = 46.16 | seconds power is 13 | number of threads is 4 | block size is 64
elapsed time = 46.77 | seconds power is 14 | number of threads is 4 | block size is 64
elapsed time = 47.37 | seconds power is 15 | number of threads is 4 | block size is 64
elapsed time = 47.98 | seconds power is 16 | number of threads is 4 | block size is 64
1024 4 thread done
elapsed time = 0.54 | seconds power is 2 | number of threads is 6 | block size is 4
elapsed time = 1.07 | seconds power is 3 | number of threads is 6 | block size is 4
elapsed time = 1.63 | seconds power is 4 | number of threads is 6 | block size is 4
elapsed time = 2.19 | seconds power is 5 | number of threads is 6 | block size is 4
elapsed time = 2.74 | seconds power is 6 | number of threads is 6 | block size is 4
elapsed time = 3.30 | seconds power is 7 | number of threads is 6 | block size is 4
elapsed time = 3.85 | seconds power is 8 | number of threads is 6 | block size is 4
elapsed time = 4.40 | seconds power is 9 | number of threads is 6 | block size is 4
elapsed time = 4.95 | seconds power is 10 | number of threads is 6 | block size is 4
elapsed time = 5.51 | seconds power is 11 | number of threads is 6 | block size is 4
elapsed time = 6.07 | seconds power is 12 | number of threads is 6 | block size is 4
elapsed time = 6.62 | seconds power is 13 | number of threads is 6 | block size is 4
elapsed time = 7.17 | seconds power is 14 | number of threads is 6 | block size is 4
elapsed time = 7.73 | seconds power is 15 | number of threads is 6 | block size is 4
elapsed time = 8.28 | seconds power is 16 | number of threads is 6 | block size is 4
elapsed time = 8.78 | seconds power is 2 | number of threads is 6 | block size is 8
elapsed time = 9.28 | seconds power is 3 | number of threads is 6 | block size is 8
elapsed time = 9.78 | seconds power is 4 | number of threads is 6 | block size is 8
elapsed time = 10.29 | seconds power is 5 | number of threads is 6 | block size is 8
elapsed time = 10.79 | seconds power is 6 | number of threads is 6 | block size is 8
elapsed time = 11.29 | seconds power is 7 | number of threads is 6 | block size is 8
elapsed time = 11.80 | seconds power is 8 | number of threads is 6 | block size is 8
elapsed time = 12.30 | seconds power is 9 | number of threads is 6 | block size is 8
