elapsed time = 3.44 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 6.73 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 10.15 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 13.64 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 16.84 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 20.04 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 23.11 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 26.17 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 29.20 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 32.22 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 35.29 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 38.32 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 41.36 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 44.43 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 47.48 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 50.17 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 52.86 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 55.55 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 58.25 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 60.94 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 63.63 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 66.34 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 69.05 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 71.75 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 74.47 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 77.17 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 79.89 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 82.61 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 85.31 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 88.03 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 90.50 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 92.95 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 95.41 | seconds power is 4 | number of threads is 1 | block size is 16
elapsed time = 97.86 | seconds power is 5 | number of threads is 1 | block size is 16
elapsed time = 100.32 | seconds power is 6 | number of threads is 1 | block size is 16
elapsed time = 102.78 | seconds power is 7 | number of threads is 1 | block size is 16
elapsed time = 105.25 | seconds power is 8 | number of threads is 1 | block size is 16
elapsed time = 107.71 | seconds power is 9 | number of threads is 1 | block size is 16
elapsed time = 110.16 | seconds power is 10 | number of threads is 1 | block size is 16
elapsed time = 112.62 | seconds power is 11 | number of threads is 1 | block size is 16
elapsed time = 115.07 | seconds power is 12 | number of threads is 1 | block size is 16
elapsed time = 117.52 | seconds power is 13 | number of threads is 1 | block size is 16
elapsed time = 119.98 | seconds power is 14 | number of threads is 1 | block size is 16
elapsed time = 122.44 | seconds power is 15 | number of threads is 1 | block size is 16
elapsed time = 124.89 | seconds power is 16 | number of threads is 1 | block size is 16
elapsed time = 127.31 | seconds power is 2 | number of threads is 1 | block size is 32
elapsed time = 129.73 | seconds power is 3 | number of threads is 1 | block size is 32
elapsed time = 132.14 | seconds power is 4 | number of threads is 1 | block size is 32
elapsed time = 134.58 | seconds power is 5 | number of threads is 1 | block size is 32
elapsed time = 137.01 | seconds power is 6 | number of threads is 1 | block size is 32
elapsed time = 139.43 | seconds power is 7 | number of threads is 1 | block size is 32
elapsed time = 141.85 | seconds power is 8 | number of threads is 1 | block size is 32
elapsed time = 144.27 | seconds power is 9 | number of threads is 1 | block size is 32
elapsed time = 146.69 | seconds power is 10 | number of threads is 1 | block size is 32
elapsed time = 149.10 | seconds power is 11 | number of threads is 1 | block size is 32
elapsed time = 151.52 | seconds power is 12 | number of threads is 1 | block size is 32
elapsed time = 153.94 | seconds power is 13 | number of threads is 1 | block size is 32
elapsed time = 156.36 | seconds power is 14 | number of threads is 1 | block size is 32
elapsed time = 158.77 | seconds power is 15 | number of threads is 1 | block size is 32
elapsed time = 161.19 | seconds power is 16 | number of threads is 1 | block size is 32
elapsed time = 163.58 | seconds power is 2 | number of threads is 1 | block size is 64
elapsed time = 165.98 | seconds power is 3 | number of threads is 1 | block size is 64
elapsed time = 168.38 | seconds power is 4 | number of threads is 1 | block size is 64
elapsed time = 170.77 | seconds power is 5 | number of threads is 1 | block size is 64
elapsed time = 173.16 | seconds power is 6 | number of threads is 1 | block size is 64
elapsed time = 175.54 | seconds power is 7 | number of threads is 1 | block size is 64
elapsed time = 177.93 | seconds power is 8 | number of threads is 1 | block size is 64
elapsed time = 180.32 | seconds power is 9 | number of threads is 1 | block size is 64
elapsed time = 182.71 | seconds power is 10 | number of threads is 1 | block size is 64
elapsed time = 185.10 | seconds power is 11 | number of threads is 1 | block size is 64
elapsed time = 187.50 | seconds power is 12 | number of threads is 1 | block size is 64
elapsed time = 189.89 | seconds power is 13 | number of threads is 1 | block size is 64
elapsed time = 192.28 | seconds power is 14 | number of threads is 1 | block size is 64
elapsed time = 194.67 | seconds power is 15 | number of threads is 1 | block size is 64
elapsed time = 197.06 | seconds power is 16 | number of threads is 1 | block size is 64
1024 1 thread done
elapsed time = 1.61 | seconds power is 2 | number of threads is 2 | block size is 4
elapsed time = 3.15 | seconds power is 3 | number of threads is 2 | block size is 4
elapsed time = 4.67 | seconds power is 4 | number of threads is 2 | block size is 4
elapsed time = 6.20 | seconds power is 5 | number of threads is 2 | block size is 4
elapsed time = 7.74 | seconds power is 6 | number of threads is 2 | block size is 4
elapsed time = 9.26 | seconds power is 7 | number of threads is 2 | block size is 4
elapsed time = 10.80 | seconds power is 8 | number of threads is 2 | block size is 4
elapsed time = 12.32 | seconds power is 9 | number of threads is 2 | block size is 4
elapsed time = 13.85 | seconds power is 10 | number of threads is 2 | block size is 4
elapsed time = 15.38 | seconds power is 11 | number of threads is 2 | block size is 4
elapsed time = 16.91 | seconds power is 12 | number of threads is 2 | block size is 4
elapsed time = 18.43 | seconds power is 13 | number of threads is 2 | block size is 4
elapsed time = 19.96 | seconds power is 14 | number of threads is 2 | block size is 4
elapsed time = 21.50 | seconds power is 15 | number of threads is 2 | block size is 4
elapsed time = 23.02 | seconds power is 16 | number of threads is 2 | block size is 4
elapsed time = 24.34 | seconds power is 2 | number of threads is 2 | block size is 8
elapsed time = 25.66 | seconds power is 3 | number of threads is 2 | block size is 8
elapsed time = 26.98 | seconds power is 4 | number of threads is 2 | block size is 8
elapsed time = 28.29 | seconds power is 5 | number of threads is 2 | block size is 8
elapsed time = 29.61 | seconds power is 6 | number of threads is 2 | block size is 8
elapsed time = 30.93 | seconds power is 7 | number of threads is 2 | block size is 8
elapsed time = 32.25 | seconds power is 8 | number of threads is 2 | block size is 8
elapsed time = 33.57 | seconds power is 9 | number of threads is 2 | block size is 8
elapsed time = 34.89 | seconds power is 10 | number of threads is 2 | block size is 8
elapsed time = 36.21 | seconds power is 11 | number of threads is 2 | block size is 8
elapsed time = 37.53 | seconds power is 12 | number of threads is 2 | block size is 8
elapsed time = 38.85 | seconds power is 13 | number of threads is 2 | block size is 8
elapsed time = 40.17 | seconds power is 14 | number of threads is 2 | block size is 8
elapsed time = 41.49 | seconds power is 15 | number of threads is 2 | block size is 8
elapsed time = 42.81 | seconds power is 16 | number of threads is 2 | block size is 8
elapsed time = 44.02 | seconds power is 2 | number of threads is 2 | block size is 16
elapsed time = 45.24 | seconds power is 3 | number of threads is 2 | block size is 16
elapsed time = 46.46 | seconds power is 4 | number of threads is 2 | block size is 16
elapsed time = 47.67 | seconds power is 5 | number of threads is 2 | block size is 16
elapsed time = 48.89 | seconds power is 6 | number of threads is 2 | block size is 16
elapsed time = 50.10 | seconds power is 7 | number of threads is 2 | block size is 16
elapsed time = 51.32 | seconds power is 8 | number of threads is 2 | block size is 16
elapsed time = 52.53 | seconds power is 9 | number of threads is 2 | block size is 16
elapsed time = 53.75 | seconds power is 10 | number of threads is 2 | block size is 16
elapsed time = 54.96 | seconds power is 11 | number of threads is 2 | block size is 16
elapsed time = 56.17 | seconds power is 12 | number of threads is 2 | block size is 16
elapsed time = 57.39 | seconds power is 13 | number of threads is 2 | block size is 16
elapsed time = 58.60 | seconds power is 14 | number of threads is 2 | block size is 16
elapsed time = 59.81 | seconds power is 15 | number of threads is 2 | block size is 16
elapsed time = 61.03 | seconds power is 16 | number of threads is 2 | block size is 16
elapsed time = 62.25 | seconds power is 2 | number of threads is 2 | block size is 32
elapsed time = 63.46 | seconds power is 3 | number of threads is 2 | block size is 32
elapsed time = 64.67 | seconds power is 4 | number of threads is 2 | block size is 32
elapsed time = 65.88 | seconds power is 5 | number of threads is 2 | block size is 32
elapsed time = 67.10 | seconds power is 6 | number of threads is 2 | block size is 32
elapsed time = 68.31 | seconds power is 7 | number of threads is 2 | block size is 32
elapsed time = 69.52 | seconds power is 8 | number of threads is 2 | block size is 32
elapsed time = 70.73 | seconds power is 9 | number of threads is 2 | block size is 32
elapsed time = 71.95 | seconds power is 10 | number of threads is 2 | block size is 32
elapsed time = 73.16 | seconds power is 11 | number of threads is 2 | block size is 32
elapsed time = 74.37 | seconds power is 12 | number of threads is 2 | block size is 32
elapsed time = 75.58 | seconds power is 13 | number of threads is 2 | block size is 32
elapsed time = 76.79 | seconds power is 14 | number of threads is 2 | block size is 32
elapsed time = 78.01 | seconds power is 15 | number of threads is 2 | block size is 32
elapsed time = 79.22 | seconds power is 16 | number of threads is 2 | block size is 32
elapsed time = 80.42 | seconds power is 2 | number of threads is 2 | block size is 64
elapsed time = 81.63 | seconds power is 3 | number of threads is 2 | block size is 64
elapsed time = 82.83 | seconds power is 4 | number of threads is 2 | block size is 64
elapsed time = 84.03 | seconds power is 5 | number of threads is 2 | block size is 64
elapsed time = 85.23 | seconds power is 6 | number of threads is 2 | block size is 64
elapsed time = 86.44 | seconds power is 7 | number of threads is 2 | block size is 64
elapsed time = 87.65 | seconds power is 8 | number of threads is 2 | block size is 64
elapsed time = 88.85 | seconds power is 9 | number of threads is 2 | block size is 64
elapsed time = 90.05 | seconds power is 10 | number of threads is 2 | block size is 64
elapsed time = 91.26 | seconds power is 11 | number of threads is 2 | block size is 64
elapsed time = 92.46 | seconds power is 12 | number of threads is 2 | block size is 64
elapsed time = 93.67 | seconds power is 13 | number of threads is 2 | block size is 64
elapsed time = 94.89 | seconds power is 14 | number of threads is 2 | block size is 64
elapsed time = 96.10 | seconds power is 15 | number of threads is 2 | block size is 64
elapsed time = 97.31 | seconds power is 16 | number of threads is 2 | block size is 64
1024 2 thread done
elapsed time = 0.80 | seconds power is 2 | number of threads is 4 | block size is 4
elapsed time = 1.55 | seconds power is 3 | number of threads is 4 | block size is 4
elapsed time = 2.31 | seconds power is 4 | number of threads is 4 | block size is 4
elapsed time = 3.06 | seconds power is 5 | number of threads is 4 | block size is 4
elapsed time = 3.82 | seconds power is 6 | number of threads is 4 | block size is 4
elapsed time = 4.67 | seconds power is 7 | number of threads is 4 | block size is 4
elapsed time = 5.45 | seconds power is 8 | number of threads is 4 | block size is 4
elapsed time = 6.24 | seconds power is 9 | number of threads is 4 | block size is 4
elapsed time = 7.02 | seconds power is 10 | number of threads is 4 | block size is 4
elapsed time = 7.80 | seconds power is 11 | number of threads is 4 | block size is 4
elapsed time = 8.58 | seconds power is 12 | number of threads is 4 | block size is 4
elapsed time = 9.36 | seconds power is 13 | number of threads is 4 | block size is 4
elapsed time = 10.15 | seconds power is 14 | number of threads is 4 | block size is 4
elapsed time = 10.93 | seconds power is 15 | number of threads is 4 | block size is 4
elapsed time = 11.72 | seconds power is 16 | number of threads is 4 | block size is 4
elapsed time = 12.41 | seconds power is 2 | number of threads is 4 | block size is 8
elapsed time = 13.10 | seconds power is 3 | number of threads is 4 | block size is 8
elapsed time = 13.79 | seconds power is 4 | number of threads is 4 | block size is 8
elapsed time = 14.48 | seconds power is 5 | number of threads is 4 | block size is 8
elapsed time = 15.17 | seconds power is 6 | number of threads is 4 | block size is 8
elapsed time = 15.85 | seconds power is 7 | number of threads is 4 | block size is 8
elapsed time = 16.54 | seconds power is 8 | number of threads is 4 | block size is 8
elapsed time = 17.23 | seconds power is 9 | number of threads is 4 | block size is 8
elapsed time = 17.92 | seconds power is 10 | number of threads is 4 | block size is 8
elapsed time = 18.61 | seconds power is 11 | number of threads is 4 | block size is 8
elapsed time = 19.30 | seconds power is 12 | number of threads is 4 | block size is 8
elapsed time = 19.99 | seconds power is 13 | number of threads is 4 | block size is 8
elapsed time = 20.69 | seconds power is 14 | number of threads is 4 | block size is 8
elapsed time = 21.38 | seconds power is 15 | number of threads is 4 | block size is 8
elapsed time = 22.07 | seconds power is 16 | number of threads is 4 | block size is 8
elapsed time = 22.71 | seconds power is 2 | number of threads is 4 | block size is 16
elapsed time = 23.36 | seconds power is 3 | number of threads is 4 | block size is 16
elapsed time = 24.00 | seconds power is 4 | number of threads is 4 | block size is 16
elapsed time = 24.65 | seconds power is 5 | number of threads is 4 | block size is 16
elapsed time = 25.30 | seconds power is 6 | number of threads is 4 | block size is 16
elapsed time = 25.94 | seconds power is 7 | number of threads is 4 | block size is 16
elapsed time = 26.60 | seconds power is 8 | number of threads is 4 | block size is 16
elapsed time = 27.26 | seconds power is 9 | number of threads is 4 | block size is 16
elapsed time = 27.91 | seconds power is 10 | number of threads is 4 | block size is 16
elapsed time = 28.57 | seconds power is 11 | number of threads is 4 | block size is 16
elapsed time = 29.22 | seconds power is 12 | number of threads is 4 | block size is 16
elapsed time = 29.87 | seconds power is 13 | number of threads is 4 | block size is 16
elapsed time = 30.53 | seconds power is 14 | number of threads is 4 | block size is 16
elapsed time = 31.17 | seconds power is 15 | number of threads is 4 | block size is 16
elapsed time = 31.82 | seconds power is 16 | number of threads is 4 | block size is 16
elapsed time = 32.47 | seconds power is 2 | number of threads is 4 | block size is 32
elapsed time = 33.12 | seconds power is 3 | number of threads is 4 | block size is 32
elapsed time = 33.76 | seconds power is 4 | number of threads is 4 | block size is 32
elapsed time = 34.41 | seconds power is 5 | number of threads is 4 | block size is 32
elapsed time = 35.06 | seconds power is 6 | number of threads is 4 | block size is 32
elapsed time = 35.71 | seconds power is 7 | number of threads is 4 | block size is 32
elapsed time = 36.37 | seconds power is 8 | number of threads is 4 | block size is 32
elapsed time = 37.03 | seconds power is 9 | number of threads is 4 | block size is 32
elapsed time = 37.68 | seconds power is 10 | number of threads is 4 | block size is 32
elapsed time = 38.33 | seconds power is 11 | number of threads is 4 | block size is 32
elapsed time = 38.98 | seconds power is 12 | number of threads is 4 | block size is 32
elapsed time = 39.62 | seconds power is 13 | number of threads is 4 | block size is 32
elapsed time = 40.27 | seconds power is 14 | number of threads is 4 | block size is 32
elapsed time = 40.91 | seconds power is 15 | number of threads is 4 | block size is 32
elapsed time = 41.56 | seconds power is 16 | number of threads is 4 | block size is 32
elapsed time = 42.20 | seconds power is 2 | number of threads is 4 | block size is 64
elapsed time = 42.84 | seconds power is 3 | number of threads is 4 | block size is 64
elapsed time = 43.48 | seconds power is 4 | number of threads is 4 | block size is 64
