elapsed time = 8.11 | seconds power is 7 | number of threads is 2 | block size is 32
elapsed time = 8.26 | seconds power is 8 | number of threads is 2 | block size is 32
elapsed time = 8.41 | seconds power is 9 | number of threads is 2 | block size is 32
elapsed time = 8.56 | seconds power is 10 | number of threads is 2 | block size is 32
elapsed time = 8.71 | seconds power is 11 | number of threads is 2 | block size is 32
elapsed time = 8.86 | seconds power is 12 | number of threads is 2 | block size is 32
elapsed time = 9.01 | seconds power is 13 | number of threads is 2 | block size is 32
elapsed time = 9.16 | seconds power is 14 | number of threads is 2 | block size is 32
elapsed time = 9.31 | seconds power is 15 | number of threads is 2 | block size is 32
elapsed time = 9.46 | seconds power is 16 | number of threads is 2 | block size is 32
elapsed time = 9.60 | seconds power is 2 | number of threads is 2 | block size is 64
elapsed time = 9.74 | seconds power is 3 | number of threads is 2 | block size is 64
elapsed time = 9.89 | seconds power is 4 | number of threads is 2 | block size is 64
elapsed time = 10.04 | seconds power is 5 | number of threads is 2 | block size is 64
elapsed time = 10.18 | seconds power is 6 | number of threads is 2 | block size is 64
elapsed time = 10.32 | seconds power is 7 | number of threads is 2 | block size is 64
elapsed time = 10.47 | seconds power is 8 | number of threads is 2 | block size is 64
elapsed time = 10.61 | seconds power is 9 | number of threads is 2 | block size is 64
elapsed time = 10.76 | seconds power is 10 | number of threads is 2 | block size is 64
elapsed time = 10.90 | seconds power is 11 | number of threads is 2 | block size is 64
elapsed time = 11.05 | seconds power is 12 | number of threads is 2 | block size is 64
elapsed time = 11.19 | seconds power is 13 | number of threads is 2 | block size is 64
elapsed time = 11.34 | seconds power is 14 | number of threads is 2 | block size is 64
elapsed time = 11.48 | seconds power is 15 | number of threads is 2 | block size is 64
elapsed time = 11.62 | seconds power is 16 | number of threads is 2 | block size is 64
512 2 thread done
elapsed time = 0.10 | seconds power is 2 | number of threads is 4 | block size is 4
elapsed time = 0.19 | seconds power is 3 | number of threads is 4 | block size is 4
elapsed time = 0.28 | seconds power is 4 | number of threads is 4 | block size is 4
elapsed time = 0.37 | seconds power is 5 | number of threads is 4 | block size is 4
elapsed time = 0.46 | seconds power is 6 | number of threads is 4 | block size is 4
elapsed time = 0.55 | seconds power is 7 | number of threads is 4 | block size is 4
elapsed time = 0.64 | seconds power is 8 | number of threads is 4 | block size is 4
elapsed time = 0.73 | seconds power is 9 | number of threads is 4 | block size is 4
elapsed time = 0.81 | seconds power is 10 | number of threads is 4 | block size is 4
elapsed time = 0.90 | seconds power is 11 | number of threads is 4 | block size is 4
elapsed time = 1.00 | seconds power is 12 | number of threads is 4 | block size is 4
elapsed time = 1.08 | seconds power is 13 | number of threads is 4 | block size is 4
elapsed time = 1.17 | seconds power is 14 | number of threads is 4 | block size is 4
elapsed time = 1.26 | seconds power is 15 | number of threads is 4 | block size is 4
elapsed time = 1.35 | seconds power is 16 | number of threads is 4 | block size is 4
elapsed time = 1.43 | seconds power is 2 | number of threads is 4 | block size is 8
elapsed time = 1.51 | seconds power is 3 | number of threads is 4 | block size is 8
elapsed time = 1.59 | seconds power is 4 | number of threads is 4 | block size is 8
elapsed time = 1.67 | seconds power is 5 | number of threads is 4 | block size is 8
elapsed time = 1.75 | seconds power is 6 | number of threads is 4 | block size is 8
elapsed time = 1.83 | seconds power is 7 | number of threads is 4 | block size is 8
elapsed time = 1.92 | seconds power is 8 | number of threads is 4 | block size is 8
elapsed time = 2.00 | seconds power is 9 | number of threads is 4 | block size is 8
elapsed time = 2.08 | seconds power is 10 | number of threads is 4 | block size is 8
elapsed time = 2.16 | seconds power is 11 | number of threads is 4 | block size is 8
elapsed time = 2.24 | seconds power is 12 | number of threads is 4 | block size is 8
elapsed time = 2.32 | seconds power is 13 | number of threads is 4 | block size is 8
elapsed time = 2.40 | seconds power is 14 | number of threads is 4 | block size is 8
elapsed time = 2.48 | seconds power is 15 | number of threads is 4 | block size is 8
elapsed time = 2.56 | seconds power is 16 | number of threads is 4 | block size is 8
elapsed time = 2.64 | seconds power is 2 | number of threads is 4 | block size is 16
elapsed time = 2.71 | seconds power is 3 | number of threads is 4 | block size is 16
elapsed time = 2.79 | seconds power is 4 | number of threads is 4 | block size is 16
elapsed time = 2.87 | seconds power is 5 | number of threads is 4 | block size is 16
elapsed time = 2.94 | seconds power is 6 | number of threads is 4 | block size is 16
elapsed time = 3.02 | seconds power is 7 | number of threads is 4 | block size is 16
elapsed time = 3.09 | seconds power is 8 | number of threads is 4 | block size is 16
elapsed time = 3.17 | seconds power is 9 | number of threads is 4 | block size is 16
elapsed time = 3.25 | seconds power is 10 | number of threads is 4 | block size is 16
elapsed time = 3.32 | seconds power is 11 | number of threads is 4 | block size is 16
elapsed time = 3.40 | seconds power is 12 | number of threads is 4 | block size is 16
elapsed time = 3.47 | seconds power is 13 | number of threads is 4 | block size is 16
elapsed time = 3.55 | seconds power is 14 | number of threads is 4 | block size is 16
elapsed time = 3.63 | seconds power is 15 | number of threads is 4 | block size is 16
elapsed time = 3.70 | seconds power is 16 | number of threads is 4 | block size is 16
elapsed time = 3.78 | seconds power is 2 | number of threads is 4 | block size is 32
elapsed time = 3.86 | seconds power is 3 | number of threads is 4 | block size is 32
elapsed time = 3.93 | seconds power is 4 | number of threads is 4 | block size is 32
elapsed time = 4.01 | seconds power is 5 | number of threads is 4 | block size is 32
elapsed time = 4.09 | seconds power is 6 | number of threads is 4 | block size is 32
elapsed time = 4.16 | seconds power is 7 | number of threads is 4 | block size is 32
elapsed time = 4.24 | seconds power is 8 | number of threads is 4 | block size is 32
elapsed time = 4.31 | seconds power is 9 | number of threads is 4 | block size is 32
elapsed time = 4.39 | seconds power is 10 | number of threads is 4 | block size is 32
elapsed time = 4.47 | seconds power is 11 | number of threads is 4 | block size is 32
elapsed time = 4.54 | seconds power is 12 | number of threads is 4 | block size is 32
elapsed time = 4.62 | seconds power is 13 | number of threads is 4 | block size is 32
elapsed time = 4.70 | seconds power is 14 | number of threads is 4 | block size is 32
elapsed time = 4.77 | seconds power is 15 | number of threads is 4 | block size is 32
elapsed time = 4.85 | seconds power is 16 | number of threads is 4 | block size is 32
elapsed time = 4.92 | seconds power is 2 | number of threads is 4 | block size is 64
elapsed time = 5.00 | seconds power is 3 | number of threads is 4 | block size is 64
elapsed time = 5.07 | seconds power is 4 | number of threads is 4 | block size is 64
elapsed time = 5.15 | seconds power is 5 | number of threads is 4 | block size is 64
elapsed time = 5.22 | seconds power is 6 | number of threads is 4 | block size is 64
elapsed time = 5.29 | seconds power is 7 | number of threads is 4 | block size is 64
elapsed time = 5.37 | seconds power is 8 | number of threads is 4 | block size is 64
elapsed time = 5.44 | seconds power is 9 | number of threads is 4 | block size is 64
elapsed time = 5.51 | seconds power is 10 | number of threads is 4 | block size is 64
elapsed time = 5.59 | seconds power is 11 | number of threads is 4 | block size is 64
elapsed time = 5.66 | seconds power is 12 | number of threads is 4 | block size is 64
elapsed time = 5.74 | seconds power is 13 | number of threads is 4 | block size is 64
elapsed time = 5.81 | seconds power is 14 | number of threads is 4 | block size is 64
elapsed time = 5.88 | seconds power is 15 | number of threads is 4 | block size is 64
elapsed time = 5.96 | seconds power is 16 | number of threads is 4 | block size is 64
512 4 thread done
elapsed time = 0.08 | seconds power is 2 | number of threads is 6 | block size is 4
elapsed time = 0.14 | seconds power is 3 | number of threads is 6 | block size is 4
elapsed time = 0.21 | seconds power is 4 | number of threads is 6 | block size is 4
elapsed time = 0.27 | seconds power is 5 | number of threads is 6 | block size is 4
elapsed time = 0.33 | seconds power is 6 | number of threads is 6 | block size is 4
elapsed time = 0.40 | seconds power is 7 | number of threads is 6 | block size is 4
elapsed time = 0.46 | seconds power is 8 | number of threads is 6 | block size is 4
elapsed time = 0.52 | seconds power is 9 | number of threads is 6 | block size is 4
elapsed time = 0.59 | seconds power is 10 | number of threads is 6 | block size is 4
elapsed time = 0.65 | seconds power is 11 | number of threads is 6 | block size is 4
elapsed time = 0.71 | seconds power is 12 | number of threads is 6 | block size is 4
elapsed time = 0.78 | seconds power is 13 | number of threads is 6 | block size is 4
elapsed time = 0.84 | seconds power is 14 | number of threads is 6 | block size is 4
elapsed time = 0.90 | seconds power is 15 | number of threads is 6 | block size is 4
elapsed time = 0.97 | seconds power is 16 | number of threads is 6 | block size is 4
elapsed time = 1.02 | seconds power is 2 | number of threads is 6 | block size is 8
elapsed time = 1.08 | seconds power is 3 | number of threads is 6 | block size is 8
elapsed time = 1.14 | seconds power is 4 | number of threads is 6 | block size is 8
elapsed time = 1.20 | seconds power is 5 | number of threads is 6 | block size is 8
elapsed time = 1.25 | seconds power is 6 | number of threads is 6 | block size is 8
elapsed time = 1.31 | seconds power is 7 | number of threads is 6 | block size is 8
elapsed time = 1.37 | seconds power is 8 | number of threads is 6 | block size is 8
elapsed time = 1.43 | seconds power is 9 | number of threads is 6 | block size is 8
elapsed time = 1.49 | seconds power is 10 | number of threads is 6 | block size is 8
elapsed time = 1.54 | seconds power is 11 | number of threads is 6 | block size is 8
elapsed time = 1.60 | seconds power is 12 | number of threads is 6 | block size is 8
elapsed time = 1.66 | seconds power is 13 | number of threads is 6 | block size is 8
elapsed time = 1.72 | seconds power is 14 | number of threads is 6 | block size is 8
elapsed time = 1.77 | seconds power is 15 | number of threads is 6 | block size is 8
elapsed time = 1.83 | seconds power is 16 | number of threads is 6 | block size is 8
elapsed time = 1.89 | seconds power is 2 | number of threads is 6 | block size is 16
elapsed time = 1.95 | seconds power is 3 | number of threads is 6 | block size is 16
elapsed time = 2.01 | seconds power is 4 | number of threads is 6 | block size is 16
elapsed time = 2.07 | seconds power is 5 | number of threads is 6 | block size is 16
elapsed time = 2.12 | seconds power is 6 | number of threads is 6 | block size is 16
elapsed time = 2.18 | seconds power is 7 | number of threads is 6 | block size is 16
elapsed time = 2.24 | seconds power is 8 | number of threads is 6 | block size is 16
elapsed time = 2.30 | seconds power is 9 | number of threads is 6 | block size is 16
elapsed time = 2.36 | seconds power is 10 | number of threads is 6 | block size is 16
elapsed time = 2.42 | seconds power is 11 | number of threads is 6 | block size is 16
elapsed time = 2.48 | seconds power is 12 | number of threads is 6 | block size is 16
elapsed time = 2.54 | seconds power is 13 | number of threads is 6 | block size is 16
elapsed time = 2.59 | seconds power is 14 | number of threads is 6 | block size is 16
elapsed time = 2.65 | seconds power is 15 | number of threads is 6 | block size is 16
elapsed time = 2.71 | seconds power is 16 | number of threads is 6 | block size is 16
elapsed time = 2.77 | seconds power is 2 | number of threads is 6 | block size is 32
elapsed time = 2.83 | seconds power is 3 | number of threads is 6 | block size is 32
elapsed time = 2.89 | seconds power is 4 | number of threads is 6 | block size is 32
elapsed time = 2.95 | seconds power is 5 | number of threads is 6 | block size is 32
elapsed time = 3.01 | seconds power is 6 | number of threads is 6 | block size is 32
elapsed time = 3.06 | seconds power is 7 | number of threads is 6 | block size is 32
elapsed time = 3.12 | seconds power is 8 | number of threads is 6 | block size is 32
elapsed time = 3.18 | seconds power is 9 | number of threads is 6 | block size is 32
elapsed time = 3.24 | seconds power is 10 | number of threads is 6 | block size is 32
elapsed time = 3.30 | seconds power is 11 | number of threads is 6 | block size is 32
elapsed time = 3.36 | seconds power is 12 | number of threads is 6 | block size is 32
elapsed time = 3.42 | seconds power is 13 | number of threads is 6 | block size is 32
elapsed time = 3.48 | seconds power is 14 | number of threads is 6 | block size is 32
elapsed time = 3.53 | seconds power is 15 | number of threads is 6 | block size is 32
elapsed time = 3.59 | seconds power is 16 | number of threads is 6 | block size is 32
elapsed time = 3.67 | seconds power is 2 | number of threads is 6 | block size is 64
elapsed time = 3.74 | seconds power is 3 | number of threads is 6 | block size is 64
elapsed time = 3.82 | seconds power is 4 | number of threads is 6 | block size is 64
elapsed time = 3.89 | seconds power is 5 | number of threads is 6 | block size is 64
elapsed time = 3.97 | seconds power is 6 | number of threads is 6 | block size is 64
elapsed time = 4.04 | seconds power is 7 | number of threads is 6 | block size is 64
elapsed time = 4.11 | seconds power is 8 | number of threads is 6 | block size is 64
elapsed time = 4.19 | seconds power is 9 | number of threads is 6 | block size is 64
elapsed time = 4.26 | seconds power is 10 | number of threads is 6 | block size is 64
elapsed time = 4.34 | seconds power is 11 | number of threads is 6 | block size is 64
elapsed time = 4.41 | seconds power is 12 | number of threads is 6 | block size is 64
elapsed time = 4.49 | seconds power is 13 | number of threads is 6 | block size is 64
elapsed time = 4.56 | seconds power is 14 | number of threads is 6 | block size is 64
elapsed time = 4.64 | seconds power is 15 | number of threads is 6 | block size is 64
elapsed time = 4.71 | seconds power is 16 | number of threads is 6 | block size is 64
512 6 thread done
elapsed time = 0.07 | seconds power is 2 | number of threads is 8 | block size is 4
elapsed time = 0.13 | seconds power is 3 | number of threads is 8 | block size is 4
elapsed time = 0.18 | seconds power is 4 | number of threads is 8 | block size is 4
elapsed time = 0.24 | seconds power is 5 | number of threads is 8 | block size is 4
elapsed time = 0.29 | seconds power is 6 | number of threads is 8 | block size is 4
elapsed time = 0.34 | seconds power is 7 | number of threads is 8 | block size is 4
elapsed time = 0.39 | seconds power is 8 | number of threads is 8 | block size is 4
elapsed time = 0.44 | seconds power is 9 | number of threads is 8 | block size is 4
elapsed time = 0.49 | seconds power is 10 | number of threads is 8 | block size is 4
elapsed time = 0.54 | seconds power is 11 | number of threads is 8 | block size is 4
elapsed time = 0.59 | seconds power is 12 | number of threads is 8 | block size is 4
elapsed time = 0.64 | seconds power is 13 | number of threads is 8 | block size is 4
