elapsed time = 0.35 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 0.70 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 1.04 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 1.39 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 1.73 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 2.08 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 2.42 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 2.77 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 3.11 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 3.46 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 3.81 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 4.15 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 4.50 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 4.84 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 5.19 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 5.50 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 5.82 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 6.13 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 6.44 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 6.76 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 7.07 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 7.39 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 7.70 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 8.01 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 8.33 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 8.64 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 8.96 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 9.27 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 9.59 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 9.90 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 10.20 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 10.49 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 10.79 | seconds power is 4 | number of threads is 1 | block size is 16
elapsed time = 11.08 | seconds power is 5 | number of threads is 1 | block size is 16
elapsed time = 11.38 | seconds power is 6 | number of threads is 1 | block size is 16
elapsed time = 11.68 | seconds power is 7 | number of threads is 1 | block size is 16
elapsed time = 11.97 | seconds power is 8 | number of threads is 1 | block size is 16
elapsed time = 12.27 | seconds power is 9 | number of threads is 1 | block size is 16
elapsed time = 12.56 | seconds power is 10 | number of threads is 1 | block size is 16
elapsed time = 12.86 | seconds power is 11 | number of threads is 1 | block size is 16
elapsed time = 13.15 | seconds power is 12 | number of threads is 1 | block size is 16
elapsed time = 13.45 | seconds power is 13 | number of threads is 1 | block size is 16
elapsed time = 13.74 | seconds power is 14 | number of threads is 1 | block size is 16
elapsed time = 14.04 | seconds power is 15 | number of threads is 1 | block size is 16
elapsed time = 14.34 | seconds power is 16 | number of threads is 1 | block size is 16
elapsed time = 14.63 | seconds power is 2 | number of threads is 1 | block size is 32
elapsed time = 14.93 | seconds power is 3 | number of threads is 1 | block size is 32
elapsed time = 15.23 | seconds power is 4 | number of threads is 1 | block size is 32
elapsed time = 15.53 | seconds power is 5 | number of threads is 1 | block size is 32
elapsed time = 15.82 | seconds power is 6 | number of threads is 1 | block size is 32
elapsed time = 16.12 | seconds power is 7 | number of threads is 1 | block size is 32
elapsed time = 16.42 | seconds power is 8 | number of threads is 1 | block size is 32
elapsed time = 16.71 | seconds power is 9 | number of threads is 1 | block size is 32
elapsed time = 17.01 | seconds power is 10 | number of threads is 1 | block size is 32
elapsed time = 17.31 | seconds power is 11 | number of threads is 1 | block size is 32
elapsed time = 17.61 | seconds power is 12 | number of threads is 1 | block size is 32
elapsed time = 17.91 | seconds power is 13 | number of threads is 1 | block size is 32
elapsed time = 18.20 | seconds power is 14 | number of threads is 1 | block size is 32
elapsed time = 18.50 | seconds power is 15 | number of threads is 1 | block size is 32
elapsed time = 18.80 | seconds power is 16 | number of threads is 1 | block size is 32
elapsed time = 19.08 | seconds power is 2 | number of threads is 1 | block size is 64
elapsed time = 19.37 | seconds power is 3 | number of threads is 1 | block size is 64
elapsed time = 19.66 | seconds power is 4 | number of threads is 1 | block size is 64
elapsed time = 19.95 | seconds power is 5 | number of threads is 1 | block size is 64
elapsed time = 20.23 | seconds power is 6 | number of threads is 1 | block size is 64
elapsed time = 20.52 | seconds power is 7 | number of threads is 1 | block size is 64
elapsed time = 20.81 | seconds power is 8 | number of threads is 1 | block size is 64
elapsed time = 21.10 | seconds power is 9 | number of threads is 1 | block size is 64
elapsed time = 21.38 | seconds power is 10 | number of threads is 1 | block size is 64
elapsed time = 21.67 | seconds power is 11 | number of threads is 1 | block size is 64
elapsed time = 21.96 | seconds power is 12 | number of threads is 1 | block size is 64
elapsed time = 22.25 | seconds power is 13 | number of threads is 1 | block size is 64
elapsed time = 22.53 | seconds power is 14 | number of threads is 1 | block size is 64
elapsed time = 22.82 | seconds power is 15 | number of threads is 1 | block size is 64
elapsed time = 23.11 | seconds power is 16 | number of threads is 1 | block size is 64
512 1 thread done
elapsed time = 0.18 | seconds power is 2 | number of threads is 2 | block size is 4
elapsed time = 0.36 | seconds power is 3 | number of threads is 2 | block size is 4
elapsed time = 0.53 | seconds power is 4 | number of threads is 2 | block size is 4
elapsed time = 0.70 | seconds power is 5 | number of threads is 2 | block size is 4
elapsed time = 0.88 | seconds power is 6 | number of threads is 2 | block size is 4
elapsed time = 1.05 | seconds power is 7 | number of threads is 2 | block size is 4
elapsed time = 1.22 | seconds power is 8 | number of threads is 2 | block size is 4
elapsed time = 1.40 | seconds power is 9 | number of threads is 2 | block size is 4
elapsed time = 1.57 | seconds power is 10 | number of threads is 2 | block size is 4
elapsed time = 1.75 | seconds power is 11 | number of threads is 2 | block size is 4
elapsed time = 1.92 | seconds power is 12 | number of threads is 2 | block size is 4
elapsed time = 2.09 | seconds power is 13 | number of threads is 2 | block size is 4
elapsed time = 2.27 | seconds power is 14 | number of threads is 2 | block size is 4
elapsed time = 2.44 | seconds power is 15 | number of threads is 2 | block size is 4
elapsed time = 2.61 | seconds power is 16 | number of threads is 2 | block size is 4
elapsed time = 2.77 | seconds power is 2 | number of threads is 2 | block size is 8
elapsed time = 2.93 | seconds power is 3 | number of threads is 2 | block size is 8
elapsed time = 3.09 | seconds power is 4 | number of threads is 2 | block size is 8
elapsed time = 3.24 | seconds power is 5 | number of threads is 2 | block size is 8
elapsed time = 3.40 | seconds power is 6 | number of threads is 2 | block size is 8
elapsed time = 3.56 | seconds power is 7 | number of threads is 2 | block size is 8
elapsed time = 3.72 | seconds power is 8 | number of threads is 2 | block size is 8
elapsed time = 3.87 | seconds power is 9 | number of threads is 2 | block size is 8
elapsed time = 4.03 | seconds power is 10 | number of threads is 2 | block size is 8
elapsed time = 4.19 | seconds power is 11 | number of threads is 2 | block size is 8
elapsed time = 4.35 | seconds power is 12 | number of threads is 2 | block size is 8
elapsed time = 4.51 | seconds power is 13 | number of threads is 2 | block size is 8
elapsed time = 4.66 | seconds power is 14 | number of threads is 2 | block size is 8
elapsed time = 4.82 | seconds power is 15 | number of threads is 2 | block size is 8
elapsed time = 4.98 | seconds power is 16 | number of threads is 2 | block size is 8
elapsed time = 5.13 | seconds power is 2 | number of threads is 2 | block size is 16
elapsed time = 5.28 | seconds power is 3 | number of threads is 2 | block size is 16
elapsed time = 5.42 | seconds power is 4 | number of threads is 2 | block size is 16
elapsed time = 5.57 | seconds power is 5 | number of threads is 2 | block size is 16
elapsed time = 5.72 | seconds power is 6 | number of threads is 2 | block size is 16
elapsed time = 5.87 | seconds power is 7 | number of threads is 2 | block size is 16
elapsed time = 6.02 | seconds power is 8 | number of threads is 2 | block size is 16
elapsed time = 6.17 | seconds power is 9 | number of threads is 2 | block size is 16
elapsed time = 6.32 | seconds power is 10 | number of threads is 2 | block size is 16
elapsed time = 6.47 | seconds power is 11 | number of threads is 2 | block size is 16
elapsed time = 6.61 | seconds power is 12 | number of threads is 2 | block size is 16
elapsed time = 6.76 | seconds power is 13 | number of threads is 2 | block size is 16
elapsed time = 6.91 | seconds power is 14 | number of threads is 2 | block size is 16
elapsed time = 7.06 | seconds power is 15 | number of threads is 2 | block size is 16
elapsed time = 7.21 | seconds power is 16 | number of threads is 2 | block size is 16
elapsed time = 7.36 | seconds power is 2 | number of threads is 2 | block size is 32
elapsed time = 7.50 | seconds power is 3 | number of threads is 2 | block size is 32
elapsed time = 7.65 | seconds power is 4 | number of threads is 2 | block size is 32
elapsed time = 7.80 | seconds power is 5 | number of threads is 2 | block size is 32
elapsed time = 7.95 | seconds power is 6 | number of threads is 2 | block size is 32
