elapsed time = 0.35 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 0.70 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 1.04 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 1.39 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 1.73 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 2.07 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 2.42 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 2.76 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 3.11 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 3.45 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 3.80 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 4.14 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 4.48 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 4.83 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 5.17 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 5.48 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 5.79 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 6.11 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 6.42 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 6.73 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 7.04 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 7.36 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 7.67 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 7.98 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 8.30 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 8.61 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 8.92 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 9.24 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 9.55 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 9.86 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 10.15 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 10.45 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 10.74 | seconds power is 4 | number of threads is 1 | block size is 16
elapsed time = 11.04 | seconds power is 5 | number of threads is 1 | block size is 16
elapsed time = 11.34 | seconds power is 6 | number of threads is 1 | block size is 16
elapsed time = 11.63 | seconds power is 7 | number of threads is 1 | block size is 16
elapsed time = 11.93 | seconds power is 8 | number of threads is 1 | block size is 16
elapsed time = 12.23 | seconds power is 9 | number of threads is 1 | block size is 16
elapsed time = 12.52 | seconds power is 10 | number of threads is 1 | block size is 16
elapsed time = 12.82 | seconds power is 11 | number of threads is 1 | block size is 16
elapsed time = 13.11 | seconds power is 12 | number of threads is 1 | block size is 16
elapsed time = 13.41 | seconds power is 13 | number of threads is 1 | block size is 16
elapsed time = 13.70 | seconds power is 14 | number of threads is 1 | block size is 16
elapsed time = 14.00 | seconds power is 15 | number of threads is 1 | block size is 16
elapsed time = 14.30 | seconds power is 16 | number of threads is 1 | block size is 16
elapsed time = 14.59 | seconds power is 2 | number of threads is 1 | block size is 32
elapsed time = 14.89 | seconds power is 3 | number of threads is 1 | block size is 32
elapsed time = 15.19 | seconds power is 4 | number of threads is 1 | block size is 32
elapsed time = 15.50 | seconds power is 5 | number of threads is 1 | block size is 32
elapsed time = 15.80 | seconds power is 6 | number of threads is 1 | block size is 32
elapsed time = 16.09 | seconds power is 7 | number of threads is 1 | block size is 32
elapsed time = 16.39 | seconds power is 8 | number of threads is 1 | block size is 32
elapsed time = 16.69 | seconds power is 9 | number of threads is 1 | block size is 32
elapsed time = 16.98 | seconds power is 10 | number of threads is 1 | block size is 32
elapsed time = 17.28 | seconds power is 11 | number of threads is 1 | block size is 32
elapsed time = 17.58 | seconds power is 12 | number of threads is 1 | block size is 32
elapsed time = 17.88 | seconds power is 13 | number of threads is 1 | block size is 32
elapsed time = 18.18 | seconds power is 14 | number of threads is 1 | block size is 32
elapsed time = 18.47 | seconds power is 15 | number of threads is 1 | block size is 32
elapsed time = 18.77 | seconds power is 16 | number of threads is 1 | block size is 32
elapsed time = 19.06 | seconds power is 2 | number of threads is 1 | block size is 64
elapsed time = 19.35 | seconds power is 3 | number of threads is 1 | block size is 64
elapsed time = 19.64 | seconds power is 4 | number of threads is 1 | block size is 64
elapsed time = 19.92 | seconds power is 5 | number of threads is 1 | block size is 64
elapsed time = 20.21 | seconds power is 6 | number of threads is 1 | block size is 64
elapsed time = 20.50 | seconds power is 7 | number of threads is 1 | block size is 64
elapsed time = 20.79 | seconds power is 8 | number of threads is 1 | block size is 64
elapsed time = 21.08 | seconds power is 9 | number of threads is 1 | block size is 64
elapsed time = 21.36 | seconds power is 10 | number of threads is 1 | block size is 64
elapsed time = 21.65 | seconds power is 11 | number of threads is 1 | block size is 64
elapsed time = 21.94 | seconds power is 12 | number of threads is 1 | block size is 64
elapsed time = 22.23 | seconds power is 13 | number of threads is 1 | block size is 64
elapsed time = 22.51 | seconds power is 14 | number of threads is 1 | block size is 64
elapsed time = 22.80 | seconds power is 15 | number of threads is 1 | block size is 64
elapsed time = 23.09 | seconds power is 16 | number of threads is 1 | block size is 64
512 1 thread done
elapsed time = 0.18 | seconds power is 2 | number of threads is 2 | block size is 4
elapsed time = 0.36 | seconds power is 3 | number of threads is 2 | block size is 4
elapsed time = 0.53 | seconds power is 4 | number of threads is 2 | block size is 4
elapsed time = 0.71 | seconds power is 5 | number of threads is 2 | block size is 4
elapsed time = 0.88 | seconds power is 6 | number of threads is 2 | block size is 4
elapsed time = 1.06 | seconds power is 7 | number of threads is 2 | block size is 4
elapsed time = 1.23 | seconds power is 8 | number of threads is 2 | block size is 4
elapsed time = 1.41 | seconds power is 9 | number of threads is 2 | block size is 4
elapsed time = 1.58 | seconds power is 10 | number of threads is 2 | block size is 4
elapsed time = 1.76 | seconds power is 11 | number of threads is 2 | block size is 4
elapsed time = 1.93 | seconds power is 12 | number of threads is 2 | block size is 4
elapsed time = 2.11 | seconds power is 13 | number of threads is 2 | block size is 4
elapsed time = 2.28 | seconds power is 14 | number of threads is 2 | block size is 4
elapsed time = 2.46 | seconds power is 15 | number of threads is 2 | block size is 4
elapsed time = 2.64 | seconds power is 16 | number of threads is 2 | block size is 4
elapsed time = 2.79 | seconds power is 2 | number of threads is 2 | block size is 8
elapsed time = 2.95 | seconds power is 3 | number of threads is 2 | block size is 8
elapsed time = 3.11 | seconds power is 4 | number of threads is 2 | block size is 8
elapsed time = 3.27 | seconds power is 5 | number of threads is 2 | block size is 8
elapsed time = 3.43 | seconds power is 6 | number of threads is 2 | block size is 8
elapsed time = 3.59 | seconds power is 7 | number of threads is 2 | block size is 8
elapsed time = 3.75 | seconds power is 8 | number of threads is 2 | block size is 8
elapsed time = 3.90 | seconds power is 9 | number of threads is 2 | block size is 8
elapsed time = 4.06 | seconds power is 10 | number of threads is 2 | block size is 8
elapsed time = 4.22 | seconds power is 11 | number of threads is 2 | block size is 8
elapsed time = 4.38 | seconds power is 12 | number of threads is 2 | block size is 8
elapsed time = 4.53 | seconds power is 13 | number of threads is 2 | block size is 8
elapsed time = 4.69 | seconds power is 14 | number of threads is 2 | block size is 8
elapsed time = 4.85 | seconds power is 15 | number of threads is 2 | block size is 8
elapsed time = 5.01 | seconds power is 16 | number of threads is 2 | block size is 8
elapsed time = 5.15 | seconds power is 2 | number of threads is 2 | block size is 16
elapsed time = 5.30 | seconds power is 3 | number of threads is 2 | block size is 16
elapsed time = 5.45 | seconds power is 4 | number of threads is 2 | block size is 16
elapsed time = 5.60 | seconds power is 5 | number of threads is 2 | block size is 16
elapsed time = 5.75 | seconds power is 6 | number of threads is 2 | block size is 16
elapsed time = 5.90 | seconds power is 7 | number of threads is 2 | block size is 16
elapsed time = 6.05 | seconds power is 8 | number of threads is 2 | block size is 16
elapsed time = 6.20 | seconds power is 9 | number of threads is 2 | block size is 16
elapsed time = 6.35 | seconds power is 10 | number of threads is 2 | block size is 16
elapsed time = 6.50 | seconds power is 11 | number of threads is 2 | block size is 16
elapsed time = 6.65 | seconds power is 12 | number of threads is 2 | block size is 16
elapsed time = 6.79 | seconds power is 13 | number of threads is 2 | block size is 16
elapsed time = 6.94 | seconds power is 14 | number of threads is 2 | block size is 16
elapsed time = 7.09 | seconds power is 15 | number of threads is 2 | block size is 16
elapsed time = 7.24 | seconds power is 16 | number of threads is 2 | block size is 16
elapsed time = 7.39 | seconds power is 2 | number of threads is 2 | block size is 32
elapsed time = 7.54 | seconds power is 3 | number of threads is 2 | block size is 32
elapsed time = 7.69 | seconds power is 4 | number of threads is 2 | block size is 32
elapsed time = 7.84 | seconds power is 5 | number of threads is 2 | block size is 32
elapsed time = 7.99 | seconds power is 6 | number of threads is 2 | block size is 32
