1 9.91 88.03 814.02
2 4.99 42.81 432.05
4 2.57 22.07 213.24
6 1.82 16.99 162.39
8 1.46 13.84 123.36
10 1.85 14.37 123.09
12 1.68 13.04 107.44
14 1.74 12.85 107.79
16 1.48 12.50 101.04
