1 5.17 45.40 481.12
2 2.64 21.29 260.59
4 1.36 10.91 128.16
6 0.97 8.58 89.67
8 0.81 7.05 73.43
10 1.00 7.33 68.69
12 0.85 6.63 58.80
14 0.87 6.46 58.93
16 0.76 6.26 56.46
