1 5.30 45.37 993.67
2 2.66 22.62 468.38
4 1.37 11.57 235.58
6 0.93 7.92 162.13
8 0.77 6.59 128.33
10 0.96 7.33 100.11
12 0.83 7.01 97.31
14 0.86 7.09 96.95
16 0.76 6.95 87.86
