1 23.09 189.89 1716.79
2 11.65 93.67 865.94
4 6.01 49.14 451.86
6 4.78 39.06 344.88
8 3.50 30.74 274.30
10 4.07 33.13 277.07
12 3.84 30.46 244.12
14 4.26 30.47 247.61
16 3.77 28.36 231.51
