elapsed time = 3.16 | seconds power is 2 | number of threads is 1
elapsed time = 6.17 | seconds power is 3 | number of threads is 1
elapsed time = 9.17 | seconds power is 4 | number of threads is 1
elapsed time = 12.17 | seconds power is 5 | number of threads is 1
elapsed time = 15.16 | seconds power is 6 | number of threads is 1
elapsed time = 18.17 | seconds power is 7 | number of threads is 1
elapsed time = 21.16 | seconds power is 8 | number of threads is 1
elapsed time = 24.16 | seconds power is 9 | number of threads is 1
elapsed time = 27.15 | seconds power is 10 | number of threads is 1
elapsed time = 30.15 | seconds power is 11 | number of threads is 1
elapsed time = 33.15 | seconds power is 12 | number of threads is 1
elapsed time = 36.15 | seconds power is 13 | number of threads is 1
elapsed time = 39.26 | seconds power is 14 | number of threads is 1
elapsed time = 42.39 | seconds power is 15 | number of threads is 1
elapsed time = 45.48 | seconds power is 16 | number of threads is 1
1024 1 thread done
elapsed time = 1.56 | seconds power is 2 | number of threads is 2
elapsed time = 3.06 | seconds power is 3 | number of threads is 2
elapsed time = 4.59 | seconds power is 4 | number of threads is 2
elapsed time = 6.09 | seconds power is 5 | number of threads is 2
elapsed time = 7.59 | seconds power is 6 | number of threads is 2
elapsed time = 9.14 | seconds power is 7 | number of threads is 2
elapsed time = 10.64 | seconds power is 8 | number of threads is 2
elapsed time = 12.15 | seconds power is 9 | number of threads is 2
elapsed time = 13.64 | seconds power is 10 | number of threads is 2
elapsed time = 15.14 | seconds power is 11 | number of threads is 2
elapsed time = 16.65 | seconds power is 12 | number of threads is 2
elapsed time = 18.15 | seconds power is 13 | number of threads is 2
elapsed time = 19.66 | seconds power is 14 | number of threads is 2
elapsed time = 21.20 | seconds power is 15 | number of threads is 2
elapsed time = 22.75 | seconds power is 16 | number of threads is 2
1024 2 thread done
elapsed time = 0.82 | seconds power is 2 | number of threads is 4
elapsed time = 1.60 | seconds power is 3 | number of threads is 4
elapsed time = 2.40 | seconds power is 4 | number of threads is 4
elapsed time = 3.19 | seconds power is 5 | number of threads is 4
elapsed time = 3.97 | seconds power is 6 | number of threads is 4
elapsed time = 4.76 | seconds power is 7 | number of threads is 4
elapsed time = 5.53 | seconds power is 8 | number of threads is 4
elapsed time = 6.31 | seconds power is 9 | number of threads is 4
elapsed time = 7.08 | seconds power is 10 | number of threads is 4
elapsed time = 8.07 | seconds power is 11 | number of threads is 4
elapsed time = 8.85 | seconds power is 12 | number of threads is 4
elapsed time = 9.99 | seconds power is 13 | number of threads is 4
elapsed time = 10.85 | seconds power is 14 | number of threads is 4
elapsed time = 11.69 | seconds power is 15 | number of threads is 4
elapsed time = 12.45 | seconds power is 16 | number of threads is 4
