elapsed time = 1.91 | seconds power is 5 | number of threads is 14
elapsed time = 2.39 | seconds power is 6 | number of threads is 14
elapsed time = 2.84 | seconds power is 7 | number of threads is 14
elapsed time = 3.33 | seconds power is 8 | number of threads is 14
elapsed time = 3.84 | seconds power is 9 | number of threads is 14
elapsed time = 4.29 | seconds power is 10 | number of threads is 14
elapsed time = 4.75 | seconds power is 11 | number of threads is 14
elapsed time = 5.23 | seconds power is 12 | number of threads is 14
elapsed time = 5.69 | seconds power is 13 | number of threads is 14
elapsed time = 6.16 | seconds power is 14 | number of threads is 14
elapsed time = 6.62 | seconds power is 15 | number of threads is 14
elapsed time = 7.08 | seconds power is 16 | number of threads is 14
1024 14 thread done
elapsed time = 0.48 | seconds power is 2 | number of threads is 16
elapsed time = 0.93 | seconds power is 3 | number of threads is 16
elapsed time = 1.41 | seconds power is 4 | number of threads is 16
elapsed time = 1.88 | seconds power is 5 | number of threads is 16
elapsed time = 2.33 | seconds power is 6 | number of threads is 16
elapsed time = 2.81 | seconds power is 7 | number of threads is 16
elapsed time = 3.29 | seconds power is 8 | number of threads is 16
elapsed time = 3.79 | seconds power is 9 | number of threads is 16
elapsed time = 4.25 | seconds power is 10 | number of threads is 16
elapsed time = 4.72 | seconds power is 11 | number of threads is 16
elapsed time = 5.19 | seconds power is 12 | number of threads is 16
elapsed time = 5.67 | seconds power is 13 | number of threads is 16
elapsed time = 6.12 | seconds power is 14 | number of threads is 16
elapsed time = 6.58 | seconds power is 15 | number of threads is 16
elapsed time = 7.05 | seconds power is 16 | number of threads is 16
1024 16 thread done
