elapsed time = 3.49 | seconds power is 2 | number of threads is 1
elapsed time = 6.53 | seconds power is 3 | number of threads is 1
elapsed time = 9.56 | seconds power is 4 | number of threads is 1
elapsed time = 12.58 | seconds power is 5 | number of threads is 1
elapsed time = 15.60 | seconds power is 6 | number of threads is 1
elapsed time = 18.62 | seconds power is 7 | number of threads is 1
elapsed time = 21.63 | seconds power is 8 | number of threads is 1
elapsed time = 24.64 | seconds power is 9 | number of threads is 1
elapsed time = 27.67 | seconds power is 10 | number of threads is 1
elapsed time = 30.68 | seconds power is 11 | number of threads is 1
elapsed time = 33.70 | seconds power is 12 | number of threads is 1
elapsed time = 36.72 | seconds power is 13 | number of threads is 1
elapsed time = 39.73 | seconds power is 14 | number of threads is 1
elapsed time = 42.75 | seconds power is 15 | number of threads is 1
elapsed time = 45.77 | seconds power is 16 | number of threads is 1
1024 1 thread done
elapsed time = 1.55 | seconds power is 2 | number of threads is 2
elapsed time = 3.10 | seconds power is 3 | number of threads is 2
elapsed time = 4.61 | seconds power is 4 | number of threads is 2
elapsed time = 6.13 | seconds power is 5 | number of threads is 2
elapsed time = 7.66 | seconds power is 6 | number of threads is 2
elapsed time = 9.18 | seconds power is 7 | number of threads is 2
elapsed time = 10.70 | seconds power is 8 | number of threads is 2
elapsed time = 12.22 | seconds power is 9 | number of threads is 2
elapsed time = 13.73 | seconds power is 10 | number of threads is 2
elapsed time = 15.24 | seconds power is 11 | number of threads is 2
elapsed time = 16.76 | seconds power is 12 | number of threads is 2
elapsed time = 18.27 | seconds power is 13 | number of threads is 2
elapsed time = 19.79 | seconds power is 14 | number of threads is 2
elapsed time = 21.30 | seconds power is 15 | number of threads is 2
elapsed time = 22.82 | seconds power is 16 | number of threads is 2
1024 2 thread done
elapsed time = 0.79 | seconds power is 2 | number of threads is 4
elapsed time = 1.56 | seconds power is 3 | number of threads is 4
elapsed time = 2.32 | seconds power is 4 | number of threads is 4
elapsed time = 3.08 | seconds power is 5 | number of threads is 4
elapsed time = 3.84 | seconds power is 6 | number of threads is 4
elapsed time = 4.60 | seconds power is 7 | number of threads is 4
elapsed time = 5.36 | seconds power is 8 | number of threads is 4
elapsed time = 6.12 | seconds power is 9 | number of threads is 4
elapsed time = 6.88 | seconds power is 10 | number of threads is 4
elapsed time = 7.64 | seconds power is 11 | number of threads is 4
elapsed time = 8.41 | seconds power is 12 | number of threads is 4
elapsed time = 9.19 | seconds power is 13 | number of threads is 4
elapsed time = 9.96 | seconds power is 14 | number of threads is 4
elapsed time = 10.74 | seconds power is 15 | number of threads is 4
elapsed time = 11.52 | seconds power is 16 | number of threads is 4
1024 4 thread done
elapsed time = 0.58 | seconds power is 2 | number of threads is 6
elapsed time = 1.12 | seconds power is 3 | number of threads is 6
elapsed time = 1.68 | seconds power is 4 | number of threads is 6
elapsed time = 2.23 | seconds power is 5 | number of threads is 6
elapsed time = 2.78 | seconds power is 6 | number of threads is 6
elapsed time = 3.32 | seconds power is 7 | number of threads is 6
elapsed time = 3.86 | seconds power is 8 | number of threads is 6
elapsed time = 4.41 | seconds power is 9 | number of threads is 6
elapsed time = 5.17 | seconds power is 10 | number of threads is 6
elapsed time = 5.81 | seconds power is 11 | number of threads is 6
elapsed time = 6.43 | seconds power is 12 | number of threads is 6
elapsed time = 7.00 | seconds power is 13 | number of threads is 6
elapsed time = 7.58 | seconds power is 14 | number of threads is 6
elapsed time = 8.25 | seconds power is 15 | number of threads is 6
elapsed time = 8.84 | seconds power is 16 | number of threads is 6
1024 6 thread done
elapsed time = 0.51 | seconds power is 2 | number of threads is 8
elapsed time = 0.95 | seconds power is 3 | number of threads is 8
elapsed time = 1.39 | seconds power is 4 | number of threads is 8
elapsed time = 1.84 | seconds power is 5 | number of threads is 8
elapsed time = 2.30 | seconds power is 6 | number of threads is 8
elapsed time = 2.82 | seconds power is 7 | number of threads is 8
elapsed time = 3.30 | seconds power is 8 | number of threads is 8
elapsed time = 3.77 | seconds power is 9 | number of threads is 8
elapsed time = 4.26 | seconds power is 10 | number of threads is 8
elapsed time = 4.77 | seconds power is 11 | number of threads is 8
elapsed time = 5.24 | seconds power is 12 | number of threads is 8
elapsed time = 5.69 | seconds power is 13 | number of threads is 8
elapsed time = 6.32 | seconds power is 14 | number of threads is 8
elapsed time = 6.86 | seconds power is 15 | number of threads is 8
elapsed time = 7.31 | seconds power is 16 | number of threads is 8
1024 8 thread done
elapsed time = 0.57 | seconds power is 2 | number of threads is 10
elapsed time = 1.15 | seconds power is 3 | number of threads is 10
elapsed time = 1.69 | seconds power is 4 | number of threads is 10
elapsed time = 2.20 | seconds power is 5 | number of threads is 10
elapsed time = 2.69 | seconds power is 6 | number of threads is 10
elapsed time = 3.19 | seconds power is 7 | number of threads is 10
elapsed time = 3.72 | seconds power is 8 | number of threads is 10
elapsed time = 4.23 | seconds power is 9 | number of threads is 10
elapsed time = 4.71 | seconds power is 10 | number of threads is 10
elapsed time = 5.22 | seconds power is 11 | number of threads is 10
elapsed time = 5.76 | seconds power is 12 | number of threads is 10
elapsed time = 6.31 | seconds power is 13 | number of threads is 10
elapsed time = 6.82 | seconds power is 14 | number of threads is 10
elapsed time = 7.38 | seconds power is 15 | number of threads is 10
elapsed time = 7.86 | seconds power is 16 | number of threads is 10
1024 10 thread done
elapsed time = 0.47 | seconds power is 2 | number of threads is 12
elapsed time = 0.92 | seconds power is 3 | number of threads is 12
elapsed time = 1.35 | seconds power is 4 | number of threads is 12
elapsed time = 1.78 | seconds power is 5 | number of threads is 12
elapsed time = 2.24 | seconds power is 6 | number of threads is 12
elapsed time = 2.68 | seconds power is 7 | number of threads is 12
elapsed time = 3.11 | seconds power is 8 | number of threads is 12
elapsed time = 3.55 | seconds power is 9 | number of threads is 12
elapsed time = 3.99 | seconds power is 10 | number of threads is 12
elapsed time = 4.45 | seconds power is 11 | number of threads is 12
elapsed time = 4.89 | seconds power is 12 | number of threads is 12
elapsed time = 5.31 | seconds power is 13 | number of threads is 12
elapsed time = 5.77 | seconds power is 14 | number of threads is 12
elapsed time = 6.24 | seconds power is 15 | number of threads is 12
elapsed time = 6.77 | seconds power is 16 | number of threads is 12
1024 12 thread done
elapsed time = 0.46 | seconds power is 2 | number of threads is 14
elapsed time = 0.94 | seconds power is 3 | number of threads is 14
elapsed time = 1.40 | seconds power is 4 | number of threads is 14
elapsed time = 1.87 | seconds power is 5 | number of threads is 14
elapsed time = 2.33 | seconds power is 6 | number of threads is 14
elapsed time = 2.79 | seconds power is 7 | number of threads is 14
elapsed time = 3.27 | seconds power is 8 | number of threads is 14
elapsed time = 3.75 | seconds power is 9 | number of threads is 14
elapsed time = 4.21 | seconds power is 10 | number of threads is 14
elapsed time = 4.69 | seconds power is 11 | number of threads is 14
elapsed time = 5.17 | seconds power is 12 | number of threads is 14
elapsed time = 5.64 | seconds power is 13 | number of threads is 14
elapsed time = 6.12 | seconds power is 14 | number of threads is 14
elapsed time = 6.60 | seconds power is 15 | number of threads is 14
elapsed time = 7.06 | seconds power is 16 | number of threads is 14
1024 14 thread done
elapsed time = 0.45 | seconds power is 2 | number of threads is 16
elapsed time = 0.91 | seconds power is 3 | number of threads is 16
elapsed time = 1.36 | seconds power is 4 | number of threads is 16
elapsed time = 1.82 | seconds power is 5 | number of threads is 16
elapsed time = 2.29 | seconds power is 6 | number of threads is 16
elapsed time = 2.75 | seconds power is 7 | number of threads is 16
elapsed time = 3.22 | seconds power is 8 | number of threads is 16
elapsed time = 3.68 | seconds power is 9 | number of threads is 16
elapsed time = 4.15 | seconds power is 10 | number of threads is 16
elapsed time = 4.61 | seconds power is 11 | number of threads is 16
elapsed time = 5.06 | seconds power is 12 | number of threads is 16
elapsed time = 5.51 | seconds power is 13 | number of threads is 16
elapsed time = 5.99 | seconds power is 14 | number of threads is 16
elapsed time = 6.46 | seconds power is 15 | number of threads is 16
elapsed time = 6.92 | seconds power is 16 | number of threads is 16
1024 16 thread done
