elapsed time = 3.38 | seconds power is 2 | number of threads is 1
elapsed time = 6.52 | seconds power is 3 | number of threads is 1
elapsed time = 9.51 | seconds power is 4 | number of threads is 1
elapsed time = 12.50 | seconds power is 5 | number of threads is 1
elapsed time = 15.49 | seconds power is 6 | number of threads is 1
elapsed time = 18.47 | seconds power is 7 | number of threads is 1
elapsed time = 21.45 | seconds power is 8 | number of threads is 1
elapsed time = 24.44 | seconds power is 9 | number of threads is 1
elapsed time = 27.43 | seconds power is 10 | number of threads is 1
elapsed time = 30.42 | seconds power is 11 | number of threads is 1
elapsed time = 33.40 | seconds power is 12 | number of threads is 1
elapsed time = 36.39 | seconds power is 13 | number of threads is 1
elapsed time = 39.37 | seconds power is 14 | number of threads is 1
elapsed time = 42.36 | seconds power is 15 | number of threads is 1
elapsed time = 45.37 | seconds power is 16 | number of threads is 1
1024 1 thread done
elapsed time = 1.56 | seconds power is 2 | number of threads is 2
elapsed time = 3.06 | seconds power is 3 | number of threads is 2
elapsed time = 4.56 | seconds power is 4 | number of threads is 2
elapsed time = 6.06 | seconds power is 5 | number of threads is 2
elapsed time = 7.57 | seconds power is 6 | number of threads is 2
elapsed time = 9.07 | seconds power is 7 | number of threads is 2
elapsed time = 10.57 | seconds power is 8 | number of threads is 2
elapsed time = 12.09 | seconds power is 9 | number of threads is 2
elapsed time = 13.60 | seconds power is 10 | number of threads is 2
elapsed time = 15.10 | seconds power is 11 | number of threads is 2
elapsed time = 16.61 | seconds power is 12 | number of threads is 2
elapsed time = 18.11 | seconds power is 13 | number of threads is 2
elapsed time = 19.62 | seconds power is 14 | number of threads is 2
elapsed time = 21.12 | seconds power is 15 | number of threads is 2
elapsed time = 22.62 | seconds power is 16 | number of threads is 2
1024 2 thread done
elapsed time = 0.80 | seconds power is 2 | number of threads is 4
elapsed time = 1.57 | seconds power is 3 | number of threads is 4
elapsed time = 2.34 | seconds power is 4 | number of threads is 4
elapsed time = 3.11 | seconds power is 5 | number of threads is 4
elapsed time = 3.88 | seconds power is 6 | number of threads is 4
elapsed time = 4.65 | seconds power is 7 | number of threads is 4
elapsed time = 5.42 | seconds power is 8 | number of threads is 4
elapsed time = 6.19 | seconds power is 9 | number of threads is 4
elapsed time = 6.96 | seconds power is 10 | number of threads is 4
elapsed time = 7.73 | seconds power is 11 | number of threads is 4
elapsed time = 8.50 | seconds power is 12 | number of threads is 4
elapsed time = 9.26 | seconds power is 13 | number of threads is 4
elapsed time = 10.04 | seconds power is 14 | number of threads is 4
elapsed time = 10.81 | seconds power is 15 | number of threads is 4
elapsed time = 11.57 | seconds power is 16 | number of threads is 4
1024 4 thread done
elapsed time = 0.55 | seconds power is 2 | number of threads is 6
elapsed time = 1.08 | seconds power is 3 | number of threads is 6
elapsed time = 1.62 | seconds power is 4 | number of threads is 6
elapsed time = 2.15 | seconds power is 5 | number of threads is 6
elapsed time = 2.68 | seconds power is 6 | number of threads is 6
elapsed time = 3.21 | seconds power is 7 | number of threads is 6
elapsed time = 3.74 | seconds power is 8 | number of threads is 6
elapsed time = 4.26 | seconds power is 9 | number of threads is 6
elapsed time = 4.78 | seconds power is 10 | number of threads is 6
elapsed time = 5.30 | seconds power is 11 | number of threads is 6
elapsed time = 5.83 | seconds power is 12 | number of threads is 6
elapsed time = 6.35 | seconds power is 13 | number of threads is 6
elapsed time = 6.87 | seconds power is 14 | number of threads is 6
elapsed time = 7.39 | seconds power is 15 | number of threads is 6
elapsed time = 7.92 | seconds power is 16 | number of threads is 6
1024 6 thread done
elapsed time = 0.47 | seconds power is 2 | number of threads is 8
elapsed time = 0.90 | seconds power is 3 | number of threads is 8
elapsed time = 1.34 | seconds power is 4 | number of threads is 8
elapsed time = 1.78 | seconds power is 5 | number of threads is 8
elapsed time = 2.22 | seconds power is 6 | number of threads is 8
elapsed time = 2.65 | seconds power is 7 | number of threads is 8
elapsed time = 3.09 | seconds power is 8 | number of threads is 8
elapsed time = 3.53 | seconds power is 9 | number of threads is 8
elapsed time = 3.97 | seconds power is 10 | number of threads is 8
elapsed time = 4.40 | seconds power is 11 | number of threads is 8
elapsed time = 4.84 | seconds power is 12 | number of threads is 8
elapsed time = 5.28 | seconds power is 13 | number of threads is 8
elapsed time = 5.72 | seconds power is 14 | number of threads is 8
elapsed time = 6.15 | seconds power is 15 | number of threads is 8
elapsed time = 6.59 | seconds power is 16 | number of threads is 8
1024 8 thread done
elapsed time = 0.47 | seconds power is 2 | number of threads is 10
elapsed time = 0.97 | seconds power is 3 | number of threads is 10
elapsed time = 1.46 | seconds power is 4 | number of threads is 10
elapsed time = 1.92 | seconds power is 5 | number of threads is 10
elapsed time = 2.41 | seconds power is 6 | number of threads is 10
elapsed time = 2.90 | seconds power is 7 | number of threads is 10
elapsed time = 3.35 | seconds power is 8 | number of threads is 10
elapsed time = 3.84 | seconds power is 9 | number of threads is 10
elapsed time = 4.39 | seconds power is 10 | number of threads is 10
elapsed time = 4.89 | seconds power is 11 | number of threads is 10
elapsed time = 5.34 | seconds power is 12 | number of threads is 10
elapsed time = 5.83 | seconds power is 13 | number of threads is 10
elapsed time = 6.33 | seconds power is 14 | number of threads is 10
elapsed time = 6.84 | seconds power is 15 | number of threads is 10
elapsed time = 7.33 | seconds power is 16 | number of threads is 10
1024 10 thread done
elapsed time = 0.49 | seconds power is 2 | number of threads is 12
elapsed time = 0.95 | seconds power is 3 | number of threads is 12
elapsed time = 1.40 | seconds power is 4 | number of threads is 12
elapsed time = 1.85 | seconds power is 5 | number of threads is 12
elapsed time = 2.31 | seconds power is 6 | number of threads is 12
elapsed time = 2.74 | seconds power is 7 | number of threads is 12
elapsed time = 3.23 | seconds power is 8 | number of threads is 12
elapsed time = 3.69 | seconds power is 9 | number of threads is 12
elapsed time = 4.16 | seconds power is 10 | number of threads is 12
elapsed time = 4.64 | seconds power is 11 | number of threads is 12
elapsed time = 5.11 | seconds power is 12 | number of threads is 12
elapsed time = 5.57 | seconds power is 13 | number of threads is 12
elapsed time = 6.06 | seconds power is 14 | number of threads is 12
elapsed time = 6.53 | seconds power is 15 | number of threads is 12
elapsed time = 7.01 | seconds power is 16 | number of threads is 12
1024 12 thread done
elapsed time = 0.48 | seconds power is 2 | number of threads is 14
elapsed time = 0.95 | seconds power is 3 | number of threads is 14
elapsed time = 1.42 | seconds power is 4 | number of threads is 14
elapsed time = 1.92 | seconds power is 5 | number of threads is 14
elapsed time = 2.38 | seconds power is 6 | number of threads is 14
elapsed time = 2.85 | seconds power is 7 | number of threads is 14
elapsed time = 3.34 | seconds power is 8 | number of threads is 14
elapsed time = 3.80 | seconds power is 9 | number of threads is 14
elapsed time = 4.26 | seconds power is 10 | number of threads is 14
elapsed time = 4.73 | seconds power is 11 | number of threads is 14
elapsed time = 5.19 | seconds power is 12 | number of threads is 14
elapsed time = 5.67 | seconds power is 13 | number of threads is 14
elapsed time = 6.15 | seconds power is 14 | number of threads is 14
elapsed time = 6.62 | seconds power is 15 | number of threads is 14
elapsed time = 7.09 | seconds power is 16 | number of threads is 14
1024 14 thread done
elapsed time = 0.47 | seconds power is 2 | number of threads is 16
elapsed time = 0.93 | seconds power is 3 | number of threads is 16
elapsed time = 1.39 | seconds power is 4 | number of threads is 16
elapsed time = 1.86 | seconds power is 5 | number of threads is 16
elapsed time = 2.34 | seconds power is 6 | number of threads is 16
elapsed time = 2.80 | seconds power is 7 | number of threads is 16
elapsed time = 3.27 | seconds power is 8 | number of threads is 16
elapsed time = 3.74 | seconds power is 9 | number of threads is 16
elapsed time = 4.20 | seconds power is 10 | number of threads is 16
elapsed time = 4.65 | seconds power is 11 | number of threads is 16
elapsed time = 5.10 | seconds power is 12 | number of threads is 16
elapsed time = 5.56 | seconds power is 13 | number of threads is 16
elapsed time = 6.03 | seconds power is 14 | number of threads is 16
elapsed time = 6.50 | seconds power is 15 | number of threads is 16
elapsed time = 6.95 | seconds power is 16 | number of threads is 16
1024 16 thread done
