1	19.45	20.24	14.59	20.81	18.41	13.42
2	22.86	23.32	19.61	23.6	21.13	18.69
4	25.25	32.67	26.95	29.83	27.89	24.41
8	37.56	34.08	30.75	34.32	33.75	28.16
16	48.13	32.34	26.09	47.13	34.65	27.59
32	71.74	39.02	23.29	59.91	39.28	23.92
64	104.81	31.11	20.3	75.29	32.64	21.34
128	125.04	28.7	15.12	86.67	26.54	17.63
256	137.58	22.56	14.15	91.05	24.65	15.17
512	150.03	27.47	18.08	97.29	28.64	19.73
