1	20.81	19.45
2	23.6	22.86
4	29.83	25.25
8	34.32	37.56
16	47.13	48.13
32	59.91	71.74
64	75.29	104.81
128	86.67	125.04
256	91.05	137.58
512	97.29	150.03

