1	20.81	18.41	13.42
2	23.6	21.13	18.69
4	29.83	27.89	24.41
8	34.32	33.75	28.16
16	47.13	34.65	27.59
32	59.91	39.28	23.92
64	75.29	32.64	21.34
128	86.67	26.54	17.63
256	91.05	24.65	15.17
512	97.29	28.64	19.73
