elapsed time = 60.80 | seconds power is 2 | number of threads is 1
elapsed time = 121.27 | seconds power is 3 | number of threads is 1
elapsed time = 181.63 | seconds power is 4 | number of threads is 1
elapsed time = 242.10 | seconds power is 5 | number of threads is 1
elapsed time = 302.85 | seconds power is 6 | number of threads is 1
elapsed time = 363.68 | seconds power is 7 | number of threads is 1
elapsed time = 424.14 | seconds power is 8 | number of threads is 1
elapsed time = 484.37 | seconds power is 9 | number of threads is 1
elapsed time = 544.90 | seconds power is 10 | number of threads is 1
elapsed time = 605.50 | seconds power is 11 | number of threads is 1
elapsed time = 666.50 | seconds power is 12 | number of threads is 1
elapsed time = 726.56 | seconds power is 13 | number of threads is 1
elapsed time = 786.95 | seconds power is 14 | number of threads is 1
elapsed time = 847.47 | seconds power is 15 | number of threads is 1
elapsed time = 907.74 | seconds power is 16 | number of threads is 1
512 1 thread done
elapsed time = 32.23 | seconds power is 2 | number of threads is 2
elapsed time = 64.78 | seconds power is 3 | number of threads is 2
elapsed time = 96.92 | seconds power is 4 | number of threads is 2
elapsed time = 128.95 | seconds power is 5 | number of threads is 2
elapsed time = 161.49 | seconds power is 6 | number of threads is 2
elapsed time = 193.64 | seconds power is 7 | number of threads is 2
elapsed time = 225.75 | seconds power is 8 | number of threads is 2
elapsed time = 257.88 | seconds power is 9 | number of threads is 2
elapsed time = 289.94 | seconds power is 10 | number of threads is 2
elapsed time = 322.05 | seconds power is 11 | number of threads is 2
elapsed time = 354.18 | seconds power is 12 | number of threads is 2
elapsed time = 386.28 | seconds power is 13 | number of threads is 2
elapsed time = 418.39 | seconds power is 14 | number of threads is 2
elapsed time = 450.53 | seconds power is 15 | number of threads is 2
elapsed time = 483.05 | seconds power is 16 | number of threads is 2
512 2 thread done
elapsed time = 16.24 | seconds power is 2 | number of threads is 4
elapsed time = 32.26 | seconds power is 3 | number of threads is 4
elapsed time = 48.28 | seconds power is 4 | number of threads is 4
elapsed time = 64.26 | seconds power is 5 | number of threads is 4
elapsed time = 80.25 | seconds power is 6 | number of threads is 4
elapsed time = 96.29 | seconds power is 7 | number of threads is 4
elapsed time = 112.36 | seconds power is 8 | number of threads is 4
elapsed time = 128.44 | seconds power is 9 | number of threads is 4
elapsed time = 144.50 | seconds power is 10 | number of threads is 4
elapsed time = 160.58 | seconds power is 11 | number of threads is 4
elapsed time = 176.74 | seconds power is 12 | number of threads is 4
elapsed time = 192.93 | seconds power is 13 | number of threads is 4
elapsed time = 209.02 | seconds power is 14 | number of threads is 4
elapsed time = 225.11 | seconds power is 15 | number of threads is 4
elapsed time = 241.22 | seconds power is 16 | number of threads is 4
512 4 thread done
elapsed time = 10.93 | seconds power is 2 | number of threads is 6
elapsed time = 21.93 | seconds power is 3 | number of threads is 6
elapsed time = 32.97 | seconds power is 4 | number of threads is 6
elapsed time = 44.02 | seconds power is 5 | number of threads is 6
elapsed time = 55.15 | seconds power is 6 | number of threads is 6
elapsed time = 66.43 | seconds power is 7 | number of threads is 6
elapsed time = 77.75 | seconds power is 8 | number of threads is 6
elapsed time = 88.88 | seconds power is 9 | number of threads is 6
