elapsed time = 24.98 | seconds power is 5 | number of threads is 14
elapsed time = 31.21 | seconds power is 6 | number of threads is 14
elapsed time = 37.45 | seconds power is 7 | number of threads is 14
elapsed time = 43.93 | seconds power is 8 | number of threads is 14
elapsed time = 50.02 | seconds power is 9 | number of threads is 14
elapsed time = 56.75 | seconds power is 10 | number of threads is 14
elapsed time = 62.86 | seconds power is 11 | number of threads is 14
elapsed time = 69.14 | seconds power is 12 | number of threads is 14
elapsed time = 75.28 | seconds power is 13 | number of threads is 14
elapsed time = 81.62 | seconds power is 14 | number of threads is 14
elapsed time = 87.64 | seconds power is 15 | number of threads is 14
elapsed time = 93.81 | seconds power is 16 | number of threads is 14
2048 14 thread done
elapsed time = 6.21 | seconds power is 2 | number of threads is 16
elapsed time = 11.62 | seconds power is 3 | number of threads is 16
elapsed time = 17.79 | seconds power is 4 | number of threads is 16
elapsed time = 24.12 | seconds power is 5 | number of threads is 16
elapsed time = 29.48 | seconds power is 6 | number of threads is 16
elapsed time = 35.81 | seconds power is 7 | number of threads is 16
elapsed time = 41.19 | seconds power is 8 | number of threads is 16
elapsed time = 46.81 | seconds power is 9 | number of threads is 16
elapsed time = 52.91 | seconds power is 10 | number of threads is 16
elapsed time = 58.35 | seconds power is 11 | number of threads is 16
elapsed time = 64.78 | seconds power is 12 | number of threads is 16
elapsed time = 70.36 | seconds power is 13 | number of threads is 16
elapsed time = 76.00 | seconds power is 14 | number of threads is 16
elapsed time = 82.13 | seconds power is 15 | number of threads is 16
elapsed time = 87.68 | seconds power is 16 | number of threads is 16
2048 16 thread done
