elapsed time = 24.25 | seconds power is 5 | number of threads is 14
elapsed time = 29.99 | seconds power is 6 | number of threads is 14
elapsed time = 35.78 | seconds power is 7 | number of threads is 14
elapsed time = 41.58 | seconds power is 8 | number of threads is 14
elapsed time = 47.38 | seconds power is 9 | number of threads is 14
elapsed time = 53.93 | seconds power is 10 | number of threads is 14
elapsed time = 59.67 | seconds power is 11 | number of threads is 14
elapsed time = 66.33 | seconds power is 12 | number of threads is 14
elapsed time = 72.46 | seconds power is 13 | number of threads is 14
elapsed time = 79.19 | seconds power is 14 | number of threads is 14
elapsed time = 84.82 | seconds power is 15 | number of threads is 14
elapsed time = 90.65 | seconds power is 16 | number of threads is 14
2048 14 thread done
elapsed time = 5.45 | seconds power is 2 | number of threads is 16
elapsed time = 10.62 | seconds power is 3 | number of threads is 16
elapsed time = 16.37 | seconds power is 4 | number of threads is 16
elapsed time = 21.54 | seconds power is 5 | number of threads is 16
elapsed time = 26.90 | seconds power is 6 | number of threads is 16
elapsed time = 32.75 | seconds power is 7 | number of threads is 16
elapsed time = 37.87 | seconds power is 8 | number of threads is 16
elapsed time = 43.40 | seconds power is 9 | number of threads is 16
elapsed time = 49.18 | seconds power is 10 | number of threads is 16
elapsed time = 54.28 | seconds power is 11 | number of threads is 16
elapsed time = 60.10 | seconds power is 12 | number of threads is 16
elapsed time = 65.84 | seconds power is 13 | number of threads is 16
elapsed time = 70.95 | seconds power is 14 | number of threads is 16
elapsed time = 76.77 | seconds power is 15 | number of threads is 16
elapsed time = 81.90 | seconds power is 16 | number of threads is 16
2048 16 thread done
