elapsed time = 32.99 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 64.67 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 96.60 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 128.41 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 160.16 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 191.88 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 223.70 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 255.45 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 287.25 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 319.57 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 351.71 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 383.51 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 415.30 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 447.15 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 480.62 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 502.40 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 524.18 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 545.95 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 567.71 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 589.47 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 611.23 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 633.01 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 654.77 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 676.55 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 698.32 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 720.08 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 741.84 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 763.60 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 785.38 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 807.15 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 827.50 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 847.84 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 868.20 | seconds power is 4 | number of threads is 1 | block size is 16
elapsed time = 888.55 | seconds power is 5 | number of threads is 1 | block size is 16
elapsed time = 908.90 | seconds power is 6 | number of threads is 1 | block size is 16
elapsed time = 929.26 | seconds power is 7 | number of threads is 1 | block size is 16
elapsed time = 949.60 | seconds power is 8 | number of threads is 1 | block size is 16
elapsed time = 969.96 | seconds power is 9 | number of threads is 1 | block size is 16
elapsed time = 990.32 | seconds power is 10 | number of threads is 1 | block size is 16
elapsed time = 1010.66 | seconds power is 11 | number of threads is 1 | block size is 16
elapsed time = 1031.01 | seconds power is 12 | number of threads is 1 | block size is 16
elapsed time = 1051.36 | seconds power is 13 | number of threads is 1 | block size is 16
elapsed time = 1071.71 | seconds power is 14 | number of threads is 1 | block size is 16
elapsed time = 1092.05 | seconds power is 15 | number of threads is 1 | block size is 16
elapsed time = 1112.39 | seconds power is 16 | number of threads is 1 | block size is 16
elapsed time = 1132.73 | seconds power is 2 | number of threads is 1 | block size is 32
elapsed time = 1153.06 | seconds power is 3 | number of threads is 1 | block size is 32
elapsed time = 1173.39 | seconds power is 4 | number of threads is 1 | block size is 32
elapsed time = 1193.74 | seconds power is 5 | number of threads is 1 | block size is 32
elapsed time = 1214.07 | seconds power is 6 | number of threads is 1 | block size is 32
elapsed time = 1234.40 | seconds power is 7 | number of threads is 1 | block size is 32
elapsed time = 1254.74 | seconds power is 8 | number of threads is 1 | block size is 32
elapsed time = 1275.08 | seconds power is 9 | number of threads is 1 | block size is 32
elapsed time = 1295.42 | seconds power is 10 | number of threads is 1 | block size is 32
elapsed time = 1315.76 | seconds power is 11 | number of threads is 1 | block size is 32
elapsed time = 1336.10 | seconds power is 12 | number of threads is 1 | block size is 32
elapsed time = 1356.43 | seconds power is 13 | number of threads is 1 | block size is 32
elapsed time = 1376.77 | seconds power is 14 | number of threads is 1 | block size is 32
elapsed time = 1397.10 | seconds power is 15 | number of threads is 1 | block size is 32
elapsed time = 1417.43 | seconds power is 16 | number of threads is 1 | block size is 32
elapsed time = 1437.29 | seconds power is 2 | number of threads is 1 | block size is 64
elapsed time = 1457.15 | seconds power is 3 | number of threads is 1 | block size is 64
elapsed time = 1477.00 | seconds power is 4 | number of threads is 1 | block size is 64
elapsed time = 1496.86 | seconds power is 5 | number of threads is 1 | block size is 64
elapsed time = 1516.71 | seconds power is 6 | number of threads is 1 | block size is 64
elapsed time = 1536.57 | seconds power is 7 | number of threads is 1 | block size is 64
elapsed time = 1556.43 | seconds power is 8 | number of threads is 1 | block size is 64
