elapsed time = 33.51 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 66.36 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 99.34 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 132.36 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 165.30 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 198.28 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 231.06 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 263.92 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 296.76 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 330.58 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 365.16 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 397.94 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 430.81 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 463.52 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 496.11 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 517.88 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 539.64 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 561.41 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 583.18 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 604.95 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 626.74 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 648.53 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 670.36 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 692.16 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 713.98 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 735.76 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 757.53 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 779.31 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 801.12 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 822.89 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 843.25 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 863.66 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 884.03 | seconds power is 4 | number of threads is 1 | block size is 16
elapsed time = 904.40 | seconds power is 5 | number of threads is 1 | block size is 16
elapsed time = 924.77 | seconds power is 6 | number of threads is 1 | block size is 16
elapsed time = 945.13 | seconds power is 7 | number of threads is 1 | block size is 16
elapsed time = 965.50 | seconds power is 8 | number of threads is 1 | block size is 16
elapsed time = 985.87 | seconds power is 9 | number of threads is 1 | block size is 16
elapsed time = 1006.24 | seconds power is 10 | number of threads is 1 | block size is 16
elapsed time = 1026.62 | seconds power is 11 | number of threads is 1 | block size is 16
elapsed time = 1047.00 | seconds power is 12 | number of threads is 1 | block size is 16
elapsed time = 1067.37 | seconds power is 13 | number of threads is 1 | block size is 16
elapsed time = 1087.74 | seconds power is 14 | number of threads is 1 | block size is 16
elapsed time = 1108.13 | seconds power is 15 | number of threads is 1 | block size is 16
elapsed time = 1128.49 | seconds power is 16 | number of threads is 1 | block size is 16
elapsed time = 1148.84 | seconds power is 2 | number of threads is 1 | block size is 32
elapsed time = 1169.20 | seconds power is 3 | number of threads is 1 | block size is 32
elapsed time = 1189.56 | seconds power is 4 | number of threads is 1 | block size is 32
elapsed time = 1209.92 | seconds power is 5 | number of threads is 1 | block size is 32
elapsed time = 1230.28 | seconds power is 6 | number of threads is 1 | block size is 32
elapsed time = 1250.63 | seconds power is 7 | number of threads is 1 | block size is 32
elapsed time = 1271.01 | seconds power is 8 | number of threads is 1 | block size is 32
elapsed time = 1291.36 | seconds power is 9 | number of threads is 1 | block size is 32
elapsed time = 1311.71 | seconds power is 10 | number of threads is 1 | block size is 32
elapsed time = 1332.07 | seconds power is 11 | number of threads is 1 | block size is 32
elapsed time = 1352.42 | seconds power is 12 | number of threads is 1 | block size is 32
elapsed time = 1372.77 | seconds power is 13 | number of threads is 1 | block size is 32
elapsed time = 1393.13 | seconds power is 14 | number of threads is 1 | block size is 32
elapsed time = 1413.48 | seconds power is 15 | number of threads is 1 | block size is 32
elapsed time = 1433.83 | seconds power is 16 | number of threads is 1 | block size is 32
elapsed time = 1453.70 | seconds power is 2 | number of threads is 1 | block size is 64
elapsed time = 1473.57 | seconds power is 3 | number of threads is 1 | block size is 64
elapsed time = 1493.43 | seconds power is 4 | number of threads is 1 | block size is 64
