elapsed time = 32.83 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 65.19 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 97.60 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 130.00 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 162.39 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 194.92 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 227.23 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 259.91 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 292.31 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 324.66 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 357.13 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 389.48 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 421.86 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 454.25 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 486.48 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 508.24 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 530.01 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 551.76 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 573.51 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 595.28 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 617.05 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 638.80 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 660.58 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 682.35 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 704.10 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 725.90 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 747.69 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 769.43 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 791.18 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 812.96 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 833.32 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 853.68 | seconds power is 3 | number of threads is 1 | block size is 16
