elapsed time = 0.37 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 0.72 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 1.06 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 1.41 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 1.75 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 2.10 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 2.45 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 2.79 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 3.14 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 3.48 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 3.83 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 4.18 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 4.52 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 4.86 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 5.21 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 5.52 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 5.83 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 6.15 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 6.46 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 6.78 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 7.09 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 7.40 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 7.72 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 8.03 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 8.34 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 8.65 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 8.97 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 9.28 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 9.59 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 9.91 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 10.20 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 10.49 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 10.79 | seconds power is 4 | number of threads is 1 | block size is 16
elapsed time = 11.09 | seconds power is 5 | number of threads is 1 | block size is 16
elapsed time = 11.38 | seconds power is 6 | number of threads is 1 | block size is 16
elapsed time = 11.68 | seconds power is 7 | number of threads is 1 | block size is 16
elapsed time = 11.97 | seconds power is 8 | number of threads is 1 | block size is 16
elapsed time = 12.27 | seconds power is 9 | number of threads is 1 | block size is 16
elapsed time = 12.56 | seconds power is 10 | number of threads is 1 | block size is 16
elapsed time = 12.86 | seconds power is 11 | number of threads is 1 | block size is 16
elapsed time = 13.15 | seconds power is 12 | number of threads is 1 | block size is 16
elapsed time = 13.45 | seconds power is 13 | number of threads is 1 | block size is 16
elapsed time = 13.74 | seconds power is 14 | number of threads is 1 | block size is 16
elapsed time = 14.04 | seconds power is 15 | number of threads is 1 | block size is 16
elapsed time = 14.33 | seconds power is 16 | number of threads is 1 | block size is 16
elapsed time = 14.63 | seconds power is 2 | number of threads is 1 | block size is 32
elapsed time = 14.93 | seconds power is 3 | number of threads is 1 | block size is 32
elapsed time = 15.23 | seconds power is 4 | number of threads is 1 | block size is 32
elapsed time = 15.52 | seconds power is 5 | number of threads is 1 | block size is 32
elapsed time = 15.82 | seconds power is 6 | number of threads is 1 | block size is 32
elapsed time = 16.12 | seconds power is 7 | number of threads is 1 | block size is 32
elapsed time = 16.41 | seconds power is 8 | number of threads is 1 | block size is 32
elapsed time = 16.71 | seconds power is 9 | number of threads is 1 | block size is 32
elapsed time = 17.01 | seconds power is 10 | number of threads is 1 | block size is 32
elapsed time = 17.30 | seconds power is 11 | number of threads is 1 | block size is 32
elapsed time = 17.60 | seconds power is 12 | number of threads is 1 | block size is 32
elapsed time = 17.90 | seconds power is 13 | number of threads is 1 | block size is 32
elapsed time = 18.20 | seconds power is 14 | number of threads is 1 | block size is 32
elapsed time = 18.50 | seconds power is 15 | number of threads is 1 | block size is 32
elapsed time = 18.79 | seconds power is 16 | number of threads is 1 | block size is 32
elapsed time = 19.08 | seconds power is 2 | number of threads is 1 | block size is 64
elapsed time = 19.37 | seconds power is 3 | number of threads is 1 | block size is 64
elapsed time = 19.65 | seconds power is 4 | number of threads is 1 | block size is 64
elapsed time = 19.94 | seconds power is 5 | number of threads is 1 | block size is 64
elapsed time = 20.23 | seconds power is 6 | number of threads is 1 | block size is 64
elapsed time = 20.52 | seconds power is 7 | number of threads is 1 | block size is 64
elapsed time = 20.80 | seconds power is 8 | number of threads is 1 | block size is 64
elapsed time = 21.09 | seconds power is 9 | number of threads is 1 | block size is 64
elapsed time = 21.38 | seconds power is 10 | number of threads is 1 | block size is 64
elapsed time = 21.66 | seconds power is 11 | number of threads is 1 | block size is 64
elapsed time = 21.95 | seconds power is 12 | number of threads is 1 | block size is 64
elapsed time = 22.24 | seconds power is 13 | number of threads is 1 | block size is 64
elapsed time = 22.52 | seconds power is 14 | number of threads is 1 | block size is 64
elapsed time = 22.81 | seconds power is 15 | number of threads is 1 | block size is 64
elapsed time = 23.10 | seconds power is 16 | number of threads is 1 | block size is 64
512 1 thread done
elapsed time = 0.19 | seconds power is 2 | number of threads is 2 | block size is 4
elapsed time = 0.36 | seconds power is 3 | number of threads is 2 | block size is 4
elapsed time = 0.54 | seconds power is 4 | number of threads is 2 | block size is 4
elapsed time = 0.72 | seconds power is 5 | number of threads is 2 | block size is 4
elapsed time = 0.90 | seconds power is 6 | number of threads is 2 | block size is 4
elapsed time = 1.07 | seconds power is 7 | number of threads is 2 | block size is 4
elapsed time = 1.25 | seconds power is 8 | number of threads is 2 | block size is 4
elapsed time = 1.43 | seconds power is 9 | number of threads is 2 | block size is 4
elapsed time = 1.60 | seconds power is 10 | number of threads is 2 | block size is 4
elapsed time = 1.78 | seconds power is 11 | number of threads is 2 | block size is 4
elapsed time = 1.95 | seconds power is 12 | number of threads is 2 | block size is 4
elapsed time = 2.13 | seconds power is 13 | number of threads is 2 | block size is 4
elapsed time = 2.30 | seconds power is 14 | number of threads is 2 | block size is 4
elapsed time = 2.47 | seconds power is 15 | number of threads is 2 | block size is 4
elapsed time = 2.65 | seconds power is 16 | number of threads is 2 | block size is 4
elapsed time = 2.81 | seconds power is 2 | number of threads is 2 | block size is 8
elapsed time = 2.96 | seconds power is 3 | number of threads is 2 | block size is 8
elapsed time = 3.12 | seconds power is 4 | number of threads is 2 | block size is 8
elapsed time = 3.28 | seconds power is 5 | number of threads is 2 | block size is 8
elapsed time = 3.44 | seconds power is 6 | number of threads is 2 | block size is 8
elapsed time = 3.59 | seconds power is 7 | number of threads is 2 | block size is 8
elapsed time = 3.75 | seconds power is 8 | number of threads is 2 | block size is 8
elapsed time = 3.91 | seconds power is 9 | number of threads is 2 | block size is 8
elapsed time = 4.07 | seconds power is 10 | number of threads is 2 | block size is 8
elapsed time = 4.23 | seconds power is 11 | number of threads is 2 | block size is 8
elapsed time = 4.39 | seconds power is 12 | number of threads is 2 | block size is 8
elapsed time = 4.55 | seconds power is 13 | number of threads is 2 | block size is 8
elapsed time = 4.72 | seconds power is 14 | number of threads is 2 | block size is 8
elapsed time = 4.87 | seconds power is 15 | number of threads is 2 | block size is 8
elapsed time = 5.03 | seconds power is 16 | number of threads is 2 | block size is 8
elapsed time = 5.19 | seconds power is 2 | number of threads is 2 | block size is 16
elapsed time = 5.34 | seconds power is 3 | number of threads is 2 | block size is 16
elapsed time = 5.49 | seconds power is 4 | number of threads is 2 | block size is 16
elapsed time = 5.65 | seconds power is 5 | number of threads is 2 | block size is 16
elapsed time = 5.80 | seconds power is 6 | number of threads is 2 | block size is 16
elapsed time = 5.96 | seconds power is 7 | number of threads is 2 | block size is 16
elapsed time = 6.11 | seconds power is 8 | number of threads is 2 | block size is 16
elapsed time = 6.26 | seconds power is 9 | number of threads is 2 | block size is 16
elapsed time = 6.41 | seconds power is 10 | number of threads is 2 | block size is 16
elapsed time = 6.57 | seconds power is 11 | number of threads is 2 | block size is 16
elapsed time = 6.72 | seconds power is 12 | number of threads is 2 | block size is 16
elapsed time = 6.87 | seconds power is 13 | number of threads is 2 | block size is 16
elapsed time = 7.02 | seconds power is 14 | number of threads is 2 | block size is 16
elapsed time = 7.17 | seconds power is 15 | number of threads is 2 | block size is 16
elapsed time = 7.32 | seconds power is 16 | number of threads is 2 | block size is 16
elapsed time = 7.46 | seconds power is 2 | number of threads is 2 | block size is 32
elapsed time = 7.61 | seconds power is 3 | number of threads is 2 | block size is 32
elapsed time = 7.76 | seconds power is 4 | number of threads is 2 | block size is 32
elapsed time = 7.91 | seconds power is 5 | number of threads is 2 | block size is 32
elapsed time = 8.06 | seconds power is 6 | number of threads is 2 | block size is 32
elapsed time = 8.21 | seconds power is 7 | number of threads is 2 | block size is 32
elapsed time = 8.36 | seconds power is 8 | number of threads is 2 | block size is 32
elapsed time = 8.51 | seconds power is 9 | number of threads is 2 | block size is 32
elapsed time = 8.66 | seconds power is 10 | number of threads is 2 | block size is 32
