elapsed time = 0.36 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 0.71 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 1.05 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 1.39 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 1.75 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 2.10 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 2.46 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 2.80 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 3.15 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 3.49 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 3.84 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 4.18 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 4.53 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 4.87 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 5.21 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 5.52 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 5.83 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 6.15 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 6.46 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 6.77 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 7.09 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 7.40 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 7.72 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 8.05 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 8.37 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 8.68 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 9.00 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 9.33 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 9.65 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 9.97 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 10.26 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 10.56 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 10.86 | seconds power is 4 | number of threads is 1 | block size is 16
elapsed time = 11.15 | seconds power is 5 | number of threads is 1 | block size is 16
elapsed time = 11.45 | seconds power is 6 | number of threads is 1 | block size is 16
elapsed time = 11.75 | seconds power is 7 | number of threads is 1 | block size is 16
elapsed time = 12.04 | seconds power is 8 | number of threads is 1 | block size is 16
elapsed time = 12.34 | seconds power is 9 | number of threads is 1 | block size is 16
elapsed time = 12.63 | seconds power is 10 | number of threads is 1 | block size is 16
elapsed time = 12.93 | seconds power is 11 | number of threads is 1 | block size is 16
elapsed time = 13.23 | seconds power is 12 | number of threads is 1 | block size is 16
elapsed time = 13.52 | seconds power is 13 | number of threads is 1 | block size is 16
elapsed time = 13.82 | seconds power is 14 | number of threads is 1 | block size is 16
elapsed time = 14.12 | seconds power is 15 | number of threads is 1 | block size is 16
elapsed time = 14.41 | seconds power is 16 | number of threads is 1 | block size is 16
elapsed time = 14.71 | seconds power is 2 | number of threads is 1 | block size is 32
elapsed time = 15.01 | seconds power is 3 | number of threads is 1 | block size is 32
elapsed time = 15.31 | seconds power is 4 | number of threads is 1 | block size is 32
elapsed time = 15.60 | seconds power is 5 | number of threads is 1 | block size is 32
elapsed time = 15.90 | seconds power is 6 | number of threads is 1 | block size is 32
elapsed time = 16.20 | seconds power is 7 | number of threads is 1 | block size is 32
elapsed time = 16.50 | seconds power is 8 | number of threads is 1 | block size is 32
elapsed time = 16.79 | seconds power is 9 | number of threads is 1 | block size is 32
elapsed time = 17.09 | seconds power is 10 | number of threads is 1 | block size is 32
elapsed time = 17.39 | seconds power is 11 | number of threads is 1 | block size is 32
elapsed time = 17.69 | seconds power is 12 | number of threads is 1 | block size is 32
elapsed time = 17.99 | seconds power is 13 | number of threads is 1 | block size is 32
elapsed time = 18.28 | seconds power is 14 | number of threads is 1 | block size is 32
elapsed time = 18.58 | seconds power is 15 | number of threads is 1 | block size is 32
elapsed time = 18.88 | seconds power is 16 | number of threads is 1 | block size is 32
elapsed time = 19.17 | seconds power is 2 | number of threads is 1 | block size is 64
elapsed time = 19.45 | seconds power is 3 | number of threads is 1 | block size is 64
elapsed time = 19.74 | seconds power is 4 | number of threads is 1 | block size is 64
elapsed time = 20.03 | seconds power is 5 | number of threads is 1 | block size is 64
elapsed time = 20.31 | seconds power is 6 | number of threads is 1 | block size is 64
elapsed time = 20.60 | seconds power is 7 | number of threads is 1 | block size is 64
elapsed time = 20.89 | seconds power is 8 | number of threads is 1 | block size is 64
elapsed time = 21.18 | seconds power is 9 | number of threads is 1 | block size is 64
elapsed time = 21.46 | seconds power is 10 | number of threads is 1 | block size is 64
elapsed time = 21.75 | seconds power is 11 | number of threads is 1 | block size is 64
elapsed time = 22.04 | seconds power is 12 | number of threads is 1 | block size is 64
elapsed time = 22.32 | seconds power is 13 | number of threads is 1 | block size is 64
elapsed time = 22.61 | seconds power is 14 | number of threads is 1 | block size is 64
elapsed time = 22.90 | seconds power is 15 | number of threads is 1 | block size is 64
elapsed time = 23.19 | seconds power is 16 | number of threads is 1 | block size is 64
512 1 thread done
elapsed time = 0.18 | seconds power is 2 | number of threads is 2 | block size is 4
elapsed time = 0.36 | seconds power is 3 | number of threads is 2 | block size is 4
elapsed time = 0.54 | seconds power is 4 | number of threads is 2 | block size is 4
elapsed time = 0.71 | seconds power is 5 | number of threads is 2 | block size is 4
elapsed time = 0.89 | seconds power is 6 | number of threads is 2 | block size is 4
elapsed time = 1.06 | seconds power is 7 | number of threads is 2 | block size is 4
elapsed time = 1.24 | seconds power is 8 | number of threads is 2 | block size is 4
elapsed time = 1.41 | seconds power is 9 | number of threads is 2 | block size is 4
elapsed time = 1.58 | seconds power is 10 | number of threads is 2 | block size is 4
elapsed time = 1.76 | seconds power is 11 | number of threads is 2 | block size is 4
elapsed time = 1.93 | seconds power is 12 | number of threads is 2 | block size is 4
elapsed time = 2.12 | seconds power is 13 | number of threads is 2 | block size is 4
elapsed time = 2.30 | seconds power is 14 | number of threads is 2 | block size is 4
elapsed time = 2.48 | seconds power is 15 | number of threads is 2 | block size is 4
elapsed time = 2.66 | seconds power is 16 | number of threads is 2 | block size is 4
elapsed time = 2.81 | seconds power is 2 | number of threads is 2 | block size is 8
elapsed time = 2.97 | seconds power is 3 | number of threads is 2 | block size is 8
elapsed time = 3.13 | seconds power is 4 | number of threads is 2 | block size is 8
elapsed time = 3.29 | seconds power is 5 | number of threads is 2 | block size is 8
elapsed time = 3.45 | seconds power is 6 | number of threads is 2 | block size is 8
elapsed time = 3.60 | seconds power is 7 | number of threads is 2 | block size is 8
elapsed time = 3.76 | seconds power is 8 | number of threads is 2 | block size is 8
elapsed time = 3.92 | seconds power is 9 | number of threads is 2 | block size is 8
elapsed time = 4.08 | seconds power is 10 | number of threads is 2 | block size is 8
elapsed time = 4.24 | seconds power is 11 | number of threads is 2 | block size is 8
elapsed time = 4.40 | seconds power is 12 | number of threads is 2 | block size is 8
elapsed time = 4.55 | seconds power is 13 | number of threads is 2 | block size is 8
elapsed time = 4.71 | seconds power is 14 | number of threads is 2 | block size is 8
elapsed time = 4.87 | seconds power is 15 | number of threads is 2 | block size is 8
elapsed time = 5.03 | seconds power is 16 | number of threads is 2 | block size is 8
elapsed time = 5.18 | seconds power is 2 | number of threads is 2 | block size is 16
elapsed time = 5.32 | seconds power is 3 | number of threads is 2 | block size is 16
elapsed time = 5.47 | seconds power is 4 | number of threads is 2 | block size is 16
elapsed time = 5.62 | seconds power is 5 | number of threads is 2 | block size is 16
elapsed time = 5.77 | seconds power is 6 | number of threads is 2 | block size is 16
elapsed time = 5.92 | seconds power is 7 | number of threads is 2 | block size is 16
elapsed time = 6.08 | seconds power is 8 | number of threads is 2 | block size is 16
elapsed time = 6.23 | seconds power is 9 | number of threads is 2 | block size is 16
elapsed time = 6.38 | seconds power is 10 | number of threads is 2 | block size is 16
elapsed time = 6.53 | seconds power is 11 | number of threads is 2 | block size is 16
elapsed time = 6.67 | seconds power is 12 | number of threads is 2 | block size is 16
elapsed time = 6.82 | seconds power is 13 | number of threads is 2 | block size is 16
elapsed time = 6.97 | seconds power is 14 | number of threads is 2 | block size is 16
elapsed time = 7.12 | seconds power is 15 | number of threads is 2 | block size is 16
elapsed time = 7.27 | seconds power is 16 | number of threads is 2 | block size is 16
elapsed time = 7.42 | seconds power is 2 | number of threads is 2 | block size is 32
elapsed time = 7.57 | seconds power is 3 | number of threads is 2 | block size is 32
elapsed time = 7.72 | seconds power is 4 | number of threads is 2 | block size is 32
elapsed time = 7.87 | seconds power is 5 | number of threads is 2 | block size is 32
elapsed time = 8.02 | seconds power is 6 | number of threads is 2 | block size is 32
elapsed time = 8.17 | seconds power is 7 | number of threads is 2 | block size is 32
elapsed time = 8.32 | seconds power is 8 | number of threads is 2 | block size is 32
elapsed time = 8.47 | seconds power is 9 | number of threads is 2 | block size is 32
elapsed time = 8.62 | seconds power is 10 | number of threads is 2 | block size is 32
elapsed time = 8.76 | seconds power is 11 | number of threads is 2 | block size is 32
elapsed time = 8.91 | seconds power is 12 | number of threads is 2 | block size is 32
elapsed time = 9.06 | seconds power is 13 | number of threads is 2 | block size is 32
elapsed time = 9.21 | seconds power is 14 | number of threads is 2 | block size is 32
elapsed time = 9.36 | seconds power is 15 | number of threads is 2 | block size is 32
elapsed time = 9.51 | seconds power is 16 | number of threads is 2 | block size is 32
elapsed time = 9.66 | seconds power is 2 | number of threads is 2 | block size is 64
elapsed time = 9.80 | seconds power is 3 | number of threads is 2 | block size is 64
elapsed time = 9.95 | seconds power is 4 | number of threads is 2 | block size is 64
elapsed time = 10.09 | seconds power is 5 | number of threads is 2 | block size is 64
elapsed time = 10.24 | seconds power is 6 | number of threads is 2 | block size is 64
elapsed time = 10.38 | seconds power is 7 | number of threads is 2 | block size is 64
elapsed time = 10.52 | seconds power is 8 | number of threads is 2 | block size is 64
elapsed time = 10.67 | seconds power is 9 | number of threads is 2 | block size is 64
elapsed time = 10.81 | seconds power is 10 | number of threads is 2 | block size is 64
elapsed time = 10.96 | seconds power is 11 | number of threads is 2 | block size is 64
elapsed time = 11.10 | seconds power is 12 | number of threads is 2 | block size is 64
elapsed time = 11.25 | seconds power is 13 | number of threads is 2 | block size is 64
elapsed time = 11.39 | seconds power is 14 | number of threads is 2 | block size is 64
elapsed time = 11.54 | seconds power is 15 | number of threads is 2 | block size is 64
elapsed time = 11.68 | seconds power is 16 | number of threads is 2 | block size is 64
512 2 thread done
elapsed time = 0.10 | seconds power is 2 | number of threads is 4 | block size is 4
elapsed time = 0.19 | seconds power is 3 | number of threads is 4 | block size is 4
elapsed time = 0.28 | seconds power is 4 | number of threads is 4 | block size is 4
elapsed time = 0.37 | seconds power is 5 | number of threads is 4 | block size is 4
elapsed time = 0.46 | seconds power is 6 | number of threads is 4 | block size is 4
elapsed time = 0.55 | seconds power is 7 | number of threads is 4 | block size is 4
elapsed time = 0.64 | seconds power is 8 | number of threads is 4 | block size is 4
elapsed time = 0.73 | seconds power is 9 | number of threads is 4 | block size is 4
elapsed time = 0.82 | seconds power is 10 | number of threads is 4 | block size is 4
elapsed time = 0.91 | seconds power is 11 | number of threads is 4 | block size is 4
elapsed time = 1.00 | seconds power is 12 | number of threads is 4 | block size is 4
elapsed time = 1.09 | seconds power is 13 | number of threads is 4 | block size is 4
elapsed time = 1.18 | seconds power is 14 | number of threads is 4 | block size is 4
elapsed time = 1.27 | seconds power is 15 | number of threads is 4 | block size is 4
elapsed time = 1.36 | seconds power is 16 | number of threads is 4 | block size is 4
elapsed time = 1.44 | seconds power is 2 | number of threads is 4 | block size is 8
elapsed time = 1.53 | seconds power is 3 | number of threads is 4 | block size is 8
elapsed time = 1.61 | seconds power is 4 | number of threads is 4 | block size is 8
elapsed time = 1.69 | seconds power is 5 | number of threads is 4 | block size is 8
elapsed time = 1.77 | seconds power is 6 | number of threads is 4 | block size is 8
elapsed time = 1.85 | seconds power is 7 | number of threads is 4 | block size is 8
elapsed time = 1.93 | seconds power is 8 | number of threads is 4 | block size is 8
elapsed time = 2.01 | seconds power is 9 | number of threads is 4 | block size is 8
elapsed time = 2.09 | seconds power is 10 | number of threads is 4 | block size is 8
elapsed time = 2.17 | seconds power is 11 | number of threads is 4 | block size is 8
elapsed time = 2.25 | seconds power is 12 | number of threads is 4 | block size is 8
elapsed time = 2.33 | seconds power is 13 | number of threads is 4 | block size is 8
elapsed time = 2.41 | seconds power is 14 | number of threads is 4 | block size is 8
elapsed time = 2.50 | seconds power is 15 | number of threads is 4 | block size is 8
elapsed time = 2.58 | seconds power is 16 | number of threads is 4 | block size is 8
elapsed time = 2.65 | seconds power is 2 | number of threads is 4 | block size is 16
elapsed time = 2.73 | seconds power is 3 | number of threads is 4 | block size is 16
elapsed time = 2.81 | seconds power is 4 | number of threads is 4 | block size is 16
elapsed time = 2.88 | seconds power is 5 | number of threads is 4 | block size is 16
elapsed time = 2.96 | seconds power is 6 | number of threads is 4 | block size is 16
elapsed time = 3.04 | seconds power is 7 | number of threads is 4 | block size is 16
elapsed time = 3.11 | seconds power is 8 | number of threads is 4 | block size is 16
elapsed time = 3.19 | seconds power is 9 | number of threads is 4 | block size is 16
elapsed time = 3.26 | seconds power is 10 | number of threads is 4 | block size is 16
elapsed time = 3.34 | seconds power is 11 | number of threads is 4 | block size is 16
elapsed time = 3.42 | seconds power is 12 | number of threads is 4 | block size is 16
elapsed time = 3.49 | seconds power is 13 | number of threads is 4 | block size is 16
elapsed time = 3.57 | seconds power is 14 | number of threads is 4 | block size is 16
elapsed time = 3.65 | seconds power is 15 | number of threads is 4 | block size is 16
elapsed time = 3.72 | seconds power is 16 | number of threads is 4 | block size is 16
elapsed time = 3.80 | seconds power is 2 | number of threads is 4 | block size is 32
elapsed time = 3.88 | seconds power is 3 | number of threads is 4 | block size is 32
elapsed time = 3.95 | seconds power is 4 | number of threads is 4 | block size is 32
elapsed time = 4.03 | seconds power is 5 | number of threads is 4 | block size is 32
elapsed time = 4.11 | seconds power is 6 | number of threads is 4 | block size is 32
elapsed time = 4.18 | seconds power is 7 | number of threads is 4 | block size is 32
elapsed time = 4.26 | seconds power is 8 | number of threads is 4 | block size is 32
elapsed time = 4.34 | seconds power is 9 | number of threads is 4 | block size is 32
elapsed time = 4.41 | seconds power is 10 | number of threads is 4 | block size is 32
elapsed time = 4.49 | seconds power is 11 | number of threads is 4 | block size is 32
elapsed time = 4.57 | seconds power is 12 | number of threads is 4 | block size is 32
elapsed time = 4.64 | seconds power is 13 | number of threads is 4 | block size is 32
elapsed time = 4.72 | seconds power is 14 | number of threads is 4 | block size is 32
elapsed time = 4.80 | seconds power is 15 | number of threads is 4 | block size is 32
elapsed time = 4.87 | seconds power is 16 | number of threads is 4 | block size is 32
elapsed time = 4.95 | seconds power is 2 | number of threads is 4 | block size is 64
elapsed time = 5.02 | seconds power is 3 | number of threads is 4 | block size is 64
elapsed time = 5.09 | seconds power is 4 | number of threads is 4 | block size is 64
elapsed time = 5.17 | seconds power is 5 | number of threads is 4 | block size is 64
elapsed time = 5.24 | seconds power is 6 | number of threads is 4 | block size is 64
elapsed time = 5.32 | seconds power is 7 | number of threads is 4 | block size is 64
elapsed time = 5.39 | seconds power is 8 | number of threads is 4 | block size is 64
elapsed time = 5.46 | seconds power is 9 | number of threads is 4 | block size is 64
elapsed time = 5.54 | seconds power is 10 | number of threads is 4 | block size is 64
