elapsed time = 0.36 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 0.71 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 1.05 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 1.40 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 1.75 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 2.09 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 2.44 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 2.78 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 3.13 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 3.47 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 3.82 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 4.16 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 4.51 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 4.86 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 5.20 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 5.51 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 5.83 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 6.14 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 6.45 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 6.77 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 7.09 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 7.41 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 7.74 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 8.05 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 8.37 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 8.68 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 8.99 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 9.31 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 9.62 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 9.93 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 10.23 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 10.52 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 10.82 | seconds power is 4 | number of threads is 1 | block size is 16
elapsed time = 11.11 | seconds power is 5 | number of threads is 1 | block size is 16
elapsed time = 11.41 | seconds power is 6 | number of threads is 1 | block size is 16
elapsed time = 11.71 | seconds power is 7 | number of threads is 1 | block size is 16
elapsed time = 12.00 | seconds power is 8 | number of threads is 1 | block size is 16
elapsed time = 12.30 | seconds power is 9 | number of threads is 1 | block size is 16
elapsed time = 12.59 | seconds power is 10 | number of threads is 1 | block size is 16
elapsed time = 12.89 | seconds power is 11 | number of threads is 1 | block size is 16
elapsed time = 13.18 | seconds power is 12 | number of threads is 1 | block size is 16
elapsed time = 13.48 | seconds power is 13 | number of threads is 1 | block size is 16
elapsed time = 13.78 | seconds power is 14 | number of threads is 1 | block size is 16
elapsed time = 14.07 | seconds power is 15 | number of threads is 1 | block size is 16
elapsed time = 14.37 | seconds power is 16 | number of threads is 1 | block size is 16
elapsed time = 14.66 | seconds power is 2 | number of threads is 1 | block size is 32
elapsed time = 14.96 | seconds power is 3 | number of threads is 1 | block size is 32
elapsed time = 15.26 | seconds power is 4 | number of threads is 1 | block size is 32
elapsed time = 15.55 | seconds power is 5 | number of threads is 1 | block size is 32
elapsed time = 15.85 | seconds power is 6 | number of threads is 1 | block size is 32
elapsed time = 16.15 | seconds power is 7 | number of threads is 1 | block size is 32
elapsed time = 16.44 | seconds power is 8 | number of threads is 1 | block size is 32
elapsed time = 16.74 | seconds power is 9 | number of threads is 1 | block size is 32
elapsed time = 17.04 | seconds power is 10 | number of threads is 1 | block size is 32
elapsed time = 17.33 | seconds power is 11 | number of threads is 1 | block size is 32
elapsed time = 17.63 | seconds power is 12 | number of threads is 1 | block size is 32
elapsed time = 17.93 | seconds power is 13 | number of threads is 1 | block size is 32
elapsed time = 18.23 | seconds power is 14 | number of threads is 1 | block size is 32
elapsed time = 18.52 | seconds power is 15 | number of threads is 1 | block size is 32
elapsed time = 18.82 | seconds power is 16 | number of threads is 1 | block size is 32
elapsed time = 19.11 | seconds power is 2 | number of threads is 1 | block size is 64
elapsed time = 19.40 | seconds power is 3 | number of threads is 1 | block size is 64
elapsed time = 19.68 | seconds power is 4 | number of threads is 1 | block size is 64
elapsed time = 19.97 | seconds power is 5 | number of threads is 1 | block size is 64
elapsed time = 20.26 | seconds power is 6 | number of threads is 1 | block size is 64
elapsed time = 20.54 | seconds power is 7 | number of threads is 1 | block size is 64
elapsed time = 20.83 | seconds power is 8 | number of threads is 1 | block size is 64
elapsed time = 21.12 | seconds power is 9 | number of threads is 1 | block size is 64
elapsed time = 21.41 | seconds power is 10 | number of threads is 1 | block size is 64
elapsed time = 21.69 | seconds power is 11 | number of threads is 1 | block size is 64
elapsed time = 21.98 | seconds power is 12 | number of threads is 1 | block size is 64
elapsed time = 22.27 | seconds power is 13 | number of threads is 1 | block size is 64
elapsed time = 22.55 | seconds power is 14 | number of threads is 1 | block size is 64
elapsed time = 22.84 | seconds power is 15 | number of threads is 1 | block size is 64
elapsed time = 23.13 | seconds power is 16 | number of threads is 1 | block size is 64
512 1 thread done
elapsed time = 0.19 | seconds power is 2 | number of threads is 2 | block size is 4
elapsed time = 0.37 | seconds power is 3 | number of threads is 2 | block size is 4
elapsed time = 0.54 | seconds power is 4 | number of threads is 2 | block size is 4
elapsed time = 0.72 | seconds power is 5 | number of threads is 2 | block size is 4
elapsed time = 0.89 | seconds power is 6 | number of threads is 2 | block size is 4
elapsed time = 1.07 | seconds power is 7 | number of threads is 2 | block size is 4
elapsed time = 1.24 | seconds power is 8 | number of threads is 2 | block size is 4
elapsed time = 1.41 | seconds power is 9 | number of threads is 2 | block size is 4
elapsed time = 1.59 | seconds power is 10 | number of threads is 2 | block size is 4
elapsed time = 1.76 | seconds power is 11 | number of threads is 2 | block size is 4
elapsed time = 1.94 | seconds power is 12 | number of threads is 2 | block size is 4
elapsed time = 2.11 | seconds power is 13 | number of threads is 2 | block size is 4
elapsed time = 2.28 | seconds power is 14 | number of threads is 2 | block size is 4
elapsed time = 2.46 | seconds power is 15 | number of threads is 2 | block size is 4
elapsed time = 2.63 | seconds power is 16 | number of threads is 2 | block size is 4
elapsed time = 2.79 | seconds power is 2 | number of threads is 2 | block size is 8
elapsed time = 2.95 | seconds power is 3 | number of threads is 2 | block size is 8
elapsed time = 3.10 | seconds power is 4 | number of threads is 2 | block size is 8
elapsed time = 3.26 | seconds power is 5 | number of threads is 2 | block size is 8
elapsed time = 3.42 | seconds power is 6 | number of threads is 2 | block size is 8
elapsed time = 3.58 | seconds power is 7 | number of threads is 2 | block size is 8
elapsed time = 3.73 | seconds power is 8 | number of threads is 2 | block size is 8
elapsed time = 3.89 | seconds power is 9 | number of threads is 2 | block size is 8
elapsed time = 4.05 | seconds power is 10 | number of threads is 2 | block size is 8
elapsed time = 4.21 | seconds power is 11 | number of threads is 2 | block size is 8
elapsed time = 4.37 | seconds power is 12 | number of threads is 2 | block size is 8
elapsed time = 4.52 | seconds power is 13 | number of threads is 2 | block size is 8
elapsed time = 4.68 | seconds power is 14 | number of threads is 2 | block size is 8
elapsed time = 4.84 | seconds power is 15 | number of threads is 2 | block size is 8
elapsed time = 5.00 | seconds power is 16 | number of threads is 2 | block size is 8
elapsed time = 5.15 | seconds power is 2 | number of threads is 2 | block size is 16
elapsed time = 5.30 | seconds power is 3 | number of threads is 2 | block size is 16
elapsed time = 5.44 | seconds power is 4 | number of threads is 2 | block size is 16
elapsed time = 5.59 | seconds power is 5 | number of threads is 2 | block size is 16
elapsed time = 5.74 | seconds power is 6 | number of threads is 2 | block size is 16
elapsed time = 5.89 | seconds power is 7 | number of threads is 2 | block size is 16
elapsed time = 6.04 | seconds power is 8 | number of threads is 2 | block size is 16
elapsed time = 6.19 | seconds power is 9 | number of threads is 2 | block size is 16
elapsed time = 6.34 | seconds power is 10 | number of threads is 2 | block size is 16
elapsed time = 6.48 | seconds power is 11 | number of threads is 2 | block size is 16
elapsed time = 6.63 | seconds power is 12 | number of threads is 2 | block size is 16
elapsed time = 6.78 | seconds power is 13 | number of threads is 2 | block size is 16
elapsed time = 6.93 | seconds power is 14 | number of threads is 2 | block size is 16
elapsed time = 7.08 | seconds power is 15 | number of threads is 2 | block size is 16
elapsed time = 7.23 | seconds power is 16 | number of threads is 2 | block size is 16
elapsed time = 7.38 | seconds power is 2 | number of threads is 2 | block size is 32
elapsed time = 7.53 | seconds power is 3 | number of threads is 2 | block size is 32
elapsed time = 7.68 | seconds power is 4 | number of threads is 2 | block size is 32
elapsed time = 7.82 | seconds power is 5 | number of threads is 2 | block size is 32
elapsed time = 7.97 | seconds power is 6 | number of threads is 2 | block size is 32
elapsed time = 8.12 | seconds power is 7 | number of threads is 2 | block size is 32
elapsed time = 8.27 | seconds power is 8 | number of threads is 2 | block size is 32
elapsed time = 8.42 | seconds power is 9 | number of threads is 2 | block size is 32
elapsed time = 8.57 | seconds power is 10 | number of threads is 2 | block size is 32
elapsed time = 8.72 | seconds power is 11 | number of threads is 2 | block size is 32
elapsed time = 8.87 | seconds power is 12 | number of threads is 2 | block size is 32
elapsed time = 9.02 | seconds power is 13 | number of threads is 2 | block size is 32
elapsed time = 9.17 | seconds power is 14 | number of threads is 2 | block size is 32
elapsed time = 9.32 | seconds power is 15 | number of threads is 2 | block size is 32
elapsed time = 9.46 | seconds power is 16 | number of threads is 2 | block size is 32
elapsed time = 9.61 | seconds power is 2 | number of threads is 2 | block size is 64
elapsed time = 9.75 | seconds power is 3 | number of threads is 2 | block size is 64
elapsed time = 9.90 | seconds power is 4 | number of threads is 2 | block size is 64
elapsed time = 10.04 | seconds power is 5 | number of threads is 2 | block size is 64
elapsed time = 10.19 | seconds power is 6 | number of threads is 2 | block size is 64
elapsed time = 10.33 | seconds power is 7 | number of threads is 2 | block size is 64
elapsed time = 10.48 | seconds power is 8 | number of threads is 2 | block size is 64
elapsed time = 10.62 | seconds power is 9 | number of threads is 2 | block size is 64
elapsed time = 10.77 | seconds power is 10 | number of threads is 2 | block size is 64
elapsed time = 10.91 | seconds power is 11 | number of threads is 2 | block size is 64
elapsed time = 11.05 | seconds power is 12 | number of threads is 2 | block size is 64
elapsed time = 11.20 | seconds power is 13 | number of threads is 2 | block size is 64
elapsed time = 11.34 | seconds power is 14 | number of threads is 2 | block size is 64
elapsed time = 11.49 | seconds power is 15 | number of threads is 2 | block size is 64
elapsed time = 11.63 | seconds power is 16 | number of threads is 2 | block size is 64
512 2 thread done
elapsed time = 0.10 | seconds power is 2 | number of threads is 4 | block size is 4
elapsed time = 0.19 | seconds power is 3 | number of threads is 4 | block size is 4
elapsed time = 0.28 | seconds power is 4 | number of threads is 4 | block size is 4
elapsed time = 0.37 | seconds power is 5 | number of threads is 4 | block size is 4
elapsed time = 0.46 | seconds power is 6 | number of threads is 4 | block size is 4
elapsed time = 0.55 | seconds power is 7 | number of threads is 4 | block size is 4
elapsed time = 0.64 | seconds power is 8 | number of threads is 4 | block size is 4
elapsed time = 0.73 | seconds power is 9 | number of threads is 4 | block size is 4
elapsed time = 0.82 | seconds power is 10 | number of threads is 4 | block size is 4
elapsed time = 0.91 | seconds power is 11 | number of threads is 4 | block size is 4
elapsed time = 0.99 | seconds power is 12 | number of threads is 4 | block size is 4
elapsed time = 1.08 | seconds power is 13 | number of threads is 4 | block size is 4
elapsed time = 1.17 | seconds power is 14 | number of threads is 4 | block size is 4
elapsed time = 1.26 | seconds power is 15 | number of threads is 4 | block size is 4
elapsed time = 1.35 | seconds power is 16 | number of threads is 4 | block size is 4
elapsed time = 1.43 | seconds power is 2 | number of threads is 4 | block size is 8
elapsed time = 1.51 | seconds power is 3 | number of threads is 4 | block size is 8
elapsed time = 1.59 | seconds power is 4 | number of threads is 4 | block size is 8
elapsed time = 1.67 | seconds power is 5 | number of threads is 4 | block size is 8
elapsed time = 1.76 | seconds power is 6 | number of threads is 4 | block size is 8
elapsed time = 1.84 | seconds power is 7 | number of threads is 4 | block size is 8
elapsed time = 1.92 | seconds power is 8 | number of threads is 4 | block size is 8
elapsed time = 2.00 | seconds power is 9 | number of threads is 4 | block size is 8
elapsed time = 2.08 | seconds power is 10 | number of threads is 4 | block size is 8
elapsed time = 2.16 | seconds power is 11 | number of threads is 4 | block size is 8
elapsed time = 2.24 | seconds power is 12 | number of threads is 4 | block size is 8
elapsed time = 2.32 | seconds power is 13 | number of threads is 4 | block size is 8
elapsed time = 2.40 | seconds power is 14 | number of threads is 4 | block size is 8
elapsed time = 2.48 | seconds power is 15 | number of threads is 4 | block size is 8
elapsed time = 2.56 | seconds power is 16 | number of threads is 4 | block size is 8
elapsed time = 2.64 | seconds power is 2 | number of threads is 4 | block size is 16
elapsed time = 2.72 | seconds power is 3 | number of threads is 4 | block size is 16
elapsed time = 2.79 | seconds power is 4 | number of threads is 4 | block size is 16
elapsed time = 2.87 | seconds power is 5 | number of threads is 4 | block size is 16
elapsed time = 2.95 | seconds power is 6 | number of threads is 4 | block size is 16
elapsed time = 3.02 | seconds power is 7 | number of threads is 4 | block size is 16
elapsed time = 3.10 | seconds power is 8 | number of threads is 4 | block size is 16
elapsed time = 3.17 | seconds power is 9 | number of threads is 4 | block size is 16
elapsed time = 3.25 | seconds power is 10 | number of threads is 4 | block size is 16
elapsed time = 3.33 | seconds power is 11 | number of threads is 4 | block size is 16
elapsed time = 3.40 | seconds power is 12 | number of threads is 4 | block size is 16
elapsed time = 3.48 | seconds power is 13 | number of threads is 4 | block size is 16
elapsed time = 3.55 | seconds power is 14 | number of threads is 4 | block size is 16
elapsed time = 3.63 | seconds power is 15 | number of threads is 4 | block size is 16
elapsed time = 3.71 | seconds power is 16 | number of threads is 4 | block size is 16
elapsed time = 3.78 | seconds power is 2 | number of threads is 4 | block size is 32
elapsed time = 3.86 | seconds power is 3 | number of threads is 4 | block size is 32
elapsed time = 3.94 | seconds power is 4 | number of threads is 4 | block size is 32
elapsed time = 4.01 | seconds power is 5 | number of threads is 4 | block size is 32
elapsed time = 4.09 | seconds power is 6 | number of threads is 4 | block size is 32
elapsed time = 4.16 | seconds power is 7 | number of threads is 4 | block size is 32
elapsed time = 4.24 | seconds power is 8 | number of threads is 4 | block size is 32
elapsed time = 4.32 | seconds power is 9 | number of threads is 4 | block size is 32
elapsed time = 4.39 | seconds power is 10 | number of threads is 4 | block size is 32
elapsed time = 4.47 | seconds power is 11 | number of threads is 4 | block size is 32
elapsed time = 4.55 | seconds power is 12 | number of threads is 4 | block size is 32
elapsed time = 4.62 | seconds power is 13 | number of threads is 4 | block size is 32
elapsed time = 4.70 | seconds power is 14 | number of threads is 4 | block size is 32
elapsed time = 4.78 | seconds power is 15 | number of threads is 4 | block size is 32
elapsed time = 4.85 | seconds power is 16 | number of threads is 4 | block size is 32
elapsed time = 4.93 | seconds power is 2 | number of threads is 4 | block size is 64
elapsed time = 5.00 | seconds power is 3 | number of threads is 4 | block size is 64
elapsed time = 5.07 | seconds power is 4 | number of threads is 4 | block size is 64
elapsed time = 5.15 | seconds power is 5 | number of threads is 4 | block size is 64
elapsed time = 5.22 | seconds power is 6 | number of threads is 4 | block size is 64
elapsed time = 5.29 | seconds power is 7 | number of threads is 4 | block size is 64
elapsed time = 5.37 | seconds power is 8 | number of threads is 4 | block size is 64
elapsed time = 5.44 | seconds power is 9 | number of threads is 4 | block size is 64
elapsed time = 5.52 | seconds power is 10 | number of threads is 4 | block size is 64
