elapsed time = 3.02 | seconds power is 2 | number of threads is 1
elapsed time = 6.44 | seconds power is 3 | number of threads is 1
elapsed time = 9.70 | seconds power is 4 | number of threads is 1
elapsed time = 12.68 | seconds power is 5 | number of threads is 1
elapsed time = 15.65 | seconds power is 6 | number of threads is 1
elapsed time = 18.61 | seconds power is 7 | number of threads is 1
elapsed time = 21.57 | seconds power is 8 | number of threads is 1
elapsed time = 24.54 | seconds power is 9 | number of threads is 1
elapsed time = 27.50 | seconds power is 10 | number of threads is 1
elapsed time = 30.46 | seconds power is 11 | number of threads is 1
elapsed time = 33.42 | seconds power is 12 | number of threads is 1
elapsed time = 36.38 | seconds power is 13 | number of threads is 1
elapsed time = 39.34 | seconds power is 14 | number of threads is 1
elapsed time = 42.30 | seconds power is 15 | number of threads is 1
elapsed time = 45.26 | seconds power is 16 | number of threads is 1
1024 1 thread done
elapsed time = 1.52 | seconds power is 2 | number of threads is 2
elapsed time = 3.02 | seconds power is 3 | number of threads is 2
elapsed time = 4.51 | seconds power is 4 | number of threads is 2
elapsed time = 6.01 | seconds power is 5 | number of threads is 2
elapsed time = 7.50 | seconds power is 6 | number of threads is 2
elapsed time = 8.99 | seconds power is 7 | number of threads is 2
elapsed time = 10.50 | seconds power is 8 | number of threads is 2
elapsed time = 11.99 | seconds power is 9 | number of threads is 2
elapsed time = 13.49 | seconds power is 10 | number of threads is 2
elapsed time = 14.99 | seconds power is 11 | number of threads is 2
elapsed time = 16.48 | seconds power is 12 | number of threads is 2
elapsed time = 17.97 | seconds power is 13 | number of threads is 2
elapsed time = 19.47 | seconds power is 14 | number of threads is 2
elapsed time = 20.96 | seconds power is 15 | number of threads is 2
elapsed time = 22.46 | seconds power is 16 | number of threads is 2
1024 2 thread done
elapsed time = 0.79 | seconds power is 2 | number of threads is 4
elapsed time = 1.55 | seconds power is 3 | number of threads is 4
elapsed time = 2.31 | seconds power is 4 | number of threads is 4
elapsed time = 3.07 | seconds power is 5 | number of threads is 4
elapsed time = 3.83 | seconds power is 6 | number of threads is 4
elapsed time = 4.59 | seconds power is 7 | number of threads is 4
elapsed time = 5.35 | seconds power is 8 | number of threads is 4
elapsed time = 6.11 | seconds power is 9 | number of threads is 4
elapsed time = 6.87 | seconds power is 10 | number of threads is 4
elapsed time = 7.63 | seconds power is 11 | number of threads is 4
elapsed time = 8.39 | seconds power is 12 | number of threads is 4
elapsed time = 9.15 | seconds power is 13 | number of threads is 4
elapsed time = 9.91 | seconds power is 14 | number of threads is 4
elapsed time = 10.68 | seconds power is 15 | number of threads is 4
elapsed time = 11.44 | seconds power is 16 | number of threads is 4
1024 4 thread done
elapsed time = 0.56 | seconds power is 2 | number of threads is 6
elapsed time = 1.09 | seconds power is 3 | number of threads is 6
elapsed time = 1.63 | seconds power is 4 | number of threads is 6
elapsed time = 2.17 | seconds power is 5 | number of threads is 6
elapsed time = 2.70 | seconds power is 6 | number of threads is 6
elapsed time = 3.24 | seconds power is 7 | number of threads is 6
elapsed time = 3.78 | seconds power is 8 | number of threads is 6
elapsed time = 4.31 | seconds power is 9 | number of threads is 6
elapsed time = 4.84 | seconds power is 10 | number of threads is 6
elapsed time = 5.38 | seconds power is 11 | number of threads is 6
elapsed time = 5.92 | seconds power is 12 | number of threads is 6
elapsed time = 6.45 | seconds power is 13 | number of threads is 6
elapsed time = 6.99 | seconds power is 14 | number of threads is 6
elapsed time = 7.53 | seconds power is 15 | number of threads is 6
elapsed time = 8.15 | seconds power is 16 | number of threads is 6
1024 6 thread done
elapsed time = 0.47 | seconds power is 2 | number of threads is 8
elapsed time = 0.91 | seconds power is 3 | number of threads is 8
elapsed time = 1.35 | seconds power is 4 | number of threads is 8
elapsed time = 1.82 | seconds power is 5 | number of threads is 8
elapsed time = 2.29 | seconds power is 6 | number of threads is 8
elapsed time = 2.74 | seconds power is 7 | number of threads is 8
elapsed time = 3.20 | seconds power is 8 | number of threads is 8
elapsed time = 3.66 | seconds power is 9 | number of threads is 8
elapsed time = 4.14 | seconds power is 10 | number of threads is 8
elapsed time = 4.76 | seconds power is 11 | number of threads is 8
elapsed time = 5.37 | seconds power is 12 | number of threads is 8
elapsed time = 5.86 | seconds power is 13 | number of threads is 8
elapsed time = 6.30 | seconds power is 14 | number of threads is 8
elapsed time = 6.76 | seconds power is 15 | number of threads is 8
elapsed time = 7.39 | seconds power is 16 | number of threads is 8
1024 8 thread done
elapsed time = 0.56 | seconds power is 2 | number of threads is 10
elapsed time = 1.05 | seconds power is 3 | number of threads is 10
elapsed time = 1.58 | seconds power is 4 | number of threads is 10
elapsed time = 2.11 | seconds power is 5 | number of threads is 10
elapsed time = 2.63 | seconds power is 6 | number of threads is 10
elapsed time = 3.13 | seconds power is 7 | number of threads is 10
