elapsed time = 3.22 | seconds power is 2 | number of threads is 1
elapsed time = 6.31 | seconds power is 3 | number of threads is 1
elapsed time = 9.40 | seconds power is 4 | number of threads is 1
elapsed time = 12.48 | seconds power is 5 | number of threads is 1
elapsed time = 15.56 | seconds power is 6 | number of threads is 1
elapsed time = 18.64 | seconds power is 7 | number of threads is 1
elapsed time = 21.71 | seconds power is 8 | number of threads is 1
elapsed time = 24.79 | seconds power is 9 | number of threads is 1
elapsed time = 27.87 | seconds power is 10 | number of threads is 1
elapsed time = 30.94 | seconds power is 11 | number of threads is 1
elapsed time = 34.01 | seconds power is 12 | number of threads is 1
elapsed time = 37.14 | seconds power is 13 | number of threads is 1
elapsed time = 40.33 | seconds power is 14 | number of threads is 1
elapsed time = 43.40 | seconds power is 15 | number of threads is 1
elapsed time = 46.47 | seconds power is 16 | number of threads is 1
512 1 thread done
elapsed time = 1.59 | seconds power is 2 | number of threads is 2
elapsed time = 3.14 | seconds power is 3 | number of threads is 2
elapsed time = 4.69 | seconds power is 4 | number of threads is 2
elapsed time = 6.23 | seconds power is 5 | number of threads is 2
elapsed time = 7.78 | seconds power is 6 | number of threads is 2
elapsed time = 9.33 | seconds power is 7 | number of threads is 2
elapsed time = 10.89 | seconds power is 8 | number of threads is 2
elapsed time = 12.43 | seconds power is 9 | number of threads is 2
elapsed time = 14.03 | seconds power is 10 | number of threads is 2
elapsed time = 15.58 | seconds power is 11 | number of threads is 2
elapsed time = 17.14 | seconds power is 12 | number of threads is 2
elapsed time = 18.70 | seconds power is 13 | number of threads is 2
elapsed time = 20.26 | seconds power is 14 | number of threads is 2
elapsed time = 21.82 | seconds power is 15 | number of threads is 2
elapsed time = 23.37 | seconds power is 16 | number of threads is 2
512 2 thread done
elapsed time = 0.83 | seconds power is 2 | number of threads is 4
elapsed time = 1.63 | seconds power is 3 | number of threads is 4
elapsed time = 2.43 | seconds power is 4 | number of threads is 4
elapsed time = 3.22 | seconds power is 5 | number of threads is 4
elapsed time = 4.02 | seconds power is 6 | number of threads is 4
elapsed time = 4.82 | seconds power is 7 | number of threads is 4
elapsed time = 5.62 | seconds power is 8 | number of threads is 4
elapsed time = 6.42 | seconds power is 9 | number of threads is 4
elapsed time = 7.22 | seconds power is 10 | number of threads is 4
elapsed time = 8.02 | seconds power is 11 | number of threads is 4
elapsed time = 8.82 | seconds power is 12 | number of threads is 4
elapsed time = 9.61 | seconds power is 13 | number of threads is 4
elapsed time = 10.42 | seconds power is 14 | number of threads is 4
elapsed time = 11.22 | seconds power is 15 | number of threads is 4
elapsed time = 12.01 | seconds power is 16 | number of threads is 4
512 4 thread done
elapsed time = 0.58 | seconds power is 2 | number of threads is 6
elapsed time = 1.13 | seconds power is 3 | number of threads is 6
elapsed time = 1.68 | seconds power is 4 | number of threads is 6
elapsed time = 2.23 | seconds power is 5 | number of threads is 6
elapsed time = 2.78 | seconds power is 6 | number of threads is 6
elapsed time = 3.34 | seconds power is 7 | number of threads is 6
elapsed time = 3.89 | seconds power is 8 | number of threads is 6
elapsed time = 4.45 | seconds power is 9 | number of threads is 6
elapsed time = 5.00 | seconds power is 10 | number of threads is 6
elapsed time = 5.55 | seconds power is 11 | number of threads is 6
elapsed time = 6.11 | seconds power is 12 | number of threads is 6
elapsed time = 6.66 | seconds power is 13 | number of threads is 6
elapsed time = 7.21 | seconds power is 14 | number of threads is 6
elapsed time = 7.77 | seconds power is 15 | number of threads is 6
elapsed time = 8.32 | seconds power is 16 | number of threads is 6
512 6 thread done
elapsed time = 0.49 | seconds power is 2 | number of threads is 8
elapsed time = 0.95 | seconds power is 3 | number of threads is 8
elapsed time = 1.41 | seconds power is 4 | number of threads is 8
elapsed time = 1.87 | seconds power is 5 | number of threads is 8
elapsed time = 2.33 | seconds power is 6 | number of threads is 8
elapsed time = 2.78 | seconds power is 7 | number of threads is 8
elapsed time = 3.24 | seconds power is 8 | number of threads is 8
elapsed time = 3.70 | seconds power is 9 | number of threads is 8
elapsed time = 4.15 | seconds power is 10 | number of threads is 8
elapsed time = 4.61 | seconds power is 11 | number of threads is 8
elapsed time = 5.07 | seconds power is 12 | number of threads is 8
elapsed time = 5.53 | seconds power is 13 | number of threads is 8
elapsed time = 5.99 | seconds power is 14 | number of threads is 8
elapsed time = 6.45 | seconds power is 15 | number of threads is 8
elapsed time = 6.90 | seconds power is 16 | number of threads is 8
512 8 thread done
elapsed time = 0.49 | seconds power is 2 | number of threads is 10
elapsed time = 1.00 | seconds power is 3 | number of threads is 10
elapsed time = 1.50 | seconds power is 4 | number of threads is 10
elapsed time = 2.01 | seconds power is 5 | number of threads is 10
elapsed time = 2.49 | seconds power is 6 | number of threads is 10
elapsed time = 2.99 | seconds power is 7 | number of threads is 10
elapsed time = 3.49 | seconds power is 8 | number of threads is 10
elapsed time = 4.04 | seconds power is 9 | number of threads is 10
elapsed time = 4.55 | seconds power is 10 | number of threads is 10
elapsed time = 5.10 | seconds power is 11 | number of threads is 10
elapsed time = 5.64 | seconds power is 12 | number of threads is 10
elapsed time = 6.14 | seconds power is 13 | number of threads is 10
elapsed time = 6.65 | seconds power is 14 | number of threads is 10
elapsed time = 7.14 | seconds power is 15 | number of threads is 10
elapsed time = 7.66 | seconds power is 16 | number of threads is 10
512 10 thread done
elapsed time = 0.49 | seconds power is 2 | number of threads is 12
elapsed time = 0.94 | seconds power is 3 | number of threads is 12
elapsed time = 1.41 | seconds power is 4 | number of threads is 12
elapsed time = 1.89 | seconds power is 5 | number of threads is 12
elapsed time = 2.36 | seconds power is 6 | number of threads is 12
elapsed time = 2.83 | seconds power is 7 | number of threads is 12
elapsed time = 3.30 | seconds power is 8 | number of threads is 12
elapsed time = 3.78 | seconds power is 9 | number of threads is 12
elapsed time = 4.25 | seconds power is 10 | number of threads is 12
elapsed time = 4.72 | seconds power is 11 | number of threads is 12
elapsed time = 5.19 | seconds power is 12 | number of threads is 12
elapsed time = 5.67 | seconds power is 13 | number of threads is 12
elapsed time = 6.13 | seconds power is 14 | number of threads is 12
elapsed time = 6.60 | seconds power is 15 | number of threads is 12
elapsed time = 7.08 | seconds power is 16 | number of threads is 12
512 12 thread done
elapsed time = 0.47 | seconds power is 2 | number of threads is 14
elapsed time = 0.93 | seconds power is 3 | number of threads is 14
elapsed time = 1.41 | seconds power is 4 | number of threads is 14
elapsed time = 1.88 | seconds power is 5 | number of threads is 14
elapsed time = 2.35 | seconds power is 6 | number of threads is 14
elapsed time = 2.82 | seconds power is 7 | number of threads is 14
elapsed time = 3.32 | seconds power is 8 | number of threads is 14
elapsed time = 3.79 | seconds power is 9 | number of threads is 14
elapsed time = 4.27 | seconds power is 10 | number of threads is 14
elapsed time = 4.75 | seconds power is 11 | number of threads is 14
elapsed time = 5.23 | seconds power is 12 | number of threads is 14
elapsed time = 5.70 | seconds power is 13 | number of threads is 14
elapsed time = 6.18 | seconds power is 14 | number of threads is 14
elapsed time = 6.64 | seconds power is 15 | number of threads is 14
elapsed time = 7.11 | seconds power is 16 | number of threads is 14
512 14 thread done
elapsed time = 0.47 | seconds power is 2 | number of threads is 16
elapsed time = 0.93 | seconds power is 3 | number of threads is 16
elapsed time = 1.40 | seconds power is 4 | number of threads is 16
elapsed time = 1.86 | seconds power is 5 | number of threads is 16
elapsed time = 2.32 | seconds power is 6 | number of threads is 16
elapsed time = 2.79 | seconds power is 7 | number of threads is 16
elapsed time = 3.24 | seconds power is 8 | number of threads is 16
elapsed time = 3.69 | seconds power is 9 | number of threads is 16
elapsed time = 4.14 | seconds power is 10 | number of threads is 16
elapsed time = 4.60 | seconds power is 11 | number of threads is 16
elapsed time = 5.06 | seconds power is 12 | number of threads is 16
elapsed time = 5.54 | seconds power is 13 | number of threads is 16
elapsed time = 5.99 | seconds power is 14 | number of threads is 16
