elapsed time = 1.90 | seconds power is 5 | number of threads is 14
elapsed time = 2.37 | seconds power is 6 | number of threads is 14
elapsed time = 2.84 | seconds power is 7 | number of threads is 14
elapsed time = 3.31 | seconds power is 8 | number of threads is 14
elapsed time = 3.79 | seconds power is 9 | number of threads is 14
elapsed time = 4.24 | seconds power is 10 | number of threads is 14
elapsed time = 4.71 | seconds power is 11 | number of threads is 14
elapsed time = 5.18 | seconds power is 12 | number of threads is 14
elapsed time = 5.64 | seconds power is 13 | number of threads is 14
elapsed time = 6.10 | seconds power is 14 | number of threads is 14
elapsed time = 6.60 | seconds power is 15 | number of threads is 14
elapsed time = 7.05 | seconds power is 16 | number of threads is 14
512 14 thread done
elapsed time = 0.47 | seconds power is 2 | number of threads is 16
elapsed time = 0.93 | seconds power is 3 | number of threads is 16
elapsed time = 1.39 | seconds power is 4 | number of threads is 16
elapsed time = 1.85 | seconds power is 5 | number of threads is 16
elapsed time = 2.32 | seconds power is 6 | number of threads is 16
elapsed time = 2.78 | seconds power is 7 | number of threads is 16
elapsed time = 3.26 | seconds power is 8 | number of threads is 16
elapsed time = 3.72 | seconds power is 9 | number of threads is 16
elapsed time = 4.19 | seconds power is 10 | number of threads is 16
elapsed time = 4.67 | seconds power is 11 | number of threads is 16
elapsed time = 5.12 | seconds power is 12 | number of threads is 16
elapsed time = 5.60 | seconds power is 13 | number of threads is 16
elapsed time = 6.05 | seconds power is 14 | number of threads is 16
elapsed time = 6.53 | seconds power is 15 | number of threads is 16
elapsed time = 6.97 | seconds power is 16 | number of threads is 16
512 16 thread done
