elapsed time = 3.03 | seconds power is 2 | number of threads is 1
elapsed time = 6.08 | seconds power is 3 | number of threads is 1
elapsed time = 10.02 | seconds power is 4 | number of threads is 1
elapsed time = 13.79 | seconds power is 5 | number of threads is 1
elapsed time = 17.06 | seconds power is 6 | number of threads is 1
elapsed time = 20.56 | seconds power is 7 | number of threads is 1
elapsed time = 23.57 | seconds power is 8 | number of threads is 1
elapsed time = 26.55 | seconds power is 9 | number of threads is 1
elapsed time = 29.52 | seconds power is 10 | number of threads is 1
elapsed time = 32.50 | seconds power is 11 | number of threads is 1
elapsed time = 35.48 | seconds power is 12 | number of threads is 1
elapsed time = 38.45 | seconds power is 13 | number of threads is 1
elapsed time = 41.42 | seconds power is 14 | number of threads is 1
elapsed time = 44.38 | seconds power is 15 | number of threads is 1
elapsed time = 47.36 | seconds power is 16 | number of threads is 1
1024 1 thread done
elapsed time = 1.53 | seconds power is 2 | number of threads is 2
elapsed time = 3.03 | seconds power is 3 | number of threads is 2
elapsed time = 4.52 | seconds power is 4 | number of threads is 2
elapsed time = 6.01 | seconds power is 5 | number of threads is 2
elapsed time = 7.50 | seconds power is 6 | number of threads is 2
elapsed time = 8.99 | seconds power is 7 | number of threads is 2
elapsed time = 10.49 | seconds power is 8 | number of threads is 2
elapsed time = 11.98 | seconds power is 9 | number of threads is 2
elapsed time = 13.48 | seconds power is 10 | number of threads is 2
elapsed time = 14.97 | seconds power is 11 | number of threads is 2
elapsed time = 16.47 | seconds power is 12 | number of threads is 2
elapsed time = 17.96 | seconds power is 13 | number of threads is 2
elapsed time = 19.45 | seconds power is 14 | number of threads is 2
elapsed time = 20.95 | seconds power is 15 | number of threads is 2
elapsed time = 22.44 | seconds power is 16 | number of threads is 2
1024 2 thread done
elapsed time = 0.82 | seconds power is 2 | number of threads is 4
elapsed time = 1.60 | seconds power is 3 | number of threads is 4
elapsed time = 2.39 | seconds power is 4 | number of threads is 4
elapsed time = 3.16 | seconds power is 5 | number of threads is 4
elapsed time = 3.94 | seconds power is 6 | number of threads is 4
elapsed time = 4.71 | seconds power is 7 | number of threads is 4
elapsed time = 5.48 | seconds power is 8 | number of threads is 4
elapsed time = 6.25 | seconds power is 9 | number of threads is 4
elapsed time = 7.02 | seconds power is 10 | number of threads is 4
elapsed time = 7.79 | seconds power is 11 | number of threads is 4
elapsed time = 8.56 | seconds power is 12 | number of threads is 4
elapsed time = 9.33 | seconds power is 13 | number of threads is 4
elapsed time = 10.10 | seconds power is 14 | number of threads is 4
elapsed time = 10.87 | seconds power is 15 | number of threads is 4
elapsed time = 11.64 | seconds power is 16 | number of threads is 4
1024 4 thread done
elapsed time = 0.57 | seconds power is 2 | number of threads is 6
elapsed time = 1.11 | seconds power is 3 | number of threads is 6
elapsed time = 1.64 | seconds power is 4 | number of threads is 6
elapsed time = 2.18 | seconds power is 5 | number of threads is 6
elapsed time = 2.72 | seconds power is 6 | number of threads is 6
elapsed time = 3.28 | seconds power is 7 | number of threads is 6
elapsed time = 3.82 | seconds power is 8 | number of threads is 6
elapsed time = 4.48 | seconds power is 9 | number of threads is 6
elapsed time = 5.02 | seconds power is 10 | number of threads is 6
elapsed time = 5.56 | seconds power is 11 | number of threads is 6
elapsed time = 6.10 | seconds power is 12 | number of threads is 6
elapsed time = 6.64 | seconds power is 13 | number of threads is 6
elapsed time = 7.17 | seconds power is 14 | number of threads is 6
elapsed time = 7.71 | seconds power is 15 | number of threads is 6
elapsed time = 8.25 | seconds power is 16 | number of threads is 6
1024 6 thread done
elapsed time = 0.46 | seconds power is 2 | number of threads is 8
elapsed time = 0.91 | seconds power is 3 | number of threads is 8
