elapsed time = 3.20 | seconds power is 2 | number of threads is 1
elapsed time = 6.30 | seconds power is 3 | number of threads is 1
elapsed time = 9.36 | seconds power is 4 | number of threads is 1
elapsed time = 12.42 | seconds power is 5 | number of threads is 1
elapsed time = 15.48 | seconds power is 6 | number of threads is 1
elapsed time = 18.55 | seconds power is 7 | number of threads is 1
elapsed time = 21.63 | seconds power is 8 | number of threads is 1
elapsed time = 24.70 | seconds power is 9 | number of threads is 1
elapsed time = 27.77 | seconds power is 10 | number of threads is 1
elapsed time = 30.84 | seconds power is 11 | number of threads is 1
elapsed time = 33.91 | seconds power is 12 | number of threads is 1
elapsed time = 36.99 | seconds power is 13 | number of threads is 1
elapsed time = 40.06 | seconds power is 14 | number of threads is 1
elapsed time = 43.31 | seconds power is 15 | number of threads is 1
elapsed time = 46.49 | seconds power is 16 | number of threads is 1
512 1 thread done
elapsed time = 1.60 | seconds power is 2 | number of threads is 2
elapsed time = 3.16 | seconds power is 3 | number of threads is 2
elapsed time = 4.71 | seconds power is 4 | number of threads is 2
elapsed time = 6.27 | seconds power is 5 | number of threads is 2
elapsed time = 7.83 | seconds power is 6 | number of threads is 2
elapsed time = 9.39 | seconds power is 7 | number of threads is 2
elapsed time = 10.94 | seconds power is 8 | number of threads is 2
elapsed time = 12.49 | seconds power is 9 | number of threads is 2
elapsed time = 14.04 | seconds power is 10 | number of threads is 2
elapsed time = 15.59 | seconds power is 11 | number of threads is 2
elapsed time = 17.14 | seconds power is 12 | number of threads is 2
elapsed time = 18.69 | seconds power is 13 | number of threads is 2
elapsed time = 20.24 | seconds power is 14 | number of threads is 2
elapsed time = 21.79 | seconds power is 15 | number of threads is 2
elapsed time = 23.34 | seconds power is 16 | number of threads is 2
512 2 thread done
elapsed time = 0.83 | seconds power is 2 | number of threads is 4
elapsed time = 1.63 | seconds power is 3 | number of threads is 4
elapsed time = 2.43 | seconds power is 4 | number of threads is 4
elapsed time = 3.22 | seconds power is 5 | number of threads is 4
elapsed time = 4.02 | seconds power is 6 | number of threads is 4
elapsed time = 4.82 | seconds power is 7 | number of threads is 4
elapsed time = 5.62 | seconds power is 8 | number of threads is 4
elapsed time = 6.42 | seconds power is 9 | number of threads is 4
elapsed time = 7.21 | seconds power is 10 | number of threads is 4
elapsed time = 8.01 | seconds power is 11 | number of threads is 4
elapsed time = 8.81 | seconds power is 12 | number of threads is 4
elapsed time = 9.60 | seconds power is 13 | number of threads is 4
elapsed time = 10.40 | seconds power is 14 | number of threads is 4
elapsed time = 11.20 | seconds power is 15 | number of threads is 4
elapsed time = 12.00 | seconds power is 16 | number of threads is 4
512 4 thread done
elapsed time = 0.58 | seconds power is 2 | number of threads is 6
elapsed time = 1.13 | seconds power is 3 | number of threads is 6
elapsed time = 1.67 | seconds power is 4 | number of threads is 6
elapsed time = 2.22 | seconds power is 5 | number of threads is 6
elapsed time = 2.76 | seconds power is 6 | number of threads is 6
elapsed time = 3.35 | seconds power is 7 | number of threads is 6
elapsed time = 3.90 | seconds power is 8 | number of threads is 6
elapsed time = 4.45 | seconds power is 9 | number of threads is 6
elapsed time = 4.99 | seconds power is 10 | number of threads is 6
elapsed time = 5.54 | seconds power is 11 | number of threads is 6
elapsed time = 6.09 | seconds power is 12 | number of threads is 6
elapsed time = 6.64 | seconds power is 13 | number of threads is 6
elapsed time = 7.19 | seconds power is 14 | number of threads is 6
elapsed time = 7.74 | seconds power is 15 | number of threads is 6
elapsed time = 8.29 | seconds power is 16 | number of threads is 6
512 6 thread done
elapsed time = 0.48 | seconds power is 2 | number of threads is 8
elapsed time = 0.93 | seconds power is 3 | number of threads is 8
elapsed time = 1.38 | seconds power is 4 | number of threads is 8
elapsed time = 1.84 | seconds power is 5 | number of threads is 8
elapsed time = 2.29 | seconds power is 6 | number of threads is 8
elapsed time = 2.75 | seconds power is 7 | number of threads is 8
elapsed time = 3.20 | seconds power is 8 | number of threads is 8
elapsed time = 3.65 | seconds power is 9 | number of threads is 8
elapsed time = 4.10 | seconds power is 10 | number of threads is 8
elapsed time = 4.56 | seconds power is 11 | number of threads is 8
elapsed time = 5.01 | seconds power is 12 | number of threads is 8
elapsed time = 5.47 | seconds power is 13 | number of threads is 8
elapsed time = 5.92 | seconds power is 14 | number of threads is 8
elapsed time = 6.38 | seconds power is 15 | number of threads is 8
elapsed time = 6.83 | seconds power is 16 | number of threads is 8
512 8 thread done
elapsed time = 0.53 | seconds power is 2 | number of threads is 10
elapsed time = 1.02 | seconds power is 3 | number of threads is 10
elapsed time = 1.52 | seconds power is 4 | number of threads is 10
elapsed time = 2.03 | seconds power is 5 | number of threads is 10
elapsed time = 2.51 | seconds power is 6 | number of threads is 10
elapsed time = 2.98 | seconds power is 7 | number of threads is 10
elapsed time = 3.50 | seconds power is 8 | number of threads is 10
elapsed time = 3.97 | seconds power is 9 | number of threads is 10
elapsed time = 4.47 | seconds power is 10 | number of threads is 10
elapsed time = 4.97 | seconds power is 11 | number of threads is 10
elapsed time = 5.48 | seconds power is 12 | number of threads is 10
elapsed time = 5.99 | seconds power is 13 | number of threads is 10
elapsed time = 6.50 | seconds power is 14 | number of threads is 10
elapsed time = 7.00 | seconds power is 15 | number of threads is 10
elapsed time = 7.52 | seconds power is 16 | number of threads is 10
512 10 thread done
elapsed time = 0.45 | seconds power is 2 | number of threads is 12
elapsed time = 0.90 | seconds power is 3 | number of threads is 12
elapsed time = 1.34 | seconds power is 4 | number of threads is 12
elapsed time = 1.82 | seconds power is 5 | number of threads is 12
elapsed time = 2.26 | seconds power is 6 | number of threads is 12
elapsed time = 2.70 | seconds power is 7 | number of threads is 12
elapsed time = 3.13 | seconds power is 8 | number of threads is 12
elapsed time = 3.57 | seconds power is 9 | number of threads is 12
elapsed time = 4.01 | seconds power is 10 | number of threads is 12
elapsed time = 4.49 | seconds power is 11 | number of threads is 12
elapsed time = 4.95 | seconds power is 12 | number of threads is 12
elapsed time = 5.44 | seconds power is 13 | number of threads is 12
elapsed time = 5.93 | seconds power is 14 | number of threads is 12
elapsed time = 6.41 | seconds power is 15 | number of threads is 12
elapsed time = 6.88 | seconds power is 16 | number of threads is 12
512 12 thread done
elapsed time = 0.49 | seconds power is 2 | number of threads is 14
elapsed time = 0.94 | seconds power is 3 | number of threads is 14
elapsed time = 1.41 | seconds power is 4 | number of threads is 14
elapsed time = 1.88 | seconds power is 5 | number of threads is 14
elapsed time = 2.35 | seconds power is 6 | number of threads is 14
elapsed time = 2.80 | seconds power is 7 | number of threads is 14
elapsed time = 3.29 | seconds power is 8 | number of threads is 14
elapsed time = 3.79 | seconds power is 9 | number of threads is 14
elapsed time = 4.27 | seconds power is 10 | number of threads is 14
elapsed time = 4.75 | seconds power is 11 | number of threads is 14
elapsed time = 5.21 | seconds power is 12 | number of threads is 14
elapsed time = 5.67 | seconds power is 13 | number of threads is 14
elapsed time = 6.12 | seconds power is 14 | number of threads is 14
elapsed time = 6.58 | seconds power is 15 | number of threads is 14
elapsed time = 7.05 | seconds power is 16 | number of threads is 14
512 14 thread done
elapsed time = 0.46 | seconds power is 2 | number of threads is 16
elapsed time = 0.92 | seconds power is 3 | number of threads is 16
elapsed time = 1.38 | seconds power is 4 | number of threads is 16
elapsed time = 1.83 | seconds power is 5 | number of threads is 16
elapsed time = 2.29 | seconds power is 6 | number of threads is 16
elapsed time = 2.74 | seconds power is 7 | number of threads is 16
elapsed time = 3.21 | seconds power is 8 | number of threads is 16
elapsed time = 3.66 | seconds power is 9 | number of threads is 16
elapsed time = 4.12 | seconds power is 10 | number of threads is 16
elapsed time = 4.57 | seconds power is 11 | number of threads is 16
elapsed time = 5.02 | seconds power is 12 | number of threads is 16
elapsed time = 5.48 | seconds power is 13 | number of threads is 16
elapsed time = 5.95 | seconds power is 14 | number of threads is 16
elapsed time = 6.42 | seconds power is 15 | number of threads is 16
elapsed time = 6.90 | seconds power is 16 | number of threads is 16
512 16 thread done
