elapsed time = 57.78 | seconds power is 2 | number of threads is 1
elapsed time = 115.15 | seconds power is 3 | number of threads is 1
elapsed time = 172.60 | seconds power is 4 | number of threads is 1
elapsed time = 229.93 | seconds power is 5 | number of threads is 1
elapsed time = 287.09 | seconds power is 6 | number of threads is 1
elapsed time = 344.56 | seconds power is 7 | number of threads is 1
elapsed time = 401.64 | seconds power is 8 | number of threads is 1
elapsed time = 458.41 | seconds power is 9 | number of threads is 1
elapsed time = 515.62 | seconds power is 10 | number of threads is 1
elapsed time = 572.76 | seconds power is 11 | number of threads is 1
elapsed time = 630.06 | seconds power is 12 | number of threads is 1
elapsed time = 687.63 | seconds power is 13 | number of threads is 1
elapsed time = 745.65 | seconds power is 14 | number of threads is 1
elapsed time = 803.24 | seconds power is 15 | number of threads is 1
elapsed time = 860.50 | seconds power is 16 | number of threads is 1
2048 1 thread done
elapsed time = 31.36 | seconds power is 2 | number of threads is 2
elapsed time = 62.65 | seconds power is 3 | number of threads is 2
elapsed time = 93.96 | seconds power is 4 | number of threads is 2
elapsed time = 125.25 | seconds power is 5 | number of threads is 2
elapsed time = 156.54 | seconds power is 6 | number of threads is 2
elapsed time = 187.80 | seconds power is 7 | number of threads is 2
elapsed time = 219.11 | seconds power is 8 | number of threads is 2
elapsed time = 250.40 | seconds power is 9 | number of threads is 2
elapsed time = 281.74 | seconds power is 10 | number of threads is 2
elapsed time = 313.08 | seconds power is 11 | number of threads is 2
elapsed time = 344.40 | seconds power is 12 | number of threads is 2
elapsed time = 375.77 | seconds power is 13 | number of threads is 2
elapsed time = 407.11 | seconds power is 14 | number of threads is 2
elapsed time = 438.41 | seconds power is 15 | number of threads is 2
elapsed time = 469.74 | seconds power is 16 | number of threads is 2
2048 2 thread done
elapsed time = 15.74 | seconds power is 2 | number of threads is 4
elapsed time = 31.49 | seconds power is 3 | number of threads is 4
elapsed time = 47.25 | seconds power is 4 | number of threads is 4
elapsed time = 63.01 | seconds power is 5 | number of threads is 4
elapsed time = 78.74 | seconds power is 6 | number of threads is 4
elapsed time = 94.46 | seconds power is 7 | number of threads is 4
elapsed time = 110.14 | seconds power is 8 | number of threads is 4
elapsed time = 125.81 | seconds power is 9 | number of threads is 4
elapsed time = 141.49 | seconds power is 10 | number of threads is 4
elapsed time = 157.11 | seconds power is 11 | number of threads is 4
elapsed time = 172.70 | seconds power is 12 | number of threads is 4
elapsed time = 188.32 | seconds power is 13 | number of threads is 4
elapsed time = 203.92 | seconds power is 14 | number of threads is 4
elapsed time = 219.49 | seconds power is 15 | number of threads is 4
elapsed time = 235.06 | seconds power is 16 | number of threads is 4
2048 4 thread done
elapsed time = 10.60 | seconds power is 2 | number of threads is 6
elapsed time = 21.25 | seconds power is 3 | number of threads is 6
elapsed time = 31.95 | seconds power is 4 | number of threads is 6
elapsed time = 42.59 | seconds power is 5 | number of threads is 6
elapsed time = 53.28 | seconds power is 6 | number of threads is 6
elapsed time = 63.97 | seconds power is 7 | number of threads is 6
elapsed time = 74.61 | seconds power is 8 | number of threads is 6
elapsed time = 85.22 | seconds power is 9 | number of threads is 6
elapsed time = 95.92 | seconds power is 10 | number of threads is 6
elapsed time = 106.60 | seconds power is 11 | number of threads is 6
elapsed time = 117.23 | seconds power is 12 | number of threads is 6
elapsed time = 127.90 | seconds power is 13 | number of threads is 6
elapsed time = 138.56 | seconds power is 14 | number of threads is 6
elapsed time = 149.23 | seconds power is 15 | number of threads is 6
elapsed time = 159.90 | seconds power is 16 | number of threads is 6
2048 6 thread done
elapsed time = 8.40 | seconds power is 2 | number of threads is 8
elapsed time = 16.76 | seconds power is 3 | number of threads is 8
elapsed time = 25.10 | seconds power is 4 | number of threads is 8
elapsed time = 33.44 | seconds power is 5 | number of threads is 8
elapsed time = 41.81 | seconds power is 6 | number of threads is 8
elapsed time = 50.16 | seconds power is 7 | number of threads is 8
elapsed time = 58.52 | seconds power is 8 | number of threads is 8
elapsed time = 66.90 | seconds power is 9 | number of threads is 8
elapsed time = 75.32 | seconds power is 10 | number of threads is 8
elapsed time = 83.71 | seconds power is 11 | number of threads is 8
elapsed time = 92.13 | seconds power is 12 | number of threads is 8
elapsed time = 100.56 | seconds power is 13 | number of threads is 8
elapsed time = 108.98 | seconds power is 14 | number of threads is 8
elapsed time = 117.43 | seconds power is 15 | number of threads is 8
elapsed time = 125.85 | seconds power is 16 | number of threads is 8
2048 8 thread done
elapsed time = 6.57 | seconds power is 2 | number of threads is 10
elapsed time = 13.24 | seconds power is 3 | number of threads is 10
elapsed time = 19.83 | seconds power is 4 | number of threads is 10
elapsed time = 26.55 | seconds power is 5 | number of threads is 10
