elapsed time = 58.78 | seconds power is 2 | number of threads is 1
elapsed time = 115.03 | seconds power is 3 | number of threads is 1
elapsed time = 171.42 | seconds power is 4 | number of threads is 1
elapsed time = 227.76 | seconds power is 5 | number of threads is 1
elapsed time = 284.29 | seconds power is 6 | number of threads is 1
elapsed time = 341.22 | seconds power is 7 | number of threads is 1
elapsed time = 397.71 | seconds power is 8 | number of threads is 1
elapsed time = 453.96 | seconds power is 9 | number of threads is 1
elapsed time = 510.54 | seconds power is 10 | number of threads is 1
elapsed time = 567.20 | seconds power is 11 | number of threads is 1
elapsed time = 624.28 | seconds power is 12 | number of threads is 1
elapsed time = 681.03 | seconds power is 13 | number of threads is 1
elapsed time = 737.76 | seconds power is 14 | number of threads is 1
elapsed time = 794.85 | seconds power is 15 | number of threads is 1
elapsed time = 851.24 | seconds power is 16 | number of threads is 1
2048 1 thread done
elapsed time = 31.29 | seconds power is 2 | number of threads is 2
elapsed time = 62.51 | seconds power is 3 | number of threads is 2
elapsed time = 93.72 | seconds power is 4 | number of threads is 2
elapsed time = 126.06 | seconds power is 5 | number of threads is 2
elapsed time = 157.49 | seconds power is 6 | number of threads is 2
elapsed time = 191.31 | seconds power is 7 | number of threads is 2
elapsed time = 226.78 | seconds power is 8 | number of threads is 2
elapsed time = 259.58 | seconds power is 9 | number of threads is 2
elapsed time = 290.99 | seconds power is 10 | number of threads is 2
elapsed time = 322.40 | seconds power is 11 | number of threads is 2
elapsed time = 353.77 | seconds power is 12 | number of threads is 2
elapsed time = 385.15 | seconds power is 13 | number of threads is 2
elapsed time = 416.52 | seconds power is 14 | number of threads is 2
elapsed time = 447.82 | seconds power is 15 | number of threads is 2
elapsed time = 479.12 | seconds power is 16 | number of threads is 2
2048 2 thread done
elapsed time = 17.54 | seconds power is 2 | number of threads is 4
elapsed time = 35.16 | seconds power is 3 | number of threads is 4
elapsed time = 52.76 | seconds power is 4 | number of threads is 4
elapsed time = 70.34 | seconds power is 5 | number of threads is 4
elapsed time = 87.93 | seconds power is 6 | number of threads is 4
elapsed time = 105.48 | seconds power is 7 | number of threads is 4
elapsed time = 123.10 | seconds power is 8 | number of threads is 4
elapsed time = 140.68 | seconds power is 9 | number of threads is 4
elapsed time = 158.24 | seconds power is 10 | number of threads is 4
elapsed time = 175.80 | seconds power is 11 | number of threads is 4
elapsed time = 193.35 | seconds power is 12 | number of threads is 4
