elapsed time = 58.68 | seconds power is 2 | number of threads is 1
elapsed time = 116.81 | seconds power is 3 | number of threads is 1
elapsed time = 175.03 | seconds power is 4 | number of threads is 1
elapsed time = 233.00 | seconds power is 5 | number of threads is 1
elapsed time = 290.97 | seconds power is 6 | number of threads is 1
elapsed time = 349.92 | seconds power is 7 | number of threads is 1
elapsed time = 407.93 | seconds power is 8 | number of threads is 1
elapsed time = 465.85 | seconds power is 9 | number of threads is 1
elapsed time = 524.04 | seconds power is 10 | number of threads is 1
elapsed time = 581.89 | seconds power is 11 | number of threads is 1
elapsed time = 639.87 | seconds power is 12 | number of threads is 1
elapsed time = 698.18 | seconds power is 13 | number of threads is 1
elapsed time = 756.72 | seconds power is 14 | number of threads is 1
elapsed time = 815.14 | seconds power is 15 | number of threads is 1
elapsed time = 873.49 | seconds power is 16 | number of threads is 1
2048 1 thread done
elapsed time = 32.16 | seconds power is 2 | number of threads is 2
elapsed time = 64.33 | seconds power is 3 | number of threads is 2
elapsed time = 96.55 | seconds power is 4 | number of threads is 2
elapsed time = 128.68 | seconds power is 5 | number of threads is 2
elapsed time = 160.84 | seconds power is 6 | number of threads is 2
elapsed time = 192.98 | seconds power is 7 | number of threads is 2
elapsed time = 224.98 | seconds power is 8 | number of threads is 2
elapsed time = 257.12 | seconds power is 9 | number of threads is 2
elapsed time = 289.21 | seconds power is 10 | number of threads is 2
elapsed time = 321.37 | seconds power is 11 | number of threads is 2
elapsed time = 353.56 | seconds power is 12 | number of threads is 2
elapsed time = 385.50 | seconds power is 13 | number of threads is 2
elapsed time = 417.47 | seconds power is 14 | number of threads is 2
elapsed time = 449.60 | seconds power is 15 | number of threads is 2
elapsed time = 481.70 | seconds power is 16 | number of threads is 2
2048 2 thread done
elapsed time = 16.02 | seconds power is 2 | number of threads is 4
elapsed time = 32.13 | seconds power is 3 | number of threads is 4
elapsed time = 48.21 | seconds power is 4 | number of threads is 4
elapsed time = 64.27 | seconds power is 5 | number of threads is 4
elapsed time = 80.36 | seconds power is 6 | number of threads is 4
elapsed time = 96.38 | seconds power is 7 | number of threads is 4
elapsed time = 112.42 | seconds power is 8 | number of threads is 4
elapsed time = 128.44 | seconds power is 9 | number of threads is 4
elapsed time = 144.50 | seconds power is 10 | number of threads is 4
elapsed time = 160.54 | seconds power is 11 | number of threads is 4
elapsed time = 176.56 | seconds power is 12 | number of threads is 4
elapsed time = 192.62 | seconds power is 13 | number of threads is 4
elapsed time = 208.70 | seconds power is 14 | number of threads is 4
elapsed time = 224.78 | seconds power is 15 | number of threads is 4
elapsed time = 240.86 | seconds power is 16 | number of threads is 4
2048 4 thread done
elapsed time = 10.83 | seconds power is 2 | number of threads is 6
elapsed time = 21.84 | seconds power is 3 | number of threads is 6
elapsed time = 32.79 | seconds power is 4 | number of threads is 6
elapsed time = 43.80 | seconds power is 5 | number of threads is 6
elapsed time = 54.85 | seconds power is 6 | number of threads is 6
elapsed time = 65.88 | seconds power is 7 | number of threads is 6
elapsed time = 76.86 | seconds power is 8 | number of threads is 6
elapsed time = 87.81 | seconds power is 9 | number of threads is 6
elapsed time = 98.87 | seconds power is 10 | number of threads is 6
elapsed time = 109.88 | seconds power is 11 | number of threads is 6
elapsed time = 120.81 | seconds power is 12 | number of threads is 6
elapsed time = 131.81 | seconds power is 13 | number of threads is 6
elapsed time = 142.84 | seconds power is 14 | number of threads is 6
elapsed time = 153.89 | seconds power is 15 | number of threads is 6
elapsed time = 164.83 | seconds power is 16 | number of threads is 6
2048 6 thread done
elapsed time = 8.74 | seconds power is 2 | number of threads is 8
elapsed time = 17.42 | seconds power is 3 | number of threads is 8
elapsed time = 26.05 | seconds power is 4 | number of threads is 8
elapsed time = 34.70 | seconds power is 5 | number of threads is 8
elapsed time = 43.34 | seconds power is 6 | number of threads is 8
elapsed time = 51.98 | seconds power is 7 | number of threads is 8
