elapsed time = 26.12 | seconds power is 5 | number of threads is 14
elapsed time = 32.77 | seconds power is 6 | number of threads is 14
elapsed time = 39.27 | seconds power is 7 | number of threads is 14
elapsed time = 45.48 | seconds power is 8 | number of threads is 14
elapsed time = 51.61 | seconds power is 9 | number of threads is 14
elapsed time = 58.03 | seconds power is 10 | number of threads is 14
elapsed time = 65.02 | seconds power is 11 | number of threads is 14
elapsed time = 71.21 | seconds power is 12 | number of threads is 14
elapsed time = 77.98 | seconds power is 13 | number of threads is 14
elapsed time = 84.68 | seconds power is 14 | number of threads is 14
elapsed time = 90.83 | seconds power is 15 | number of threads is 14
elapsed time = 96.95 | seconds power is 16 | number of threads is 14
2048 14 thread done
elapsed time = 6.09 | seconds power is 2 | number of threads is 16
elapsed time = 11.88 | seconds power is 3 | number of threads is 16
elapsed time = 17.59 | seconds power is 4 | number of threads is 16
elapsed time = 23.38 | seconds power is 5 | number of threads is 16
elapsed time = 28.93 | seconds power is 6 | number of threads is 16
elapsed time = 35.13 | seconds power is 7 | number of threads is 16
elapsed time = 40.63 | seconds power is 8 | number of threads is 16
elapsed time = 46.66 | seconds power is 9 | number of threads is 16
elapsed time = 52.60 | seconds power is 10 | number of threads is 16
elapsed time = 58.39 | seconds power is 11 | number of threads is 16
elapsed time = 64.28 | seconds power is 12 | number of threads is 16
elapsed time = 70.18 | seconds power is 13 | number of threads is 16
elapsed time = 75.87 | seconds power is 14 | number of threads is 16
elapsed time = 81.73 | seconds power is 15 | number of threads is 16
elapsed time = 87.86 | seconds power is 16 | number of threads is 16
2048 16 thread done
