elapsed time = 37.07 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 69.29 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 101.32 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 133.11 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 164.93 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 196.91 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 228.99 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 261.12 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 293.14 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 325.17 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 358.25 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 390.28 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 422.33 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 454.42 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 486.56 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 508.38 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 530.22 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 552.06 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 573.89 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 595.73 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 617.57 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 639.39 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 661.23 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 683.08 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 704.89 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 726.71 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 748.53 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 770.36 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 792.19 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 814.02 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 834.38 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 854.74 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 875.10 | seconds power is 4 | number of threads is 1 | block size is 16
elapsed time = 895.44 | seconds power is 5 | number of threads is 1 | block size is 16
elapsed time = 915.80 | seconds power is 6 | number of threads is 1 | block size is 16
elapsed time = 936.10 | seconds power is 7 | number of threads is 1 | block size is 16
elapsed time = 956.46 | seconds power is 8 | number of threads is 1 | block size is 16
elapsed time = 976.80 | seconds power is 9 | number of threads is 1 | block size is 16
elapsed time = 997.15 | seconds power is 10 | number of threads is 1 | block size is 16
elapsed time = 1017.49 | seconds power is 11 | number of threads is 1 | block size is 16
elapsed time = 1037.83 | seconds power is 12 | number of threads is 1 | block size is 16
elapsed time = 1058.16 | seconds power is 13 | number of threads is 1 | block size is 16
elapsed time = 1078.51 | seconds power is 14 | number of threads is 1 | block size is 16
elapsed time = 1098.84 | seconds power is 15 | number of threads is 1 | block size is 16
elapsed time = 1119.19 | seconds power is 16 | number of threads is 1 | block size is 16
elapsed time = 1139.52 | seconds power is 2 | number of threads is 1 | block size is 32
elapsed time = 1159.85 | seconds power is 3 | number of threads is 1 | block size is 32
elapsed time = 1180.18 | seconds power is 4 | number of threads is 1 | block size is 32
elapsed time = 1200.52 | seconds power is 5 | number of threads is 1 | block size is 32
elapsed time = 1220.85 | seconds power is 6 | number of threads is 1 | block size is 32
elapsed time = 1241.19 | seconds power is 7 | number of threads is 1 | block size is 32
elapsed time = 1261.52 | seconds power is 8 | number of threads is 1 | block size is 32
