elapsed time = 37.45 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 73.83 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 110.07 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 146.41 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 182.57 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 218.79 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 254.81 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 290.78 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 327.03 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 363.21 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 399.55 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 435.39 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 471.27 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 507.26 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 543.33 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 565.69 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 588.05 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 610.40 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 632.76 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 655.14 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 677.51 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 699.88 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 722.27 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 744.64 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 767.01 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 789.37 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 811.74 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 834.10 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 856.47 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 878.84 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 899.40 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 919.94 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 940.48 | seconds power is 4 | number of threads is 1 | block size is 16
elapsed time = 961.02 | seconds power is 5 | number of threads is 1 | block size is 16
elapsed time = 981.55 | seconds power is 6 | number of threads is 1 | block size is 16
elapsed time = 1002.09 | seconds power is 7 | number of threads is 1 | block size is 16
elapsed time = 1022.63 | seconds power is 8 | number of threads is 1 | block size is 16
elapsed time = 1043.17 | seconds power is 9 | number of threads is 1 | block size is 16
elapsed time = 1063.73 | seconds power is 10 | number of threads is 1 | block size is 16
elapsed time = 1084.28 | seconds power is 11 | number of threads is 1 | block size is 16
elapsed time = 1104.82 | seconds power is 12 | number of threads is 1 | block size is 16
elapsed time = 1125.37 | seconds power is 13 | number of threads is 1 | block size is 16
elapsed time = 1145.92 | seconds power is 14 | number of threads is 1 | block size is 16
elapsed time = 1166.47 | seconds power is 15 | number of threads is 1 | block size is 16
