elapsed time = 34.97 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 66.98 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 98.71 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 130.36 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 162.03 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 193.66 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 225.33 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 256.95 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 288.61 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 320.28 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 353.25 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 385.20 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 416.88 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 448.57 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 480.30 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 501.93 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 523.56 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 545.19 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 566.82 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 588.44 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 610.07 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 631.75 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 653.44 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 675.10 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 696.75 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 718.38 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 740.02 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 761.66 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 783.29 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 804.92 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 825.29 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 845.66 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 866.03 | seconds power is 4 | number of threads is 1 | block size is 16
elapsed time = 886.41 | seconds power is 5 | number of threads is 1 | block size is 16
elapsed time = 906.81 | seconds power is 6 | number of threads is 1 | block size is 16
elapsed time = 927.19 | seconds power is 7 | number of threads is 1 | block size is 16
elapsed time = 947.64 | seconds power is 8 | number of threads is 1 | block size is 16
elapsed time = 968.00 | seconds power is 9 | number of threads is 1 | block size is 16
elapsed time = 988.35 | seconds power is 10 | number of threads is 1 | block size is 16
elapsed time = 1008.71 | seconds power is 11 | number of threads is 1 | block size is 16
elapsed time = 1029.06 | seconds power is 12 | number of threads is 1 | block size is 16
elapsed time = 1049.42 | seconds power is 13 | number of threads is 1 | block size is 16
elapsed time = 1069.76 | seconds power is 14 | number of threads is 1 | block size is 16
elapsed time = 1090.12 | seconds power is 15 | number of threads is 1 | block size is 16
elapsed time = 1110.47 | seconds power is 16 | number of threads is 1 | block size is 16
elapsed time = 1130.79 | seconds power is 2 | number of threads is 1 | block size is 32
elapsed time = 1151.11 | seconds power is 3 | number of threads is 1 | block size is 32
elapsed time = 1171.43 | seconds power is 4 | number of threads is 1 | block size is 32
elapsed time = 1191.76 | seconds power is 5 | number of threads is 1 | block size is 32
elapsed time = 1212.09 | seconds power is 6 | number of threads is 1 | block size is 32
elapsed time = 1232.41 | seconds power is 7 | number of threads is 1 | block size is 32
elapsed time = 1252.73 | seconds power is 8 | number of threads is 1 | block size is 32
elapsed time = 1273.05 | seconds power is 9 | number of threads is 1 | block size is 32
elapsed time = 1293.37 | seconds power is 10 | number of threads is 1 | block size is 32
elapsed time = 1313.69 | seconds power is 11 | number of threads is 1 | block size is 32
elapsed time = 1334.00 | seconds power is 12 | number of threads is 1 | block size is 32
elapsed time = 1354.33 | seconds power is 13 | number of threads is 1 | block size is 32
elapsed time = 1374.65 | seconds power is 14 | number of threads is 1 | block size is 32
elapsed time = 1394.97 | seconds power is 15 | number of threads is 1 | block size is 32
elapsed time = 1415.29 | seconds power is 16 | number of threads is 1 | block size is 32
elapsed time = 1435.14 | seconds power is 2 | number of threads is 1 | block size is 64
elapsed time = 1455.00 | seconds power is 3 | number of threads is 1 | block size is 64
elapsed time = 1474.85 | seconds power is 4 | number of threads is 1 | block size is 64
elapsed time = 1494.70 | seconds power is 5 | number of threads is 1 | block size is 64
elapsed time = 1514.55 | seconds power is 6 | number of threads is 1 | block size is 64
elapsed time = 1534.40 | seconds power is 7 | number of threads is 1 | block size is 64
elapsed time = 1554.25 | seconds power is 8 | number of threads is 1 | block size is 64
elapsed time = 1574.11 | seconds power is 9 | number of threads is 1 | block size is 64
elapsed time = 1593.95 | seconds power is 10 | number of threads is 1 | block size is 64
elapsed time = 1613.81 | seconds power is 11 | number of threads is 1 | block size is 64
elapsed time = 1633.66 | seconds power is 12 | number of threads is 1 | block size is 64
elapsed time = 1653.51 | seconds power is 13 | number of threads is 1 | block size is 64
elapsed time = 1673.36 | seconds power is 14 | number of threads is 1 | block size is 64
elapsed time = 1693.21 | seconds power is 15 | number of threads is 1 | block size is 64
elapsed time = 1713.06 | seconds power is 16 | number of threads is 1 | block size is 64
2048 1 thread done
elapsed time = 17.75 | seconds power is 2 | number of threads is 2 | block size is 4
elapsed time = 35.44 | seconds power is 3 | number of threads is 2 | block size is 4
elapsed time = 53.49 | seconds power is 4 | number of threads is 2 | block size is 4
elapsed time = 71.81 | seconds power is 5 | number of threads is 2 | block size is 4
elapsed time = 89.54 | seconds power is 6 | number of threads is 2 | block size is 4
elapsed time = 107.28 | seconds power is 7 | number of threads is 2 | block size is 4
elapsed time = 125.00 | seconds power is 8 | number of threads is 2 | block size is 4
elapsed time = 142.69 | seconds power is 9 | number of threads is 2 | block size is 4
elapsed time = 160.42 | seconds power is 10 | number of threads is 2 | block size is 4
elapsed time = 178.15 | seconds power is 11 | number of threads is 2 | block size is 4
elapsed time = 195.87 | seconds power is 12 | number of threads is 2 | block size is 4
elapsed time = 213.59 | seconds power is 13 | number of threads is 2 | block size is 4
elapsed time = 231.38 | seconds power is 14 | number of threads is 2 | block size is 4
elapsed time = 249.68 | seconds power is 15 | number of threads is 2 | block size is 4
elapsed time = 267.97 | seconds power is 16 | number of threads is 2 | block size is 4
elapsed time = 278.76 | seconds power is 2 | number of threads is 2 | block size is 8
elapsed time = 289.56 | seconds power is 3 | number of threads is 2 | block size is 8
elapsed time = 300.36 | seconds power is 4 | number of threads is 2 | block size is 8
elapsed time = 311.15 | seconds power is 5 | number of threads is 2 | block size is 8
elapsed time = 321.94 | seconds power is 6 | number of threads is 2 | block size is 8
elapsed time = 332.73 | seconds power is 7 | number of threads is 2 | block size is 8
elapsed time = 343.64 | seconds power is 8 | number of threads is 2 | block size is 8
elapsed time = 354.19 | seconds power is 9 | number of threads is 2 | block size is 8
elapsed time = 364.57 | seconds power is 10 | number of threads is 2 | block size is 8
elapsed time = 374.97 | seconds power is 11 | number of threads is 2 | block size is 8
elapsed time = 385.37 | seconds power is 12 | number of threads is 2 | block size is 8
elapsed time = 395.77 | seconds power is 13 | number of threads is 2 | block size is 8
elapsed time = 406.17 | seconds power is 14 | number of threads is 2 | block size is 8
elapsed time = 416.57 | seconds power is 15 | number of threads is 2 | block size is 8
elapsed time = 426.97 | seconds power is 16 | number of threads is 2 | block size is 8
elapsed time = 436.85 | seconds power is 2 | number of threads is 2 | block size is 16
elapsed time = 446.74 | seconds power is 3 | number of threads is 2 | block size is 16
elapsed time = 456.61 | seconds power is 4 | number of threads is 2 | block size is 16
elapsed time = 466.50 | seconds power is 5 | number of threads is 2 | block size is 16
elapsed time = 476.38 | seconds power is 6 | number of threads is 2 | block size is 16
elapsed time = 486.27 | seconds power is 7 | number of threads is 2 | block size is 16
elapsed time = 496.15 | seconds power is 8 | number of threads is 2 | block size is 16
elapsed time = 506.03 | seconds power is 9 | number of threads is 2 | block size is 16
elapsed time = 515.91 | seconds power is 10 | number of threads is 2 | block size is 16
elapsed time = 525.80 | seconds power is 11 | number of threads is 2 | block size is 16
elapsed time = 535.68 | seconds power is 12 | number of threads is 2 | block size is 16
elapsed time = 545.56 | seconds power is 13 | number of threads is 2 | block size is 16
elapsed time = 555.44 | seconds power is 14 | number of threads is 2 | block size is 16
elapsed time = 565.32 | seconds power is 15 | number of threads is 2 | block size is 16
elapsed time = 575.20 | seconds power is 16 | number of threads is 2 | block size is 16
elapsed time = 585.35 | seconds power is 2 | number of threads is 2 | block size is 32
elapsed time = 595.51 | seconds power is 3 | number of threads is 2 | block size is 32
elapsed time = 605.66 | seconds power is 4 | number of threads is 2 | block size is 32
elapsed time = 615.81 | seconds power is 5 | number of threads is 2 | block size is 32
elapsed time = 625.98 | seconds power is 6 | number of threads is 2 | block size is 32
elapsed time = 636.13 | seconds power is 7 | number of threads is 2 | block size is 32
elapsed time = 646.28 | seconds power is 8 | number of threads is 2 | block size is 32
elapsed time = 656.44 | seconds power is 9 | number of threads is 2 | block size is 32
elapsed time = 666.60 | seconds power is 10 | number of threads is 2 | block size is 32
elapsed time = 676.75 | seconds power is 11 | number of threads is 2 | block size is 32
elapsed time = 686.91 | seconds power is 12 | number of threads is 2 | block size is 32
elapsed time = 697.06 | seconds power is 13 | number of threads is 2 | block size is 32
elapsed time = 707.21 | seconds power is 14 | number of threads is 2 | block size is 32
elapsed time = 717.37 | seconds power is 15 | number of threads is 2 | block size is 32
elapsed time = 727.53 | seconds power is 16 | number of threads is 2 | block size is 32
elapsed time = 737.45 | seconds power is 2 | number of threads is 2 | block size is 64
elapsed time = 747.37 | seconds power is 3 | number of threads is 2 | block size is 64
elapsed time = 757.29 | seconds power is 4 | number of threads is 2 | block size is 64
elapsed time = 767.20 | seconds power is 5 | number of threads is 2 | block size is 64
elapsed time = 777.12 | seconds power is 6 | number of threads is 2 | block size is 64
elapsed time = 787.03 | seconds power is 7 | number of threads is 2 | block size is 64
elapsed time = 796.95 | seconds power is 8 | number of threads is 2 | block size is 64
elapsed time = 806.86 | seconds power is 9 | number of threads is 2 | block size is 64
elapsed time = 816.78 | seconds power is 10 | number of threads is 2 | block size is 64
elapsed time = 826.69 | seconds power is 11 | number of threads is 2 | block size is 64
elapsed time = 836.61 | seconds power is 12 | number of threads is 2 | block size is 64
elapsed time = 846.52 | seconds power is 13 | number of threads is 2 | block size is 64
elapsed time = 856.44 | seconds power is 14 | number of threads is 2 | block size is 64
elapsed time = 866.35 | seconds power is 15 | number of threads is 2 | block size is 64
elapsed time = 876.26 | seconds power is 16 | number of threads is 2 | block size is 64
2048 2 thread done
elapsed time = 8.35 | seconds power is 2 | number of threads is 4 | block size is 4
elapsed time = 16.66 | seconds power is 3 | number of threads is 4 | block size is 4
elapsed time = 24.97 | seconds power is 4 | number of threads is 4 | block size is 4
elapsed time = 33.26 | seconds power is 5 | number of threads is 4 | block size is 4
elapsed time = 41.51 | seconds power is 6 | number of threads is 4 | block size is 4
elapsed time = 49.79 | seconds power is 7 | number of threads is 4 | block size is 4
elapsed time = 58.16 | seconds power is 8 | number of threads is 4 | block size is 4
elapsed time = 66.54 | seconds power is 9 | number of threads is 4 | block size is 4
elapsed time = 74.92 | seconds power is 10 | number of threads is 4 | block size is 4
elapsed time = 83.29 | seconds power is 11 | number of threads is 4 | block size is 4
elapsed time = 91.67 | seconds power is 12 | number of threads is 4 | block size is 4
elapsed time = 100.06 | seconds power is 13 | number of threads is 4 | block size is 4
elapsed time = 108.44 | seconds power is 14 | number of threads is 4 | block size is 4
elapsed time = 116.82 | seconds power is 15 | number of threads is 4 | block size is 4
elapsed time = 125.20 | seconds power is 16 | number of threads is 4 | block size is 4
elapsed time = 130.68 | seconds power is 2 | number of threads is 4 | block size is 8
elapsed time = 136.14 | seconds power is 3 | number of threads is 4 | block size is 8
elapsed time = 141.60 | seconds power is 4 | number of threads is 4 | block size is 8
elapsed time = 147.06 | seconds power is 5 | number of threads is 4 | block size is 8
elapsed time = 152.53 | seconds power is 6 | number of threads is 4 | block size is 8
elapsed time = 158.03 | seconds power is 7 | number of threads is 4 | block size is 8
elapsed time = 163.56 | seconds power is 8 | number of threads is 4 | block size is 8
elapsed time = 169.10 | seconds power is 9 | number of threads is 4 | block size is 8
